"FEATURE","CLEAN_FEAT","APPROVALDT","ORIGIN","DIAMETER","CENTER_LON","CENTER_LAT","TYPE","CODE","APPROVAL","MIN_LON","MAX_LON","MIN_LAT","MAX_LAT","ETHNICITY","CONTINENT","QUAD_NAME","QUAD_CODE","LINK"
"Heraclitus A","Heraclitus A","2006-01-01 00:00:00","Greek philosopher (c. 540-480 B.C.).","4.96525","4.54155772422754","-49.4125618282339","Satellite Feature","SF","Adopted by IAU","4.41571998596191","4.66739845275879","-49.4944324493408","-49.3306903839111","Greek","Europe","Clavius","LAC-126","http://planetarynames.wr.usgs.gov/Feature/9884"
"Heraclitus C","Heraclitus C","2006-01-01 00:00:00","Greek philosopher (c. 540-480 B.C.).","6.94043","6.21686455619393","-48.8917018470201","Satellite Feature","SF","Adopted by IAU","6.04278373718262","6.39094734191895","-49.0061416625977","-48.7772617340088","Greek","Europe","Clavius","LAC-126","http://planetarynames.wr.usgs.gov/Feature/9885"
"Heraclitus D","Heraclitus D","2006-01-01 00:00:00","Greek philosopher (c. 540-480 B.C.).","56.1236","5.13983638925257","-50.5062018050162","Satellite Feature","SF","Adopted by IAU","3.76934623718262","6.51876258850098","-51.3344783782959","-49.6774349212646","Greek","Europe","Clavius","LAC-126","http://planetarynames.wr.usgs.gov/Feature/9886"
"Heraclitus E","Heraclitus E","2006-01-01 00:00:00","Greek philosopher (c. 540-480 B.C.).","6.96836","6.5488368267636","-49.7366940729672","Satellite Feature","SF","Adopted by IAU","6.37104225158691","6.72663307189941","-49.8515949249268","-49.6217918395996","Greek","Europe","Clavius","LAC-126","http://planetarynames.wr.usgs.gov/Feature/9887"
"Herigonius G","Herigonius G","2006-01-01 00:00:00","Herigone, Pierre; French mathematician, astronomer (fl. 1634).","3.16677","327.541684039329","-15.2741981587818","Satellite Feature","SF","Adopted by IAU","327.487558364868","327.595815658569","-15.3264141082764","-15.221981048584","France","Europe","Letronne","LAC-75","http://planetarynames.wr.usgs.gov/Feature/9900"
"Herigonius H","Herigonius H","2006-01-01 00:00:00","Herigone, Pierre; French mathematician, astronomer (fl. 1634).","4.14704","326.775526610099","-17.12350768465","Satellite Feature","SF","Adopted by IAU","326.703973770142","326.847082138062","-17.1918869018555","-17.0551261901855","France","Europe","Mare Humorum","LAC-93","http://planetarynames.wr.usgs.gov/Feature/9901"
"Herigonius K","Herigonius K","2006-01-01 00:00:00","Herigone, Pierre; French mathematician, astronomer (fl. 1634).","3.06641","323.535941292226","-12.8333461262941","Satellite Feature","SF","Adopted by IAU","323.484083175659","323.587800979614","-12.8839073181152","-12.7827835083008","France","Europe","Letronne","LAC-75","http://planetarynames.wr.usgs.gov/Feature/9902"
"Hermann A","Hermann A","2006-01-01 00:00:00","Jacob; Swiss mathematician (1678-1733).","4.07767","301.728915044945","0.404805667539975","Satellite Feature","SF","Adopted by IAU","301.661680221558","301.796155929565","0.33757209777832","0.472043991088867","Switzerland","Europe","Hevelius","LAC-56","http://planetarynames.wr.usgs.gov/Feature/9903"
"Hermann B","Hermann B","2006-01-01 00:00:00","Jacob; Swiss mathematician (1678-1733).","5.83503","302.753419170953","-0.33289500989093","Satellite Feature","SF","Adopted by IAU","302.657205581665","302.849634170532","-0.429107666015625","-0.23668098449707","Switzerland","Europe","Grimaldi","LAC-74","http://planetarynames.wr.usgs.gov/Feature/9904"
"Hermann C","Hermann C","2006-01-01 00:00:00","Jacob; Swiss mathematician (1678-1733).","3.3875","299.326543869916","-0.158327083921603","Satellite Feature","SF","Adopted by IAU","299.27068901062","299.382402420044","-0.214183807373047","-0.102470397949219","Switzerland","Europe","Grimaldi","LAC-74","http://planetarynames.wr.usgs.gov/Feature/9905"
