NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_FR;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Agatharchides 1;Cúpula;No determinat;Cúpula d'Agatharchides n° n° 1;ALPO 1976;;;;Geògraf i historiador;Grècia;grec;-2;Segle 2on AC;?;vers 100 AC;?;?;??;-31.49683694;31 ° 30 '  Oest;-16.85795602;16 ° 51 '  Sud;Sud-Oest;Sector del Mar dels Humors;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;60;60;36.4;36.4;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Agatharchides;Escut volcànic;Vulcanisme extrusiu;"Descripció ALPO : Gran cúpula poc elevada sovint anomenada ""casc de bomber""";3;Formació molt interessant;10;3 dies després de quart creixent;2 dies després de quart minvant;30;10x binoculars;50 mm refractor
Albategnius 1;Cúpula;No determinat;Cúpula d'Albategnius n° n° 1;ALPO 1976;;;;Astrònom;Aràbia;àrab;9;9è segle;Harran;858;Qasr al Djiss;929;Autor del 'Zidj' millorant considerablement el coneixement astronòmic del seu període. Mesura de l'obliqüitat de l'eclíptica.;5.257347498;5 ° 15 '  Est;-6.718995469;6 ° 43 '  Sud;Sud-Est;Sector del cràter Ptolomeu;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;8;8;40.06;4.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Albategnius;Volcà;Vulcanisme extrusiu;Descripció ALPO : Abrupte. Platicúrtic. Base triangular.;4;Formació excepcional.;7;Quart creixent;6 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Alexander 1;Cúpula;No determinat;Cúpula d'Alexander n° 1;ALPO 1976;;;;Rei;Macedònia;macedoni;-4;Segle 4rt AC;?;356 AC;Babylone;323 AC;Rei de Macedònia des de 336 fins 323 aC. Va treballar per l'expansió del seu regne a l'Índia. S'apoderà de Babilònia i cremà Persèpolis.;13.43800781;13 ° 26 '  Est;40.39097962;40 ° 23 '  Nord;Nord-Est;Regió al nord del Mar de la Serenitat;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;17;17;39.882;10.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Alexander;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Taca blanca a la Lluna plena.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Alexander Q 1;Cúpula;No determinat;Cúpula d'Alexander Q n° 1;ALPO 1976;;;;Rei;Macedònia;macedoni;-4;Segle 4rt AC;?;356 AC;Babylone;323 AC;Rei de Macedònia des de 336 fins 323 aC. Va treballar per l'expansió del seu regne a l'Índia. S'apoderà de Babilònia i cremà Persèpolis.;17.01817039;17 ° 1 '  Est;35.59133528;35 ° 35 '  Nord;Nord-Est;Regió al nord del Mar de la Serenitat;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;4;4;39.905;2.4;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE de Alexander q;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;100;100 mm refractor;200 mm reflector
Alexander Q 2;Cúpula;No determinat;Cúpula d'Alexander Q n° 2;ALPO 1976;;;;Rei;Macedònia;macedoni;-4;Segle 4rt AC;?;356 AC;Babylone;323 AC;Rei de Macedònia des de 336 fins 323 aC. Va treballar per l'expansió del seu regne a l'Índia. S'apoderà de Babilònia i cremà Persèpolis.;17.40872895;17 ° 25 '  Est;36.01521022;36 ° 1 '  Nord;Nord-Est;Regió al nord del Mar de la Serenitat;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;8;8;40.06;4.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE de Alexander q;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Almanon 1;Cúpula;No determinat;Cúpula d'Almanon n° 1;ALPO 1976;;;;Califa i mecenes;Pèrsia;persa;9;9è segle;Bagdad;786;Tarsus;833;Fill de Harun Al Raschid. Organitzador de la traducció en àrab de treballs científics i filosòfics d'autors grecs antics.;15.27683388;15 ° 17 '  Est;-16.97773111;16 ° 59 '  Sud;Sud-Est;Regió a l'oest del cràter Catharina;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SO del cràter Almanon;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Gran cúpula complexa;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Alphonsus 1;Cúpula;No determinat;Cúpula d'Alphonsus n° 1;ALPO 1976;;;;Rei i astrònom;Castella;castellà;13;1Segle 3er;Toledo;1221;Séville;1284;Iniciador de treballs de traducció en grec i àrab. Coordinador del càlcul de les 'Taules Alfonsines' reemplaçant les taules astronòmiques de Ptolemeu en 1256.;-0.765760482;0 ° 46 '  Oest;-13.41484876;13 ° 25 '  Sud;Sud-Oest;Sector del cràter Ptolomeu;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Alphonsus;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Molt petita;3;Formació molt interessant;8;1 dia després de quart creixent;Quart minvant;999;No determinat;No determinat
Apollonius S 1;Cúpula;No determinat;Cúpula d'Apollonius S n° 1;ALPO 1976;;;;Matemàtic i astrònom;Grècia;grec;-3;Segle 3er AC;Alexandria;262 AC;Pergame;180 AC;Autor d'un important treball de síntesi sobre les còniques.;64.72683836;64 ° 44 '  Est;1.432543738;1 ° 26 '  Nord;Nord-Est;Limbe est de la Lluna;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;;;34.5;34.5;40.076;20.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E del cràter Apollonius S;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Platicúrtic. Vora irregular;3;Formació molt interessant;3;3 dies després de la Lluna nova;2 dies després de la Lluna plena;30;10x binoculars;50 mm refractor
Arago 1;Cúpula;No determinat;Cúpula d'Arago n° 1;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;20.85994776;20 ° 52 '  Est;4.473614892;4 ° 28 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;13;14;40.063;8.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;S del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Mida mitjana. Forma hemisfèrica.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago 1;Cúpula;No determinat;Cúpula d'Arago n° 1;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;20.70846796;20 ° 43 '  Est;9.264944551;9 ° 16 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;5;40.031;3;4.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NNO del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Complexa. Potser doble.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago 10;Cúpula;No determinat;Cúpula d'Arago n° 10;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;20.93559973;20 ° 56 '  Est;8.916796253;8 ° 55 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;39.973;39.967;5.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NNO del cràter Arago;Volcà;Vulcanisme extrusiu;Descripció ALPO : Base rodona. Cràter-pou profund al cim. Al NO d'Arago.;4;Formació excepcional.;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago 11;Cúpula;No determinat;Cúpula d'Arago n° 11;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;21.57244626;21 ° 34 '  Est;9.148857422;9 ° 9 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;7;39.967;4.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NO del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago 12;Cúpula;No determinat;Cúpula d'Arago n° 12;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;21.4778659;21 ° 29 '  Est;9.613438289;9 ° 37 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;6;39.967;3.6;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Gran cúpula al NO d'Arago.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago 2;Cúpula;No determinat;Cúpula d'Arago n° 2;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;22.0054411;22 ° 0 '  Est;5.451319812;5 ° 27 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;3;5;40.026;3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE del cràter Arago;Volcà;Vulcanisme extrusiu;Descripció ALPO : El.líptica. Cràter al cim ?;4;Formació excepcional.;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;100;100 mm refractor;200 mm reflector
Arago 3;Cúpula;No determinat;Cúpula d'Arago n° 3;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;21.69758262;21 ° 42 '  Est;5.508878671;5 ° 31 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;S del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Arago 4;Cúpula;No determinat;Cúpula d'Arago n° 4;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;21.95474041;21 ° 57 '  Est;5.739170477;5 ° 44 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;S del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Arago 5;Cúpula;No determinat;Cúpula d'Arago n° 5;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;22.08612063;22 ° 5 '  Est;5.911950197;5 ° 55 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Arago 6;Cúpula;No determinat;Cúpula d'Arago n° 6;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;22.27767057;22 ° 17 '  Est;6.02716656;6 ° 2 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Arago 7;Cúpula;No determinat;Cúpula d'Arago n° 7;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;22.16074267;22 ° 10 '  Est;6.200037133;6 ° 12 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Petita i hemisfèrica.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Arago 8;Cúpula;No determinat;Cúpula d'Arago n° 8;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;24.16249576;24 ° 10 '  Est;8.337279189;8 ° 20 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Forma una cúpula doble.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Arago 9;Cúpula;No determinat;Cúpula d'Arago n° 9;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;21.22561825;21 ° 14 '  Est;8.568979552;8 ° 34 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;39.852;39.967;5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NNO del cràter Arago;Volcà;Vulcanisme extrusiu;Descripció ALPO : Cràter-pou al cim. Hemisfèric. Al NO d'Arago.;4;Formació excepcional.;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago A 1;Cúpula;No determinat;Cúpula d'Arago A n° 1;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;21.41362781;21 ° 25 '  Est;7.469592316;7 ° 28 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;15;24;39.822;14.6;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;Arago a;Volcà;Vulcanisme extrusiu;Descripció ALPO : Ampla i complexa.;4;Formació excepcional.;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago B 1;Cúpula;No determinat;Cúpula d'Arago B n° 1;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;19.93297819;19 ° 56 '  Est;6.084783887;6 ° 5 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;20;23.29;39.825;14.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;Arago b;Volcà;Vulcanisme extrusiu;Descripció ALPO : Cúpula complexa amb cràters-pou al cim.;4;Formació excepcional.;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago D 1;Cúpula;No determinat;Cúpula d'Arago D n° 1;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;23.9836777;23 ° 59 '  Est;8.511041375;8 ° 31 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Arago D;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Forma una cúpula doble.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Aratus C 1;Cúpula;No determinat;Cúpula d'Aratus C n° 1;ALPO 1976;;;;Poeta;Grècia;grec;-4;Segle 4rt AC;Soles;315avJC;Macedònia;245 AC;Autor d'un poema sobre l'astronomia i sobre els fenòmens meteorològics. Autor del nom de 48 constel·lacions conegudes en l'Antiguetat.;8.481651015;8 ° 29 '  Est;22.76795896;22 ° 46 '  Nord;Nord-Est;Sector dels Monts Apenins;22;Conon;322;1f6;357C 003C 161C 167N;;IV-102-H3;14;14;39.941;8.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;S del cràters Aratus C+D;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Archimedes 1;Cúpula;No determinat;Cúpula d'Archimedes n° 1;ALPO 1976;;;;Matemàtic i físic;Grècia;grec;-3;Segle 3er AC;Siracusa;287 AC;Syracuse;212 AC;Alumne de Euclides.  Càlcul de Pi.  Treballs en geometria. Inventor de la politja i la palanca.  Fundador de l'estàtica i la hidrostàtica.;-3.528816754;3 ° 32 '  Oest;24.51931648;24 ° 31 '  Nord;Nord-Oest;Sector dels Monts Apenins;22;Conon;330;1h7 / 2g1 / 5b8 / 6a2;003N 009N 174N 179N 183N;ST01/01  MM32 L100/027;IV-109-H3 IV-109-M IV-110-H1 IV-115-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SO del cràter Archimedes;Escut volcànic;Vulcanisme extrusiu;"Descripció ALPO : Cúpula de ""terra alta"".";3;Formació molt interessant;8;1 dia després de quart creixent;Quart minvant;999;No determinat;No determinat
Archytas G 1;Cúpula;No determinat;Cúpula d'Archytas G n° 1;ALPO 1976;;;;Savi i home d'estat;Grècia;grec;-5;5è segle AC;Tarent;428 AC;Tarente;347 AC;Pitagòric, amic de Plató.  Inventor de l'estel i màquines voladores.;1.223050912;1 ° 13 '  Est;55.79178755;55 ° 48 '  Nord;Nord-Est;Limbe nord de la Lluna;4;Archytas;395;2f6;357N 003N 009N 154N 161N 167N 174N;;IV-104-H1 IV-116-H1;17;17;39.882;10.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SO del cràter Archytas G;Volcà;Vulcanisme extrusiu;Descripció ALPO : Cúpula doble. 2 cràter-pou sobre un flanc.;4;Formació excepcional.;7;Quart creixent;6 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Ariadaeus 1;Cúpula;No determinat;Cúpula de Rima Ariadaeus n° 1;ALPO 1976;;;;Rei;Macedònia;macedoni;-4;Segle 4rt AC;?;?;?;317 AC;Fill de Felip II.  Autor d'una compilació d'eclipsis. Assassinat per ordre d'Olympias.;16.051387;16 ° 3 '  Est;5.96955535;5 ° 58 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;34;Hyginus;280;9b3 / 13h4;351C 154C 161C 167N;MM58 L100/029;IV-097-H1;6;6;39.967;3.6;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N de Rima Ariadaeus;Volcà;Vulcanisme extrusiu;Descripció ALPO : Base rodona. Cràter-pou profund al cim.;4;Formació excepcional.;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Aristillus 1;Cúpula;No determinat;Cúpula d'Aristillus n° 1;ALPO 1976;;;;Astrònom;Grècia;grec;-3;Segle 3er AC;?;vers 280 AC;?;?;Vivia a Alexandria;3.938500545;3 ° 56 '  Est;30.7971408;30 ° 48 '  Nord;Nord-Est;Regió al nord del cràter Arquimedes;12;Aristillus;332;1g8 / 2f2 / 5a8 / 6a2;357N 003N 009N 167N 174N 179N 183N;ST01/01  MM32;IV-110-H1;35;35;39.893;21.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE del cràter Aristillus;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;30;10x binoculars;50 mm refractor
Aristoteles 1;Cúpula;No determinat;Cúpula d'Aristoteles n° 1;ALPO 1976;;;;Filòsof;Grècia;grec;-4;Segle 4rt AC;Stagire;384 AC;Chalcis;322 AC;Científic universal. Creador de la Lògica.  Tutor d' Alexandre el Gran.  Treballs sobre animals i roques.;25.29834304;25 ° 18 '  Est;52.18551149;52 ° 11 '  Nord;Nord-Est;Limbe nord de la Lluna;5;Aristoteles;372;2d5;343N 351N 143N 148N 154N 161N;ST08/00  MM71;IV-092-H1 IV-104-H1 IV-103-H3 IV-098-H3 IV-110-H3;39.938;39.938;39.875;3.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Aristoteles;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Baily A 1;Cúpula;No determinat;Cúpula de Baily A n° 1;ALPO 1976;;;;Astrònom i matemàtic;Anglaterra;anglès;19;19è segle;Newbury;1774;Londres;1844;Fundador de la Societat Astronòmica de Londres en 1836. Determinació de la densitat de la Terra. Descobridor del fenomen dels grans de Baily en ocasió dels eclipsis solars en 1836.;28.54054507;28 ° 32 '  Est;47.13848779;47 ° 8 '  Nord;Nord-Est;Limbe nord-nord-est de la Lluna;6;Strabo;368;2b5 / 4h6;334N 343N 131N 135N 143N 148N;;IV-091-H3 IV-086-H3;25;40;39.859;24.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SO del cràter Baily A;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Perfil baix. Hemisfèrica.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
