NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_FR;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Marius Q 1;Cúpula;No determinat;Cúpula de Marius Q n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-55.03744802;55 ° 2 '  Oest;14.89212693;14 ° 54 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;7;14;39.876;8.5;600;1818;0.085714286;--------------------------^-------------------------;Marius q;Volcà;Vulcanisme extrusiu;Descripció ALPO : Complex de cúpules. Múltiples cims amb cràters-pou.;4;Formació excepcional.;12;5 dies després de quart creixent;4 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Marius R 1;Cúpula;No determinat;Cúpula de Marius R n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-51.53899645;51 ° 32 '  Oest;11.24472359;11 ° 15 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;15;8;39.822;4.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;Marius r;Volcà;Vulcanisme extrusiu;Descripció ALPO : Extensa. Pendents suaus. Gran cràter-pou al cim.;4;Formació excepcional.;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Marius R 2;Cúpula;No determinat;Cúpula de Marius R n° 2;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-50.32097875;50 ° 19 '  Oest;13.29707175;13 ° 18 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;7;7;39.876;4.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Marius R;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Oblonga. Hemisfèrica. Pendents suaus.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Marius R 3;Cúpula;No determinat;Cúpula de Marius R n° 3;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-50.92924236;50 ° 56 '  Oest;13.47375889;13 ° 28 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O de Marius R;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Oblonga. Hemisfèrica. Pendents suaus.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;999;No determinat;No determinat
Marius S 1;Cúpula;No determinat;Cúpula de Marius S n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-55.4281852;55 ° 26 '  Oest;9.962291429;9 ° 58 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;6;14;39.967;8.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;Marius s;Volcà;Vulcanisme extrusiu;Descripció ALPO : Complex de cúpules. Múltiples cims amb cràters-pou. Pendents suaus.;4;Formació excepcional.;12;5 dies després de quart creixent;4 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Marius T 1;Cúpula;No determinat;Cúpula de Marius T n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-54.97656014;54 ° 59 '  Oest;-10.9527842;10 ° 57 '  Sud;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;45;60;39.899;36.4;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;Marius t;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Més aviat turons.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;30;10x binoculars;50 mm refractor
Marius U 1;Cúpula;No determinat;Cúpula de Marius U n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-52.4918735;52 ° 30 '  Oest;13.29707175;13 ° 18 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;7;12;39.876;7.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;Marius u;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Petita. Allargada N/S. Pendents abruptes.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Marius X 1;Cúpula;No determinat;Cúpula de Marius X n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-53.0171578;53 ° 1 '  Oest;9.439147371;9 ° 26 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;4;7;39.905;4.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;Marius x;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Allargada N/S. Pendents abruptes.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;100;100 mm refractor;200 mm reflector
Marius Z 1;Cúpula;No determinat;Cúpula de Marius Z n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;16;16è segle;Gunzenhausen;1570;Ansbach;1624;Descobridor dels 4 grans satèl·lits de Júpiter independentment de Galileu i inventor dels seus noms. 1er observador occidental de la galàxia d'Andròmeda;-54.083315;54 ° 5 '  Oest;13.94556868;13 ° 57 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;302;7,00E+005;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;6;6;39.967;3.6;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;Marius z;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Oval. Pendents suaus. ;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Maskelyne 1;Cúpula;No determinat;Cúpula de Maskelyne n° 1;ALPO 1976;;;;Astrònom;Anglaterra;anglès;18;18è segle;Londres;1732;Greenwich;1811;"Observador del pas de Venus davant el Sol en 1761 a Sta. Elena. Director de l'observatori de Greenwich en 1765. Fundador del ""Nautical Almanach"" en 1766.";36.52442921;36 ° 31 '  Est;5.911950197;5 ° 55 '  Nord;Nord-Est;Part central del Mar de la Tranquil.litat;36;Cauchy;272;1a1 / 3f2;334C, 135C 143C 148C;;IV-078-H1;12;3;39.879;1.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE del cràter Maskelyne;Volcà;Vulcanisme extrusiu;Descripció ALPO : Dorsal possible. Allargada. Matèries intrusives.;4;Formació excepcional.;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Maskelyne D 1;Cúpula;No determinat;Cúpula de Maskelyne D n° 1;ALPO 1976;;;;Astrònom;Anglaterra;anglès;18;18è segle;Londres;1732;Greenwich;1811;"Observador del pas de Venus davant el Sol en 1761 a Sta. Elena. Director de l'observatori de Greenwich en 1765. Fundador del ""Nautical Almanach"" en 1766.";33.81347556;33 ° 49 '  Est;2.40713079;2 ° 24 '  Nord;Nord-Est;Part central del Mar de la Tranquil.litat;36;Cauchy;272;1a1 / 3f2;334C, 135C 143C 148C;;IV-078-H1;7;7;39.876;4.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E del cràter Maskelyne D;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Platicúrtic. Depressió al cim en forma de tallat. Potser un turó.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Maskelyne E 1;Cúpula;No determinat;Cúpula de Maskelyne E n° 1;ALPO 1976;;;;Astrònom;Anglaterra;anglès;18;18è segle;Londres;1732;Greenwich;1811;"Observador del pas de Venus davant el Sol en 1761 a Sta. Elena. Director de l'observatori de Greenwich en 1765. Fundador del ""Nautical Almanach"" en 1766.";34.93262207;34 ° 56 '  Est;4.301222305;4 ° 18 '  Nord;Nord-Est;Part central del Mar de la Tranquil.litat;36;Cauchy;272;1a1 / 3f2;334C, 135C 143C 148C;;IV-078-H1;30;30;39.862;18.2;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Maskelyne E;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;30;10x binoculars;50 mm refractor
Maskelyne E 2;Cúpula;No determinat;Cúpula de Maskelyne E n° 2;ALPO 1976;;;;Astrònom;Anglaterra;anglès;18;18è segle;Londres;1732;Greenwich;1811;"Observador del pas de Venus davant el Sol en 1761 a Sta. Elena. Director de l'observatori de Greenwich en 1765. Fundador del ""Nautical Almanach"" en 1766.";35.97074474;35 ° 58 '  Est;6.142407391;6 ° 9 '  Nord;Nord-Est;Part central del Mar de la Tranquil.litat;36;Cauchy;272;1a1 / 3f2;334C, 135C 143C 148C;;IV-078-H1;10;10;39.819;6.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E del cràter Maskelyne E;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Arrodonida. Pendents abruptes.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
