NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGHTKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
VAN DE GRAAFF J;Crater;??;Robert Jemison Van de Graaff;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;USA;American;20;20 th century;Tuscaloosa;1901;Boston;1967;Inventor of a particles accelerator type on 1930. Author of numerous works in nuclear physics.;174,1;174,1 ° East;-28,5;28,5 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;25;25;15;15;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DE GRAAFF M;Crater;??;Robert Jemison Van de Graaff;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;USA;American;20;20 th century;Tuscaloosa;1901;Boston;1967;Inventor of a particles accelerator type on 1930. Author of numerous works in nuclear physics.;171,5;171,5 ° East;-30,6;30,6 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;19;19;11;11;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DE GRAAFF Q;Crater;??;Robert Jemison Van de Graaff;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;USA;American;20;20 th century;Tuscaloosa;1901;Boston;1967;Inventor of a particles accelerator type on 1930. Author of numerous works in nuclear physics.;171,3;171,3 ° East;-27,6;27,6 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;15;15;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DEN BERGH F;Crater;??;G. Van den Bergh;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1890;??;1966;??;-155;155 ° West;31;31 ° North;North-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;29;29;17;17;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DEN BERGH M;Crater;??;G. Van den Bergh;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1890;??;1966;??;-159,2;159,2 ° West;30,7;30,7 ° North;North-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;15;15;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DEN BERGH P;Crater;??;G. Van den Bergh;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1890;??;1966;??;-160,1;160,1 ° West;29,5;29,5 ° North;North-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;15;15;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DEN BERGH Y;Crater;??;G. Van den Bergh;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1890;??;1966;??;-159,7;159,7 ° West;33,1;33,1 ° North;North-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;43;43;25;25;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DER WAALS B;Crater;??;Johannes Diderik Van der Waals;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;Netherlands;Dutch;20;20 th century;Leyde;1837;Amsterdam;1923;Author of a law on fluids states on 1880. Author of a dynamical theory of capillarity. Nobel laureate on 1910.;121;121 ° East;-41;41 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;17;17;10;10;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DER WAALS C;Crater;??;Johannes Diderik Van der Waals;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;Netherlands;Dutch;20;20 th century;Leyde;1837;Amsterdam;1923;Author of a law on fluids states on 1880. Author of a dynamical theory of capillarity. Nobel laureate on 1910.;123,6;123,6 ° East;-40,5;40,5 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;24;24;14;14;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DER WAALS H;Crater;??;Johannes Diderik Van der Waals;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;Netherlands;Dutch;20;20 th century;Leyde;1837;Amsterdam;1923;Author of a law on fluids states on 1880. Author of a dynamical theory of capillarity. Nobel laureate on 1910.;121,7;121,7 ° East;-44,3;44,3 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;31;31;18;18;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN DER WAALS K;Crater;??;Johannes Diderik Van der Waals;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;Netherlands;Dutch;20;20 th century;Leyde;1837;Amsterdam;1923;Author of a law on fluids states on 1880. Author of a dynamical theory of capillarity. Nobel laureate on 1910.;122;122 ° East;-45,8;45,8 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;55;55;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
