NOM_SITE;SITE_NAME;LANGUE;LANGUAGE;THEME_FR;THEME_EN;SOUS_THEME;SUB_THEME;ADDRESS;DESCRIPTION_FR;DESCRIPTION_EN;DATE D'ENREGISTREMENT;RECORDING DATE
LE SITE WEB DE WES HIGGINS;WES HIGGINS 'S WEB SITE;Anglais;English;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://higginsandsons.com/astro/;Les magnifiques images lunaires de Wes Higgins ;Marvelous lunar pictures of  Wes Higgins;06.09.2012;06.09.2012
INSTITUT LUNAIRE ET PLANETAIRE AMERICAIN;US LUNAR AND PLANETARY INSTITUTE;Anglais;English;Organisme officiel;Official organization;Atlas lunaire;Lunar atlas;http://www.lpi.usra.edu/resources/mapcatalog/;Toutes les cartes lunaires américaines en ligne;All american lunar maps on line !;06.09.2012;06.09.2012
L'ORIGINE DE LA LUNE;ORIGIN OF THE MOON;Anglais;English;Livre en ligne;On line e-book;Géologie lunaire;Lunar geology;http://ads.harvard.edu/books/ormo/;Le grand classique de W.K. Hartmann;W.K. Hartmann famous book;06.09.2012;06.09.2012
OUTIL DE VISUALISATION DU TERMINATEUR LUNAIRE (LTVT);LUNAR TERMINATOR VISUALIZATION TOOL (LTVT);Anglais;English;Logiciel lunaire;Lunar software;Outil de cartographie;Mapping tool;http://ltvt.wikispaces.com/LTVT;Un autre grand logiciel lunaire par Jim Mosher et Henrik Bondo;Another great lunar software by Jim Mosher and Henrik Bondo;06.09.2012;06.09.2012
CIEL ET ESPACE;CIEL ET ESPACE;Français;French;Magazine d'astronomie;Astronomy magazine;Exploration lunaire;Lunar exploration;http://www.cieletespace.fr/;La plus importante revue d'astronomie amateur de France;The most important french amateur astronomy magazine;06.09.2012;06.09.2012
SKY AND TELESCOPE;SKY AND TELESCOPE;Anglais;English;Magazine d'astronomie;Astronomy magazine;Exploration lunaire;Lunar exploration;http://www.skyandtelescope.com/;La plus importante revue d'astronomie amateur aux USA. Contient une célèbre rubrique lunaire de Charles W. Wood.;The most important US amateur astronomy magazine. Publishes famous Charles W. Wood lunar studies.;06.09.2012;06.09.2012
LE SITE WEB DE DAMIAN PEACH;DAMIAN PEACH WEB SITE;Anglais;English;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://www.damianpeach.com/;Les magnifiques images lunaires de Damian Peach. Un maximum de formations photographiées;Marvelous lunar pictures of  Wes Higgins. Lot of pictured formations.;15.10.2012;15.10.2012
LE SITE WEB DE MIKE WIRTHS;MIKE WIRTHS WEB SITE;Anglais;English;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://ottawa-rasc.ca/wiki/index.php?title=Images-MikeWirths;Les magnifiques images lunaires de Mike Wirths;Marvelous lunar pictures of  Mike Wirths;15.10.2012;15.10.2012
L'ATLAS PHOTOGRAPHIQUE DE LA LUNE DE ALAN CHUH;THE PHOTOGRAPHIC ATLAS OF THE MOON OF ALAN CHUH;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire d'astronome amateur;Amateur astronomer lunar atlas;http://www.alanchuhk.com/;Un atlas photographique de la Lune remarquable réalisé par Alan Chuh;A remarkable photographic atlas of the Moon realized by Alan Chuh.;15.10.2012;15.10.2012
L'ATLAS PHOTOGRAPHIQUE DE LA LUNE DE JEROME GRENIER;THE PHOTOGRAPHIC ATLAS OF THE MOON OF JEROME GRENIER;Multilingues;Multilanguages;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire d'astronome amateur;Amateur astronomer lunar atlas;http://jeromegrenier.free.fr/atlas.htm;Un atlas photographique de la Lune remarquable réalisé par Jérôme Grenier;A remarkable photographic atlas of the Moon realized by Jérôme Grenier;15.10.2012;15.10.2012
