NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
VALIER;AA0665N17426E;0665N17426;AA;Cràter;;;;Max Valier;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Enginyer;Alemanya;alemany;20;segle 20è;??;1895;??;1930;Dissenyador de coets.;174.264252;174.264252;174.264° East;6.654845;6.655° North;Cara oculta;Nord-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;II-034-M II-034-H2;67;67;39;39;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Valier;Valier;6286;65.0605;6.654844556;174.264252;7.728219986;5.582601547;175.3454533;173.1854267;LOLA2011;Europe;Germany;Crater, craters;AA;Sharonov;LAC-68;Adopted by IAU;01.01.1970 00:00;;Max. German rocketry engineer (1895-1930).;http://planetarynames.wr.usgs.gov/Feature/6286
VALLIS PLANCK;VA5726S12616E;5726S12616;VA;Vall;;;;Max Karl Ernst Planck;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Alemanya;alemany;20;segle 20è;Kiel;1858;Göttingen;1947;Especialista en termodinàmica. Inventor de la noció dels quanta i pare de la mecànica quàntica en 1900. Premi Nobel en 1918. ;126.155869;126.155869;126.156° East;-57.264891;57.265° South;Cara oculta;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;IV-008-M;451;10;265;6;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Vallis Planck;Vallis Planck;6297;502.899;-57.26489147;126.1558694;-49.30935478;-65.28316307;129.3223362;124.1720867;LOLA2011;Europe;Germany;Vallis, valles;VA;Fechner;LAC-130;Adopted by IAU;01.01.1970 00:00;;Named from nearby crater.;http://planetarynames.wr.usgs.gov/Feature/6297
VALLIS SCHRODINGER;VA6652S10488E;6652S10488;VA;Vall;;;;Erwin Schrödinger;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Àustria;austríac;20;segle 20è;Viena;1887;Viena;1961;Autor d'una de les equacions fonamentals de la física quàntica en 1926. Premi Nobel en 1933.;104.880753;104.880753;104.881° East;-66.518492;66.518° South;Cara oculta;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;IV-008-M;310;10;182;6;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Vallis Schrödinger;Vallis Schrodinger;6299;301.715;-66.518492;104.8807529;-61.66576385;-70.26707077;111.4034595;99.11927223;LOLA2011;Europe;Austria;Vallis, valles;VA;Schrödinger;LAC-140;Adopted by IAU;01.01.1970 00:00;;Named from nearby crater.;http://planetarynames.wr.usgs.gov/Feature/6299
VAN DE GRAAFF;AA2704S17201E;2704S17201;AA;Cràter;;;;Robert Jemison Van de Graaff;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Estats Units;americà;20;segle 20è;Tuscaloosa;1901;Boston;1967;Inventor d'un tipus d'accelerador de partícules en 1930. Autor de nombrosos estudis de física nuclear.;172.007972;172.007972;172.008° East;-27.041346;27.041° South;Cara oculta;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;V-065-M II-075-M II-033-M;233;233;137;137;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Van de Graaff;Van de Graaff;6305;240.467;-27.04134553;172.0079719;-23.67988777;-30.38791084;175.7760754;168.1530514;LOLA2011;North America;American;Crater, craters;AA;Van de Graaff;LAC-104;Adopted by IAU;01.01.1970 00:00;;Robert Jemison. American physicist (1901-1967).;http://planetarynames.wr.usgs.gov/Feature/6305
VAN DEN BERGH;AA3091N15921W;3091N15921;AA;Cràter;;;;G. Van den Bergh;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Països Baixos;holandès;20;segle 20è;??;1890;??;1966;??;-159.208077;200.791923;159.208° West;30.909592;30.910° North;Cara oculta;Nord-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;42;42;25;25;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Van den Bergh;Van den Bergh;6306;43.4159;30.90959218;200.7919226;31.62547493;30.19370842;201.6263142;199.9575367;LOLA2011;Europe;Netherlands (Dutch);Crater, craters;AA;Cockcroft;LAC-51;Adopted by IAU;01.01.1970 00:00;;George. Dutch astronomer (1890-1966).;http://planetarynames.wr.usgs.gov/Feature/6306
VAN DEN BOS;AA0526S14595E;0526S14595;AA;Cràter;;;;Willem Hendrik van den Bos;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;República Sudafricana;sudafricà;20;segle 20è;??;1896;??;1974;??;145.953654;145.953654;145.954° East;-5.260232;5.260° South;Cara oculta;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;22;22;13;13;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;van den Bos;van den Bos;6307;25.1834;-5.260232194;145.9536542;-4.844984055;-5.675477982;146.370657;145.5366535;LOLA2011;Africa;South Africa;Crater, craters;AA;Dellinger;LAC-84;Adopted by IAU;01.01.1979 00:00;;Willem Hendrik. South African astronomer (1896-1974).;http://planetarynames.wr.usgs.gov/Feature/6307
VAN DER WAALS;AA4356S11998E;4356S11998;AA;Cràter;;;;Johannes Diderik Van der Waals;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Països Baixos;holandès;20;segle 20è;Leyde;1837;Amsterdam;1923;Autor d'una llei sobre els estats dels fluids en 1880. Autor d'una teoria dinàmica de la capil·laritat. Premi Nobel en 1910.;119.980598;119.980598;119.981° East;-43.556449;43.556° South;Cara oculta;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;104;104;61;61;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Van der Waals;Van der Waals;6308;113.366;-43.5564489;119.9805976;-41.68715668;-45.4257412;122.5604267;117.4007702;LOLA2011;Europe;Netherlands (Dutch);Crater, craters;AA;Milne;LAC-117;Adopted by IAU;01.01.1970 00:00;;Johannes Diderik. Dutch physicist. Nobel laureate (1837-1923).;http://planetarynames.wr.usgs.gov/Feature/6308
VAN GENT;AA1542N16027E;1542N16027;AA;Cràter;;;;H. Van Gent;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Països Baixos;holandès;20;segle 20è;??;1900;??;1947;??;160.27073;160.27073;160.271° East;15.421713;15.422° North;Cara oculta;Nord-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;43;43;25;25;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Van Gent;Van Gent;6311;44.372;15.42171288;160.2707304;16.15336037;14.69006538;161.0297031;159.5117588;LOLA2011;Europe;Netherlands (Dutch);Crater, craters;AA;Mandel'shtam;LAC-67;Adopted by IAU;01.01.1970 00:00;;Hendrik. Dutch astronomer (1900-1947).;http://planetarynames.wr.usgs.gov/Feature/6311
VAN MAANEN;AA3603N12818E;3603N12818;AA;Cràter;;;;Adriaan Van Maanen;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1884;??;1946;Descobridor d'una estrella amb gran moviment propi en una constel·lació (?).;128.177581;128.177581;128.178° East;36.031934;36.032° North;Cara oculta;Nord-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;V-158-M V-163-M;60;60;35;35;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Van Maanen;Van Maanen;6313;46.4248;36.03193424;128.1775807;36.79745293;35.26642036;129.1237278;127.2314396;LOLA2011;North America;American;Crater, craters;AA;Millikan;LAC-30;Adopted by IAU;01.01.1970 00:00;;Adriaan. Dutch-American astronomer (1884-1946).;http://planetarynames.wr.usgs.gov/Feature/6313
VAN RHIJN;AA5247N14637E;5247N14637;AA;Cràter;;;;Pieter J. van Rhijn;UAI 1976 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Països Baixos;holandès;20;segle 20è;??;1886;??;1960;??;146.367816;146.367816;146.368° East;52.466826;52.467° North;Cara oculta;Nord-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;46;46;27;27;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;van Rhijn;van Rhijn;6314;46.1566;52.4668258;146.3678163;53.23186302;51.709692;147.6271229;145.1296291;LOLA2011;Europe;Netherlands (Dutch);Crater, craters;AA;Störmer;LAC-17;Adopted by IAU;01.01.1970 00:00;;Pieter Johannes. Dutch astronomer (1886-1960).;http://planetarynames.wr.usgs.gov/Feature/6314
