NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
DOPPLER;AA1258S15984W;;AA;Cràter;;;;;;Christian Doppler;UAI 1973 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Àustria;austríac;19;segle 19è;Salzburg;1803;Venècia;1853;Descobridor del decalatge de la longitud d'ona en funció de la velocitat. Director de l'Institut de física de Viena en 1851. ;-159.841613;200.158387;159.842° West;-12.582842;12.583° South;Cara oculta;Sud-Oest;;110;110;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DOUGLASS;AA3550N12272W;;AA;Cràter;;;;;;Andrew E. Douglass;UAI 1976 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1867;??;1962;??;-122.721386;237.278614;122.721° West;35.49846;35.498° North;Cara oculta;Nord-Oest;;49;49;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DREYER;AA1024N09709E;;AA;Cràter;;;;;;Johan Ludwig Emile Dreyer;UAI 1985 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Dinamarca;danès;20;segle 20è;Copenhague;1852;Oxford;1926;Autor del New General Catalogue de nebuloses i cúmuls estel·lars en 1888 i dels seus dos Index Catalogues en 1895 i 1908. ;97.094802;97.094802;97.095° East;10.237235;10.237° North;Zona libracions;Nord-Est;;61;61;;Desconeguda;Altura desconeguda. Càlcul impossible;Formació circular situada a la zona de les libracions;;;;;1;Formació difícil o poc interessant;1;2 dies després de la Lluna Nova;1 dia després de la Lluna Plena;30;Prismàtics 10X;Ullera de 50 mm
DRUDE;AA3856S09189W;;AA;Cràter;;;;;;Paul K. L. Drude;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Alemanya;alemany;19;segle 19è;Brunswick;1863;Berlín;1906;Autor de la teoria de l'estructura electrònica dels metalls en 1902.;-91.888796;268.111204;91.889° West;-38.564426;38.564° South;Zona libracions;Sud-Oest;;24;24;;Desconeguda;Altura desconeguda. Càlcul impossible;Formació circular situada a la zona de les libracions;;;;;1;Formació difícil o poc interessant;14;Lluna Plena;6 dies després del Quart Minvant;30;Prismàtics 10X;Ullera de 50 mm
DRYDEN;AA3321S15615W;;AA;Cràter;;;;;;Hugh Latimer Dryden;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Estats Units;americà;20;segle 20è;Pocomoke City;1898;Washington;1965;Director del National Bureau of Standards en 1946. Estudi sobre la turbulència. Inventor del primer giny militar autoguiat en 1944. Sots-director de la Nasa en 1958.;-156.150673;203.849327;156.151° West;-33.21467;33.215° South;Cara oculta;Nord-Oest;;51;51;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DUFAY;AA0557N16954E;;AA;Cràter;;;;;;Jean Claude Barthélémy Dufay;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;França;francès;20;segle 20è;Blois;1896;Chaponost;1967;Primer director de l'observatori de l'Alta Provença. Estudis sobre l'espectrofotometria estel·lar, la corona solar, els cometes i el medi interestel·lar.;169.539702;169.539702;169.540° East;5.566593;5.567° North;Cara oculta;Nord-Est;;39;39;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DUGAN;AA6412N10311E;;AA;Cràter;;;;;;Raymond S. Dugan;UAI 1976 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1878;??;1940;??;103.105924;103.105924;103.106° East;64.121262;64.121° North;Cara oculta;Nord-Est;;50;50;;Desconeguda;Altura desconeguda. Càlcul impossible;Formació circular situada a la zona de les libracions;;;;;1;Formació difícil o poc interessant;1;2 dies després de la Lluna Nova;1 dia després de la Lluna Plena;30;Prismàtics 10X;Ullera de 50 mm
DUNER;AA4468N17946E;;AA;Cràter;;;;;;Nils C. Duner;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Suècia;suec;19;segle 19è;??;1839;??;1914;??;179.455496;179.455496;179.455° East;44.681151;44.681° North;Cara oculta;Nord-Est;;62;62;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DYSON;AA6087N12171W;;AA;Cràter;;;;;;Sir Frank Watson Dyson;UAI 1982 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Regne Unit;britànic;20;segle 20è;Ashby de la Zouch;1868;Oceà Pacífic;1939;Director de l'observatori de Greenwich en 1910. Estudis sobre el moviment propi de les estrelles i l'estructura de la Galàxia. Verificació de la teoria de la relativitat durant d'un eclipsi solar.;-121.708585;238.291415;121.709° West;60.874205;60.874° North;Cara oculta;Nord-Oest;;63;63;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DZIEWULSKI;AA2099N09902E;;AA;Cràter;;;;;;Wladyslaw Dziewulski;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Polònia;polonès;20;segle 20è;??;1878;??;1962;??;99.015088;99.015088;99.015° East;20.985018;20.985° North;Zona libracions;Nord-Est;;63;63;;Desconeguda;Altura desconeguda. Càlcul impossible;Formació circular situada a la zona de les libracions;;;;;1;Formació difícil o poc interessant;1;2 dies després de la Lluna Nova;1 dia després de la Lluna Plena;30;Prismàtics 10X;Ullera de 50 mm
EDISON;AA2488N09927E;;AA;Cràter;;;;;;Thomas Alva Edison;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Científic;Estats Units;americà;19;segle 19è;Milan;1847;West Orange;1931;Autor de més d'un miler de patents. Inventor del telègraf dúplex, del fonògraf, del projector cinematogràfic, del microtelèfon i del cinetoscopi. Descobridor del principi dels diodes. ;99.268047;99.268047;99.268° East;24.880494;24.880° North;Zona libracions;Nord-Est;;62;62;;Desconeguda;Altura desconeguda. Càlcul impossible;Formació circular situada a la zona de les libracions;;;;;1;Formació difícil o poc interessant;1;2 dies després de la Lluna Nova;1 dia després de la Lluna Plena;30;Prismàtics 10X;Ullera de 50 mm
EHRLICH;AA4082N17227W;;AA;Cràter;;;;;;Paul Ehrlich;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Metge;Alemanya;alemany;19;segle 19è;Strehlen;1854;Bad Homburg;1915;Estudis sobre els anticossos. Descobriment d'un tractament de la sífilis amb Hata. Premi Nobel en 1908.;-172.268527;187.731473;172.269° West;40.816122;40.816° North;Cara oculta;Nord-Oest;;30;30;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
EIJKMAN;AA6321S14251W;;AA;Cràter;;;;;;Christiaan H. Eijkman;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Metge;Països Baixos;holandès;20;segle 20è;Nijkerk;1858;Utrecht;1930;Treballs sobre el beriberi. Descobriment de les vitamines. Premi Nobel en 1929.;-142.514824;217.485176;142.515° West;-63.213299;63.213° South;Cara oculta;Sud-Oest;;54;54;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
EINTHOVEN;AA0506S11006E;;AA;Cràter;;;;;;Willem Einthoven;UAI 1976 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Metge;Països Baixos;holandès;20;segle 20è;Samarang;1860;Leyde;1927;Professor a la Universitat de Leyden en 1886. Inventor de l'electrocardiografia. Premi Nobel en 1924.;110.064277;110.064277;110.064° East;-5.05967;5.060° South;Cara oculta;Sud-Est;;69;69;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ELLERMAN;AA2544S12039W;;AA;Cràter;;;;;;Ferdinand Ellerman;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1869;??;1940;??;-120.393076;239.606924;120.393° West;-25.438418;25.438° South;Cara oculta;Sud-Oest;;47;47;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
