NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
THEILER;AA1336N08285E;;AA;Cratercillo;;;Periodo de nacimiento no encontrado;;;Max Theiler;(??);;Sin nombre;Sin nombre;Sin nombre;Doctor;;;20;Siglo XX;Pretoria;1899;New Haven;1972;Profesor de medicina tropical en Harvard. Descubridor de una vacuna contra la fiebre amarilla. Premio Nobel en 1951.;82.850009;82.850009;82.850° East;13.363156;13.363° North;Librations zone;Norte-Este;Limbo Este de la Luna;8;8;;?;Altura desconocida. Cálculo imposible.;Formación circular aislada con forma cóncava;;Vertientes poco escarpadas.;Paredes de escasa altura.;Suelo redondeado.;1;Formación de bajo interés o dificultad;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
THEON JUNIOR;AA0241S01579E;;AA;Cráter;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años);;;Théon d'Alejandría;(??);;Sin nombre;Sin nombre;Sin nombre;Astrónomo y Matemático;Grecia;Griego;4;Siglo IV;?;?;?;?;Autor de un comentario sobre el 'Almagesto' de Ptolomeo. Promotor de los trabajos de Euclides, Arquímedes y Heron.;15.793034;15.793034;15.793° East;-2.409408;2.409° South;Nearside;Sur-Este;Región al Este del cráter Ptolemaeus;18;18;;3580;0,1925;Formación circular muy profunda con forma cóncava formando una interesante pareja con Theon Senior.;;;Paredes muy altas.;Suelo redondeado.;2;Formación bastante interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
THEON SENIOR;AA0081S01542E;;AA;Cráter;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años);;;Théon de Smyrne;(??);;Sin nombre;Sin nombre;Sin nombre;Matemático y Filósofo;Grecia;Griego;1;Siglo I;?;?;?;?;;15.419197;15.419197;15.419° East;-0.814313;0.814° South;Nearside;Sur-Este;Región al Este del cráter Ptolemaeus;18;18;;3470;0,1907;Formación circular muy profunda con forma cóncava formando una interesante pareja con Theon Junior.;;Vertientes escarpadas soportando Theon Senior A al Norte.;Paredes muy altas.;Suelo redondeado.;2;Formación bastante interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
THEOPHILUS;AA1145S02628E;;AA;Cráter;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años);;;Theophilus;Riccioli (1651);;Ferd. Francisci Imp. Rom. F.;Mons Moschus;Theophilus;Filósofo;Grecia;Griego;4;Siglo IV;Alejandría?;?;?;412;??;26.284715;26.284715;26.285° East;-11.452445;11.452° South;Nearside;Sur-Este;Región al Noroeste del cráter Theophilus;101;101;;4400;44;Formación circular formando un trío destacable con Cyrillus y Catharina.;;Vertientes escarpadas y tortuosas sobresaliendo de Sinus Asperitatis 1200 m y conteniendo Cyrillus al Sureste Theophilus F al Oeste y Mädler al Este.;Paredes muy altas con terrazas solapadas por Theophilus B al Noroeste.;Suelo plano. Imponente montaña central 1 400 m de altura con 4 cumbres. Línea de crestas colinas y cratercillos.;4;Formación excepcional;5;5 días después de la Luna Nueva;4 días después de la Luna Llena;5;A simple vista;Prismáticos de 10x
THEOPHRASTUS;AA1746N03906E;;AA;Cratercillo;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años) ?;;;Théophraste (ex Maraldi M);(??);;Sin nombre;Sin nombre;Sin nombre;Filósofo;Grecia;Griego;-4;Siglo IV a. de C.;Erésos;372 a. de C.;Atenas;287 a. de C.;Autor de a treaty en 24 works 'On Laws'. Equally author de dos works on nature y de the 'Characters'.;39.057032;39.057032;39.057° East;17.463473;17.463° North;Nearside;Norte-Este;Región al Norte de Mare Tranquilitatis;8;8;;1700;0,1889;Formación circular aislada con forma cóncava.;;Vertientes poco escarpadas.;Paredes de escasa altura.;Suelo redondeado.;1;Formación de bajo interés o dificultad;5;5 días después de la Luna Nueva;4 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
TIMAEUS;AA6291N00055W;;AA;Cráter;;;Imbriano Superior (Desde -3.8 mil millones de años hasta -3.2 mil millones de años);;;Timaeus o Timaios;(??);;Timochari;Sin nombre;Sin nombre;Historiador;Grecia;Griego;-5;Siglo V A. DE C.;Siracusa;alrededor del año 400 a. de C.;Siracusa;?;Vivió en Atenas. Pitagórico y amigo de Platón. Autor de una 'Historia de Sicilia y Grecia';-0.547043;359.452957;0.547° West;62.9129;62.913° North;Nearside;Norte-Oeste;Limbo Norte de la Luna;33;33;;?;Altura desconocida. Cálculo imposible.;Formación circular brillante situada en la pared Suroeste de W. Bond. Pequeños rayos.;;Vertientes escarpadas.;Paredes altas con ligeras terrazas.;Suelo tortuoso. Doble montaña central.;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
TIMOCHARIS;AA2672N01310W;;AA;Cráter;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años);;;Timocharis;Riccioli (1651);;Gassendi;Insula Corsica;Timocharis;Astrónomo;Grecia;Griego;-5;Siglo V A. DE C.;?;450 a. de C.;?;350 a. de C.;Cercano a la escuela de Alejandría. Tentativas de definir las coordenadas estelares basadas en la Eclíptica.;-13.100183;346.899817;13.100° West;26.717232;26.717° North;Nearside;Norte-Oeste;Situado al Sureste de Mare Imbrium;35;35;;3110;0,0915;Formación circular aislada. Rayos.;;Vertientes escarpadas conteniendo el cratercillo Timocharis B al Noreste.;Paredes muy altas con terrazas.;Suelo plano y poco ancho. Relieve central aplastado por un cratercillo.;4;Formación excepcional;8;1 día después del Cuarto Creciente;Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
TISSERAND;AA2141N04817E;;AA;Cráter;;;Nectariano (Desde -3.92 mil millones de años hasta -3.85 mil millones de años);;;François Tisserand;Krieger / König (1912);;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;Francés;19;Siglo XIX;Nuits-Saint-Georges;1845;París;1896;;48.166649;48.166649;48.167° East;21.41313;21.413° North;Nearside;Norte-Este;Borde Noroeste de Mare Crisium;36;36;;?;Altura desconocida. Cálculo imposible.;;;Vertientes escarpadas conteniendo Macrobius F al Norte y 2 unequal cráteres al Noreste.;Paredes altas con terrazas solapadas por un cratercillo alargado al Noreste.;Suelo bastante plano.;3;Formación muy interesante;4;4 días después de la Luna Nueva;3 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
T. MAYER;AA1554N02917W;;AA;Cráter;;;Imbriano Inferior (Desde -3.85 mil millones de años hasta -3.8 mil millones de años);;;Johann Tobias Mayer;Schroter (1802);;Sin nombre;Insula Calathe;Sin nombre;Astrónomo;Alemania;Alemán;18;Siglo XVIII;Marbach;1723;Göttingen;1762;Selenógrafo. Autor de tablas de posición lunar en 1761.;-29.166964;330.833036;29.167° West;15.536996;15.537° North;Nearside;Norte-Oeste;Región entre Oceanus Procellarum y Mare Imbrium;34;34;;1600;0,0485;Formación circular.;;Vertientes escarpadas conteniendo Tobias Mayer A al Sureste.;Paredes de escasa altura.;Suelo plano relleno con lava. Pequeña montaña central.  Cratercillos.;3;Formación muy interesante;9;2 días después del Cuarto Creciente;1 día después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
TOLANSKY;AA0952S01598W;;AA;Cráter;;;Imbriano (Desde -3.85 mil millones de años hasta -3.2 mil millones de años) ?;;;Samuel Tolansky (ex Parry A);(??);;Sin nombre;Sin nombre;Sin nombre;Físico;Gran Bretaña;Británico;20;Siglo XX;?;1907;?;1973;??;-15.982244;344.017756;15.982° West;-9.518562;9.519° South;Nearside;Sur-Oeste;Región al Oeste del cráter Ptolemaeus;13;13;;880;0,0677;Formación circular solapando una fisura de Rimae Parry.;;Vertientes poco escarpadas.;Paredes de escasa altura.;Suelo plano relleno con lava.;2;Formación bastante interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
