NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
HANNO;AA5646S07138E;;AA;Cratere;;;Periodo di formazione sconosciuto;;;Annone;Mädler (1837);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Navigatore;Cartagine;cartaginese;-5;5° secolo a.C.;?;?;?;?;Ha esplorato le coste dell'Africa, affittando lo Stretto di Gibilterra.;71.384144;71.384144;71.384° East;-56.463703;56.464° South;Nearside;Sud-Est;Bordo Sud-Sud-Est della Luna;58;58;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare.;;Versanti poco scoscesi su cui si trovano molti piccoli crateri.;Pareti poco elevate.;Fondo piatto.;2;Formazione abbastanza interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
HANSEN;AA1404N07254E;;AA;Cratere;;;Imbriano Superiore (da -3.8 miliardi di anni a -3.2 miliardi di anni);;;Peter Andreas Hansen;Mädler (1837);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Danimarca;danese;19;19° secolo;Tondern;1795;Gotha;1874;Specialista di meccanica celeste.  Autore di un metodo per calcolare le perturbazioni del moto dei pianeti.  Autore delle tavole della posizione del Sole nel 1854 e della Luna nel 1857.;72.542339;72.542339;72.542° East;14.043847;14.044° North;Nearside;Nord-Est;Bordo Orientale della Luna;41;41;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare.;;Versanti abbastanza scoscesi su cui si trova Hansen A a Sud-Est.;Pareti alte e terrazzate su cui si trova un cratere ad Ovest.;Fondo tormentato. Montagna centrale.;3;Formazione molto interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
HANSTEEN;AA1153S05206W;;AA;Cratere;;;Imbriano Superiore (da -3.8 miliardi di anni a -3.2 miliardi di anni);;;Christopher Hansteen;Mädler (1837);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo e geofisico;Norvegia;norvegese;18;18° secolo;Oslo;1784;Oslo;1873;Ha scoperto le variazioni del campo magnetico terrestre nel 1821. Fondatore di un Osservatorio a Oslo nel 1833.  Supervisore del lavoro di triangolazione della Norvegia.;-52.059153;307.940847;52.059° West;-11.530706;11.531° South;Nearside;Sud-Ovest;Parte Sud-Occidentale dell'Oceanus Procellarum;46;46;;1250;0.0278;Formazione circolare che costituisce un'interessante coppia con Billy.;;Versanti scoscesi su cui si trovano Rima Hansteen a Sud-Ovest, Hansteen A e B a Sud, e Hansteen E a Nord-Est.;Pareti poco elevate leggermente terrazzate.;Fondo tormentato. Collinette decentrate.;3;Formazione molto interessante;11;4 giorni dopo il Primo Quarto;3 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm
HARDING;AA4354N07166W;;AA;Cratere;;;Periodo di formazione sconosciuto;;;Carl Ludwig Harding;Mädler (1837);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Germania;tedesco;18;18° secolo;Lauenburg;1765;Gottinga;1834;Scopritore dell'asteroide Giunone (Juno) nel 1803.  Direttore dell'Osservatorio di Göttingen.;-71.656171;288.343829;71.656° West;43.540064;43.540° North;Nearside;Nord-Ovest;Bordo Nord-Occidentale della Luna;24;24;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare a forma di conca.;;Versanti abbastanza scoscesi.;Alte pareti.;Fondo arrotondato.;2;Formazione abbastanza interessante;13;6 giorni dopo il Primo Quarto;5 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm
HARGREAVES;AA0218S06409E;;AA;Cratere;;;Pre-Imbriano (da -4.55 miliardi di anni a -3.85 miliardi di anni) ?;;;Frederick J. Hargreaves (ex Maclaurin S);(??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo e ottico;Gran Bretagna;britannico;20;20° secolo;?;1891;?;1970;??;64.092557;64.092557;64.093° East;-2.178338;2.178° South;Nearside;Sud-Est;Bordo Orientale della Luna;17;17;;?;Altezza ignota. Calcolo impossibile.;Formazione deformata e danneggiata.;;Versanti abbastanza scoscesi ma inesistenti a Nord e su cui si trovano Maclaurin HA a Sud-Ovest, Maclaurin H a Nord e Maclaurin T ad Est.;Pareti poco elevate, inglobate a Nord nella lava di Maclaurin H.;Fondo piatto riempito di lava comunicante con quello di Maclaurin H a Nord.;2;Formazione abbastanza interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
HARPALUS;AA5273N04349W;;AA;Cratere;;;Copernicano (da -1.1 miliardi di anni ad oggi);;;Arpalo;Riccioli (1651);;Morini;Nome non assegnato;Harpalus;Astronomo;Grecia;greco;-5;5° secolo a.C.;?;460 a.C. circa;?;?;??;-43.493801;316.506199;43.494° West;52.7316;52.732° North;Nearside;Nord-Ovest;Bordo Nord-Nord-Ovest della Luna;41;41;;2850;0.0731;Formazione circolare. Raggi.;;Versanti poco scoscesi.;Pareti alte e terrazzate.;Fondo piatto. Tre montagne decentrate. Piccoli crateri.;3;Formazione molto interessante;11;4 giorni dopo il Primo Quarto;3 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm
HARTWIG;AA0614S08047W;;AA;Cratere;;;Periodo di formazione sconosciuto;;;Carl E. Hartwig;Arthur / Whitaker (1963);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Germania;tedesco;19;19° secolo;?;1851;?;1923;??;-80.469448;279.530552;80.469° West;-6.135603;6.136° South;Librations zone;Sud-Ovest;Bordo Occidentale della Luna;82;82;;?;Altezza ignota. Calcolo impossibile.;Formazione deformata situata nella zona delle librazioni che costituisce una coppia con Schlüter.;;Versanti abbastanza scoscesi.;Pareti rovinate e poco alte.;Fondo tormentato con piccoli crateri.;1;Formazione di scarso interesse;14;durante la Luna Piena;6 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm
HASE;AA2937S06268E;;AA;Cratere;;;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;;;Johann M. Hase;Schröter (1802);;Nome non assegnato;Mons Nerosus;Nome non assegnato;Matematico;Germania;tedesco;18;18° secolo;?;1684;?;1742;??;62.682752;62.682752;62.683° East;-29.370793;29.371° South;Nearside;Sud-Est;Bordo Meridionale del Mare Fecunditatis;85;85;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare danneggiata situata sulla parete Sud di Petavius.;;Versanti abbastanza scoscesi su cui si trovano molti crateri tra cui Palitzsch a Nord-Est.;Pareti poco elevate danneggiate dall'intrusione del vasto cratere Hase D a Sud.;Fondo molto tormentato su cui si trova Hase A.;2;Formazione abbastanza interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
HAUSEN;AA6511S08849W;;AA;Cratere;;;Eratosteniano (da -3.2 miliardi di anni a -1.1 miliardi di anni);;;Christian A. Hausen;Schröter (1802);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo, matematico e fisico;Germania;tedesco;18;18° secolo;?;1693;?;1743;??;-88.490535;271.509465;88.491° West;-65.110546;65.111° South;Librations zone;Sud-Ovest;Bordo Sud-Sud-Ovest della Luna;172;172;;3800;0.0228;Formazione circolare situata nella zona delle librazioni e che fa parte della 'Luna Incognita'.;;Versanti scoscesi e tormentati su cui si trova Hausen A a Nord.;Pareti alte e terrazzate.;Fondo piatto conosciuto solo parzialmente. Montagna centrale. Collinette e piccoli crateri.;2;Formazione abbastanza interessante;14;durante la Luna Piena;6 giorni dopo l'Ultimo Quarto;5;Occhio nudo;Binocolo 10x
HAYN;AA6456N08387E;;AA;Cratere;;;Periodo di formazione sconosciuto;;;Friedrich Hayn;Arthur / Whitaker (1963);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Germania;tedesco;19;19° secolo;?;1863;?;1928;??;83.867467;83.867467;83.867° East;64.557671;64.558° North;Librations zone;Nord-Est;Bordo Nord-Nord-Est della Luna;90;90;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare situata nella zona delle librazioni.;;Versanti molto scoscesi e tormentati.;Pareti alte e terrazzate.;Fondo piatto. Montagna centrale;1;Formazione di scarso interesse;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
HECATAEUS;AA2206S07968E;;AA;Circo;;;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);;;Ecateo di Mileto;(??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico e geografo;Grecia;greco;-6;6° secolo a.C.;?;550 a.C.;?;480 a.C.;Autore di un'opera sul suo viaggio in Persia.  Ha realizzato una delle prime mappe della Terra.  Autore delle 'Genealogie'.;79.675447;79.675447;79.675° East;-22.061298;22.061° South;Nearside;Sud-Est;Bordo Est-Sud-Est della Luna;131;131;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare situata al limite della zona delle librazioni sul versante Nord di Humboldt.;;Versanti scoscesi su cui si sovrappone un grande cratere a Sud-Ovest.;Pareti abbastanza alte, su cui si trovano due piccoli crateri ad Est.;Fondo piatto ma tormentato a Sud-Ovest.;3;Formazione molto interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;5;Occhio nudo;Binocolo 10x
