NAME;F_LATIN;F_LONGIN;PLATE;IMAGE;LATIN;LONGIN
ABBE;-57.3;+175.2;V-043-M;v_043_m;-47.43;+151.42
ABBE;-57.3;+175.2;V-065-M;v_065_m;-48.77;+168.61
ABEL;-34.5;+87.3;IV-009-H3;iv_009_h3;-41.79;-96.2
ABENEZRA;-21.0;+11.9;IV-096-H1;iv_096_h1;-15.18;-10.67
ABETTI;+19.9;+27.7;IV-085-H3;iv_085_h3;+12.99;-23.94
ABUL WAFA;+1.0;+116.6;I-136-M;i_136_m;-5.4;-129.34
ABULFEDA;-13.8;+13.9;IV-089-H2;iv_089_h2;-15.09;-16.9
ABULFEDA;-13.8;+13.9;IV-096-H2;iv_096_h2;-15.18;-10.67
ABULFEDA;-13.8;+13.9;IV-096-M;iv_096_m;-15.17;-10.67
ACOSTA;-5.6;+60.1;IV-046-H3;iv_046_h3;-14.81;-63.4
ACOSTA;-5.6;+60.1;IV-184-H1;iv_184_h1;-35.18;-69.32
ADAMS;-31.9;+68.2;IV-038-H3;iv_038_h3;-42.64;-77.77
ADAMS;-31.9;+68.2;IV-039-H1;iv_039_h1;-14.9;-69.88
ADAMS;-31.9;+68.2;IV-184-H2;iv_184_h2;-35.18;-69.32
AGATHARCHIDES;-19.8;-30.9;IV-132-H1;iv_132_h1;-9.14;+29.59
AGRIPPA;+4.1;+10.5;IV-097-H1;iv_097_h1;+12.97;-9.66
AIRY;-18.1;+5.7;IV-101-H2;iv_101_h2;-15.19;-3.83
AITKEN;-16.8;+173.4;II-033-H3;ii_033_h3;-10.29;-174.09
AITKEN;-16.8;+173.4;II-033-M;ii_033_m;-10.39;-174.07
AITKEN;-16.8;+173.4;II-075-M;ii_075_m;-21.21;-157.99
AITKEN Y;-12.0;+173.2;II-033-H2;ii_033_h2;-10.29;-174.09
AL-BAKRI;+14.3;+20.2;IV-085-H2;iv_085_h2;+12.99;-23.94
AL-BAKRI;+14.3;+20.2;IV-090-H2;iv_090_h2;+13.75;-15.87
ALBATEGNIUS;-11.7;+4.3;IV-096-H2;iv_096_h2;-15.18;-10.67
ALBATEGNIUS;-11.7;+4.3;IV-101-H2;iv_101_h2;-15.19;-3.83
AL-BIRUNI;+17.9;+92.5;IV-018-H2;iv_018_h2;+14.63;-90.47
AL-BIRUNI;+17.9;+92.5;IV-165-H3;iv_165_h3;+38.84;-81.13
ALDEN;-23.6;+110.8;I-136-M;i_136_m;-5.4;-129.34
ALDEN;-23.6;+110.8;II-196-M;ii_196_m;-8.94;-100.54
ALDEN;-23.6;+110.8;III-121-M;iii_121_m;-24.13;-126.81
ALDER;-48.6;-177.4;V-043-M;v_043_m;-47.43;+151.42
ALDER;-48.6;-177.4;V-065-M;v_065_m;-48.77;+168.61
ALDRIN;+1.4;+22.1;IV-085-H1;iv_085_h1;+12.99;-23.94
ALEXANDER;+40.3;+13.5;IV-098-H2;iv_098_h2;+40.97;-18.53
ALEXANDER;+40.3;+13.5;IV-103-H2;iv_103_h2;+41.82;-11.28
ALFRAGANUS;-5.4;+19.0;IV-084-H3;iv_084_h3;-15.19;-24.28
ALFRAGANUS;-5.4;+19.0;IV-089-H3;iv_089_h3;-15.09;-16.9
ALHAZEN;+15.9;+71.8;IV-165-H3;iv_165_h3;+38.84;-81.13
ALIACENSIS;-30.6;+5.2;IV-100-H3;iv_100_h3;-42.72;-12.29
ALIACENSIS;-30.6;+5.2;IV-100-M;iv_100_m;-42.71;-12.29
ALIACENSIS;-30.6;+5.2;IV-101-H1;iv_101_h1;-15.19;-3.83
ALIACENSIS;-30.6;+5.2;IV-107-H3;iv_107_h3;-42.41;-6.45
AL-KHWARIZMI;+7.1;+106.4;II-196-M;ii_196_m;-8.94;-100.54
ALMANON;-16.8;+15.2;IV-089-H2;iv_089_h2;-15.09;-16.9
ALMANON;-16.8;+15.2;IV-096-H2;iv_096_h2;-15.18;-10.67
ALPETRAGIUS;-16.0;-4.5;IV-108-H2;iv_108_h2;-14.26;+2.36
ALPHONSUS;-13.7;-3.2;IV-108-H2;iv_108_h2;-14.26;+2.36
ALTER;+18.7;-107.5;V-015-H2;v_015_h2;+14.23;+102.38
AMICI;-9.9;-172.1;I-030-M;i_030_m;-10.27;+162.7
AMICI;-9.9;-172.1;I-035-M;i_035_m;-8.72;+162.6
AMICI;-9.9;-172.1;I-037-M;i_037_m;-7.98;+157.76
AMICI;-9.9;-172.1;I-038-M;i_038_m;-7.9;+157.26
AMUNDSEN;-84.3;+85.6;IV-005-H1;iv_005_h1;-71.5;-91.31
AMUNDSEN;-84.3;+85.6;IV-008-M;iv_008_m;-70.49;-91.36
AMUNDSEN;-84.3;+85.6;IV-044-H1;iv_044_h1;-72.12;-69.06
AMUNDSEN;-84.3;+85.6;IV-058-H1;iv_058_h1;-71.58;-54.4
AMUNDSEN;-84.3;+85.6;IV-070-H1;iv_070_h1;-72.65;-49.06
AMUNDSEN;-84.3;+85.6;IV-082-H1;iv_082_h1;-72.37;-32.47
AMUNDSEN;-84.3;+85.6;IV-094-H1;iv_094_h1;-72.11;-20.19
AMUNDSEN;-84.3;+85.6;IV-094-M;iv_094_m;-72.11;-20.19
AMUNDSEN;-84.3;+85.6;IV-106-H1;iv_106_h1;-72.16;-9.45
AMUNDSEN;-84.3;+85.6;IV-118-H1;iv_118_h1;-72.49;+6.99
AMUNDSEN;-84.3;+85.6;IV-118-M;iv_118_m;-72.49;+6.99
AMUNDSEN;-84.3;+85.6;IV-130-H1;iv_130_h1;-65.02;+25.85
AMUNDSEN;-84.3;+85.6;IV-130-M;iv_130_m;-65.02;+25.85
AMUNDSEN;-84.3;+85.6;IV-154-H1;iv_154_h1;-71.7;+33.51
ANAXAGORAS;+73.4;-10.1;IV-116-H2;iv_116_h2;+70.8;-4.49
ANAXAGORAS;+73.4;-10.1;IV-128-H2;iv_128_h2;+69.92;+9.43
ANAXAGORAS;+73.4;-10.1;IV-140-H2;iv_140_h2;+71.05;+16.31
ANAXAGORAS;+73.4;-10.1;IV-191-H1;iv_191_h1;+38.3;-53.79
ANAXIMANDER;+66.9;-51.3;IV-164-H2;iv_164_h2;+70.19;+41.49
ANAXIMANDER;+66.9;-51.3;IV-176-H2;iv_176_h2;+69.96;+54.78
ANAXIMENES;+72.5;-44.5;IV-152-H2;iv_152_h2;+69.78;+29.6
ANAXIMENES;+72.5;-44.5;IV-164-H2;iv_164_h2;+70.19;+41.49
ANAXIMENES;+72.5;-44.5;IV-176-H2;iv_176_h2;+69.96;+54.78
ANAXIMENES;+72.5;-44.5;IV-190-H2;iv_190_h2;+70.33;+63.48
ANDEL;-10.4;+12.4;IV-096-H2;iv_096_h2;-15.18;-10.67
ANDERS;-41.3;-142.9;V-026-H1;v_026_h1;-27.65;+125.06
ANDERS;-41.3;-142.9;V-030-H1;v_030_h1;-25.79;+139.3
ANDERSON;+15.8;+171.1;II-034-M;ii_034_m;+4.59;-173.51
ANDRONOV;-22.7;+146.1;I-115-M;i_115_m;-2.92;-145.26
ANDRONOV;-22.7;+146.1;I-116-M;i_116_m;-1.14;-153.4
ANGSTROM;+29.9;-41.6;IV-144-H3;iv_144_h3;+14.03;+41.76
ANGSTROM;+29.9;-41.6;IV-145-H1;iv_145_h1;+42.34;+33.7
ANGSTROM;+29.9;-41.6;IV-151-H1;iv_151_h1;+40.88;+40.2
ANSGARIUS;-12.7;+79.7;IV-017-M;iv_017_m;+14.25;-90.44
ANSGARIUS;-12.7;+79.7;IV-027-H2;iv_027_h2;-15.22;-82.67
ANSGARIUS;-12.7;+79.7;IV-178-H1;iv_178_h1;-33.87;-82.21
ANSGARIUS;-12.7;+79.7;IV-178-M;iv_178_m;-33.87;-82.21
ANTONIADI;-69.7;-172.0;IV-008-M;iv_008_m;-70.49;-91.36
ANTONIADI;-69.7;-172.0;V-021-M;v_021_m;-85.28;+168.61
ANUCHIN;-49.0;+101.3;IV-009-H1;iv_009_h1;-41.79;-96.2
ANVILLE;+1.9;+49.5;IV-060-H3;iv_060_h3;-13.58;-48.79
ANVILLE;+1.9;+49.5;IV-061-H1;iv_061_h1;+14.14;-49.69
APIANUS;-26.9;+7.9;IV-095-H3;iv_095_h3;-42.54;-18.7
APIANUS;-26.9;+7.9;IV-096-H1;iv_096_h1;-15.18;-10.67
APIANUS;-26.9;+7.9;IV-096-M;iv_096_m;-15.17;-10.67
APIANUS;-26.9;+7.9;IV-100-H3;iv_100_h3;-42.72;-12.29
APIANUS;-26.9;+7.9;IV-101-H1;iv_101_h1;-15.19;-3.83
APOLLO;-36.1;-151.8;V-030-H1;v_030_h1;-25.79;+139.3
APOLLO;-36.1;-151.8;V-030-H2;v_030_h2;-25.79;+139.3
APOLLO;-36.1;-151.8;V-030-M;v_030_m;-25.37;+139.16
APOLLO 11;+0.7;+23.4;IV-084-H3;iv_084_h3;-15.19;-24.28
APOLLO 11;+0.7;+23.4;IV-085-H1;iv_085_h1;+12.99;-23.94
APOLLO 12;-3.2;-23.4;IV-125-H3;iv_125_h3;-14.89;+22.97
APOLLO 12;-3.2;-23.4;IV-126-H1;iv_126_h1;+12.86;+23.05
APOLLO 14;-3.7;-17.5;IV-120-H3;iv_120_h3;-14.29;+15.64
APOLLO 15;+26.1;+3.7;IV-102-H3;iv_102_h3;+12.96;-3.63
APOLLO 15;+26.1;+3.7;IV-103-H1;iv_103_h1;+41.82;-11.28
APOLLO 15;+26.1;+3.7;IV-110-H1;iv_110_h1;+42.59;-3.35
APOLLO 16;-9;+15.5;IV-089-H3;iv_089_h3;-15.09;-16.9
APOLLO 17;+20.2;+30.8;IV-078-H3;iv_078_h3;+13.3;-30.21
APOLLONIUS;+4.5;+61.1;IV-184-H1;iv_184_h1;-35.18;-69.32
APPLETON;+37.2;+158.3;V-079-M;v_079_m;+38.78;-167.58
APPLETON;+37.2;+158.3;V-085-H2;v_085_h2;+38.73;-158.84
APPLETON;+37.2;+158.3;V-085-M;v_085_m;+38.85;-158.87
APPLETON;+37.2;+158.3;V-103-M;v_103_m;+38.84;-150.83
ARAGO;+6.2;+21.4;IV-085-H1;iv_085_h1;+12.99;-23.94
ARATUS;+23.6;+4.5;IV-102-H3;iv_102_h3;+12.96;-3.63
ARCHIMEDES;+29.7;-4.0;IV-109-H3;iv_109_h3;+13.79;+3.58
ARCHIMEDES;+29.7;-4.0;IV-109-M;iv_109_m;+13.79;+3.58
ARCHIMEDES;+29.7;-4.0;IV-110-H1;iv_110_h1;+42.59;-3.35
ARCHIMEDES;+29.7;-4.0;IV-115-H1;iv_115_h1;+42.27;+2.67
ARCHYTAS;+58.7;+5.0;IV-104-H1;iv_104_h1;+70.35;-18.09
ARCHYTAS;+58.7;+5.0;IV-116-H1;iv_116_h1;+70.8;-4.49
ARCHYTAS;+58.7;+5.0;IV-191-H1;iv_191_h1;+38.3;-53.79
ARGELANDER;-16.5;+5.8;IV-101-H2;iv_101_h2;-15.19;-3.83
ARIADAEUS;+4.6;+17.3;IV-090-H1;iv_090_h1;+13.75;-15.87
ARISTARCHUS;+23.7;-47.4;IV-150-H3;iv_150_h3;+12.7;+49.29
ARISTARCHUS;+23.7;-47.4;IV-151-H1;iv_151_h1;+40.88;+40.2
ARISTARCHUS;+23.7;-47.4;IV-157-M;iv_157_m;+13.36;+56.27
ARISTILLUS;+33.9;+1.2;IV-110-H1;iv_110_h1;+42.59;-3.35
ARISTOTELES;+50.2;+17.4;IV-092-H1;iv_092_h1;+71.16;-32.22
ARISTOTELES;+50.2;+17.4;IV-098-H3;iv_098_h3;+40.97;-18.53
ARISTOTELES;+50.2;+17.4;IV-103-H3;iv_103_h3;+41.82;-11.28
ARISTOTELES;+50.2;+17.4;IV-104-H1;iv_104_h1;+70.35;-18.09
ARISTOTELES;+50.2;+17.4;IV-110-H3;iv_110_h3;+42.59;-3.35
ARMINSKI;-16.4;+154.2;I-115-M;i_115_m;-2.92;-145.26
ARMINSKI;-16.4;+154.2;I-116-M;i_116_m;-1.14;-153.4
ARMINSKI;-16.4;+154.2;II-075-H1;ii_075_h1;-21.1;-158.01
ARMINSKI;-16.4;+154.2;II-075-M;ii_075_m;-21.21;-157.99
ARMSTRONG;+1.4;+25.0;IV-085-H1;iv_085_h1;+12.99;-23.94
ARNOLD;+66.8;+35.9;IV-068-H2;iv_068_h2;+70.93;-53.66
ARNOLD;+66.8;+35.9;IV-080-H2;iv_080_h2;+70.45;-46.09
ARNOLD;+66.8;+35.9;IV-092-H2;iv_092_h2;+71.16;-32.22
ARNOLD;+66.8;+35.9;IV-165-H1;iv_165_h1;+38.84;-81.13
ARNOLD;+66.8;+35.9;IV-177-H1;iv_177_h1;+38.81;-67.86
ARNOLD;+66.8;+35.9;IV-191-H1;iv_191_h1;+38.3;-53.79
ARRHENIUS;-55.6;-91.3;IV-193-H3;iv_193_h3;-63.88;+85.98
ARTAMONOV;+25.5;+103.5;V-181-M;v_181_m;+41.96;-109.41
ARTEM'EV;+10.8;-144.4;I-039-M;i_039_m;-6.49;+149.05
ARTEM'EV;+10.8;-144.4;V-028-H1;v_028_h1;+26.39;+133.19
ARTEM'EV;+10.8;-144.4;V-030-H3;v_030_h3;-25.79;+139.3
ARTEM'EV;+10.8;-144.4;V-031-M;v_031_m;+28.04;+135.71
ARTEM'EV;+10.8;-144.4;V-032-M;v_032_m;+24.94;+138.09
ARTSIMOVICH;+27.6;-36.6;IV-138-H3;iv_138_h3;+13.7;+36.45
ARTSIMOVICH;+27.6;-36.6;IV-144-H3;iv_144_h3;+14.03;+41.76
ARZACHEL;-18.2;-1.9;IV-108-H2;iv_108_h2;-14.26;+2.36
ASADA;+7.3;+49.9;IV-061-H1;iv_061_h1;+14.14;-49.69
ASADA;+7.3;+49.9;IV-191-H3;iv_191_h3;+38.3;-53.79
ASCLEPI;-55.1;+25.4;IV-082-H3;iv_082_h3;-72.37;-32.47
ASCLEPI;-55.1;+25.4;IV-094-H3;iv_094_h3;-72.11;-20.19
ASCLEPI;-55.1;+25.4;IV-095-H1;iv_095_h1;-42.54;-18.7
ASCLEPI;-55.1;+25.4;IV-100-H1;iv_100_h1;-42.72;-12.29
ASCLEPI;-55.1;+25.4;IV-107-H1;iv_107_h1;-42.41;-6.45
ASTON;+32.9;-87.7;IV-189-H1;iv_189_h1;+41.71;+79.99
ATLAS;+46.7;+44.4;IV-074-H2;iv_074_h2;+40.7;-45.57
ATLAS;+46.7;+44.4;IV-074-H3;iv_074_h3;+40.7;-45.57
ATLAS;+46.7;+44.4;IV-079-H2;iv_079_h2;+41.83;-39.05
ATLAS;+46.7;+44.4;IV-079-H3;iv_079_h3;+41.83;-39.05
ATLAS;+46.7;+44.4;IV-177-H1;iv_177_h1;+38.81;-67.86
ATLAS;+46.7;+44.4;IV-191-H2;iv_191_h2;+38.3;-53.79
ATWOOD;-5.8;+57.7;IV-053-H3;iv_053_h3;-14.82;-56.82
ATWOOD;-5.8;+57.7;IV-184-H1;iv_184_h1;-35.18;-69.32
AUTOLYCUS;+30.7;+1.5;IV-103-H1;iv_103_h1;+41.82;-11.28
AUTOLYCUS;+30.7;+1.5;IV-110-H1;iv_110_h1;+42.59;-3.35
AUWERS;+15.1;+17.2;IV-090-H2;iv_090_h2;+13.75;-15.87
AUZOUT;+10.3;+64.1;IV-191-H3;iv_191_h3;+38.3;-53.79
AVERY;-1.4;+81.4;IV-027-H3;iv_027_h3;-15.22;-82.67
AVOGADRO;+63.1;+164.9;V-053-M;v_053_m;+48.97;+176.11
AZOPHI;-22.1;+12.7;IV-089-H1;iv_089_h1;-15.09;-16.9
AZOPHI;-22.1;+12.7;IV-096-H1;iv_096_h1;-15.18;-10.67
AZOPHI;-22.1;+12.7;IV-096-M;iv_096_m;-15.17;-10.67
BAADE;-44.8;-81.8;IV-186-H2;iv_186_h2;-42.27;+81.34
BAADE;-44.8;-81.8;IV-193-H3;iv_193_h3;-63.88;+85.98
BAADE;-44.8;-81.8;IV-194-H2;iv_194_h2;-42.97;+86.5
BABAKIN;-20.8;+123.3;I-136-M;i_136_m;-5.4;-129.34
BABBAGE;+59.7;-57.1;IV-164-H1;iv_164_h1;+70.19;+41.49
BABBAGE;+59.7;-57.1;IV-170-H3;iv_170_h3;+41.77;+59.6
BABBAGE;+59.7;-57.1;IV-175-H3;iv_175_h3;+41.29;+66.78
BABBAGE;+59.7;-57.1;IV-176-H1;iv_176_h1;+69.96;+54.78
BABBAGE;+59.7;-57.1;IV-190-H1;iv_190_h1;+70.33;+63.48
BABCOCK;+4.2;+93.9;II-196-M;ii_196_m;-8.94;-100.54
BACK;+1.1;+80.7;IV-027-H3;iv_027_h3;-15.22;-82.67
BACK;+1.1;+80.7;IV-178-H1;iv_178_h1;-33.87;-82.21
BACKLUND;-16.0;+103.0;II-196-H3;ii_196_h3;-8.84;-100.56
BACKLUND;-16.0;+103.0;II-196-M;ii_196_m;-8.94;-100.54
BACO;-51.0;+19.1;IV-094-H3;iv_094_h3;-72.11;-20.19
BACO;-51.0;+19.1;IV-095-H1;iv_095_h1;-42.54;-18.7
BACO;-51.0;+19.1;IV-100-H1;iv_100_h1;-42.72;-12.29
BACO;-51.0;+19.1;IV-107-H1;iv_107_h1;-42.41;-6.45
BAILLAUD;+74.6;+37.5;IV-068-H2;iv_068_h2;+70.93;-53.66
BAILLAUD;+74.6;+37.5;IV-080-H2;iv_080_h2;+70.45;-46.09
BAILLAUD;+74.6;+37.5;IV-092-H2;iv_092_h2;+71.16;-32.22
BAILLAUD;+74.6;+37.5;IV-104-H2;iv_104_h2;+70.35;-18.09
BAILLAUD;+74.6;+37.5;IV-165-H1;iv_165_h1;+38.84;-81.13
BAILLAUD;+74.6;+37.5;IV-177-H1;iv_177_h1;+38.81;-67.86
BAILLY;-66.5;-69.1;IV-166-H2;iv_166_h2;-71.31;+60.23
BAILLY;-66.5;-69.1;IV-166-H3;iv_166_h3;-71.31;+60.23
BAILLY;-66.5;-69.1;IV-166-M;iv_166_m;-71.3;+60.23
BAILLY;-66.5;-69.1;IV-172-M;iv_172_m;-42.93;+67.94
BAILLY;-66.5;-69.1;IV-179-H2;iv_179_h2;-69.52;+74.07
BAILLY;-66.5;-69.1;IV-179-H3;iv_179_h3;-69.52;+74.07
BAILLY;-66.5;-69.1;IV-179-M;iv_179_m;-69.51;+74.07
BAILLY;-66.5;-69.1;IV-180-M;iv_180_m;-40.83;+75.22
BAILLY;-66.5;-69.1;IV-193-H2;iv_193_h2;-63.89;+85.97
BAILLY;-66.5;-69.1;IV-193-M;iv_193_m;-63.88;+85.98
BAILY;+49.7;+30.4;IV-086-H3;iv_086_h3;+41.02;-31.25
BAILY;+49.7;+30.4;IV-091-H3;iv_091_h3;+42.03;-25.72
BAILY;+49.7;+30.4;IV-092-H1;iv_092_h1;+71.16;-32.22
BALBOA;+19.1;-83.2;IV-182-H2;iv_182_h2;+15.25;+81.41
BALBOA;+19.1;-83.2;IV-182-H3;iv_182_h3;+15.25;+81.41
BALDET;-53.3;-151.1;V-022-H1;v_022_h1;-26.96;+112.55
BALDET;-53.3;-151.1;V-026-H1;v_026_h1;-27.65;+125.06
BALDET;-53.3;-151.1;V-030-H1;v_030_h1;-25.79;+139.3
BALL;-35.9;-8.4;IV-112-H3;iv_112_h3;-42.58;+1.35
BALL;-35.9;-8.4;IV-119-H3;iv_119_h3;-42.79;+7.44
BALMER;-20.3;+69.8;IV-039-H1;iv_039_h1;-14.9;-69.88
BALMER;-20.3;+69.8;IV-178-H1;iv_178_h1;-33.87;-82.21
BALMER;-20.3;+69.8;IV-184-H1;iv_184_h1;-35.18;-69.32
BANCROFT;+28.0;-6.4;IV-109-H3;iv_109_h3;+13.79;+3.58
BANCROFT;+28.0;-6.4;IV-114-H3;iv_114_h3;+13.46;+10.97
BANCROFT;+28.0;-6.4;IV-115-H1;iv_115_h1;+42.27;+2.67
BANTING;+26.6;+16.4;IV-090-H3;iv_090_h3;+13.75;-15.87
BANTING;+26.6;+16.4;IV-091-H1;iv_091_h1;+42.03;-25.72
BARBIER;-23.8;+157.9;II-033-M;ii_033_m;-10.39;-174.07
BARBIER;-23.8;+157.9;II-075-H2;ii_075_h2;-21.1;-158.01
BARBIER;-23.8;+157.9;II-075-M;ii_075_m;-21.21;-157.99
BARKLA;-10.7;+67.2;IV-039-H2;iv_039_h2;-14.9;-69.88
BARKLA;-10.7;+67.2;IV-184-H1;iv_184_h1;-35.18;-69.32
BARNARD;-29.5;+85.6;II-196-M;ii_196_m;-8.94;-100.54
BARNARD;-29.5;+85.6;IV-009-H3;iv_009_h3;-41.79;-96.2
BARNARD;-29.5;+85.6;IV-027-H1;iv_027_h1;-15.22;-82.67
BAROCIUS;-44.9;+16.8;IV-095-H2;iv_095_h2;-42.54;-18.7
BAROCIUS;-44.9;+16.8;IV-100-H2;iv_100_h2;-42.72;-12.29
BARRINGER;-28.0;-149.7;I-028-M;i_028_m;-10.23;+153.78
BARRINGER;-28.0;-149.7;I-030-M;i_030_m;-10.27;+162.7
BARRINGER;-28.0;-149.7;I-035-M;i_035_m;-8.72;+162.6
BARRINGER;-28.0;-149.7;I-036-M;i_036_m;-8.65;+162.1
BARRINGER;-28.0;-149.7;I-037-M;i_037_m;-7.98;+157.76
BARRINGER;-28.0;-149.7;V-030-H2;v_030_h2;-25.79;+139.3
BARROW;+71.3;+7.7;IV-104-H2;iv_104_h2;+70.35;-18.09
BARROW;+71.3;+7.7;IV-116-H2;iv_116_h2;+70.8;-4.49
BARROW;+71.3;+7.7;IV-191-H1;iv_191_h1;+38.3;-53.79
BARTELS;+24.5;-89.8;IV-188-H3;iv_188_h3;+13.38;+89.22
BARTELS;+24.5;-89.8;IV-196-H3;iv_196_h3;+12.85;+94.86
BAYER;-51.6;-35.0;IV-142-H1;iv_142_h1;-42.04;+33.37
BAYER;-51.6;-35.0;IV-148-H1;iv_148_h1;-42.95;+41.38
BAYER;-51.6;-35.0;IV-154-H3;iv_154_h3;-71.7;+33.51
BAYER;-51.6;-35.0;IV-155-H1;iv_155_h1;-42.41;+48.89
BEALS;+37.3;+86.5;IV-165-H2;iv_165_h2;+38.84;-81.13
BEAUMONT;-18.0;+28.8;IV-077-H2;iv_077_h2;-14.93;-30.15
BECQUEREL;+40.7;+129.7;V-158-H3;v_158_h3;+37.83;-126.77
BECQUEREL;+40.7;+129.7;V-158-M;v_158_m;+37.94;-126.79
BECQUEREL;+40.7;+129.7;V-163-M;v_163_m;+38.16;-121.24
BECVAR;-1.9;+125.2;I-136-M;i_136_m;-5.4;-129.34
BEER;+27.1;-9.1;IV-114-H3;iv_114_h3;+13.46;+10.97
BEER;+27.1;-9.1;IV-115-H1;iv_115_h1;+42.27;+2.67
BEER;+27.1;-9.1;IV-122-H1;iv_122_h1;+42.08;+9.24
BEHAIM;-16.5;+79.4;IV-017-M;iv_017_m;+14.25;-90.44
BEHAIM;-16.5;+79.4;IV-027-H2;iv_027_h2;-15.22;-82.67
BEHAIM;-16.5;+79.4;IV-178-H1;iv_178_h1;-33.87;-82.21
BEIJERINCK;-13.5;+151.8;I-115-M;i_115_m;-2.92;-145.26
BEIJERINCK;-13.5;+151.8;I-116-M;i_116_m;-1.14;-153.4
BEIJERINCK;-13.5;+151.8;II-075-M;ii_075_m;-21.21;-157.99
BEKETOV;+16.3;+29.2;IV-078-H2;iv_078_h2;+13.3;-30.21
BEL'KOVICH;+61.1;+90.2;IV-023-M;iv_023_m;+43.72;-99
BEL'KOVICH;+61.1;+90.2;IV-165-H1;iv_165_h1;+38.84;-81.13
BELL;+21.8;-96.4;IV-196-H3;iv_196_h3;+12.85;+94.86
BELLINSGAUZEN;-60.6;-164.6;V-026-H1;v_026_h1;-27.65;+125.06
BELLINSGAUZEN;-60.6;-164.6;V-043-M;v_043_m;-47.43;+151.42
BELLOT;-12.4;+48.2;IV-060-H2;iv_060_h2;-13.58;-48.79
BELOPOL'SKIY;-17.2;-128.1;V-026-H2;v_026_h2;-27.65;+125.06
BELYAEV;+23.3;+143.5;V-124-M;v_124_m;+38.67;-143.83
BENEDICT;+4.4;+141.5;I-115-M;i_115_m;-2.92;-145.26
BENEDICT;+4.4;+141.5;I-116-M;i_116_m;-1.14;-153.4
BENEDICT;+4.4;+141.5;I-136-M;i_136_m;-5.4;-129.34
BERGMAN;+7.0;+137.5;I-115-M;i_115_m;-2.92;-145.26
BERGMAN;+7.0;+137.5;I-116-M;i_116_m;-1.14;-153.4
BERGMAN;+7.0;+137.5;I-136-M;i_136_m;-5.4;-129.34
BERKNER;+25.2;-105.2;V-008-M;v_008_m;+59.72;+111.5
BERKNER;+25.2;-105.2;V-014-M;v_014_m;+14.75;+102.28
BERKNER;+25.2;-105.2;V-015-H2;v_015_h2;+14.23;+102.38
BERLAGE;-63.2;-162.8;V-043-M;v_043_m;-47.43;+151.42
BERNOUILLI;+35.0;+60.7;IV-055-H1;iv_055_h1;+42.07;-65.57
BERNOUILLI;+35.0;+60.7;IV-062-H1;iv_062_h1;+42.38;-59.16
BERNOUILLI;+35.0;+60.7;IV-177-H2;iv_177_h2;+38.81;-67.86
BERNOUILLI;+35.0;+60.7;IV-191-H2;iv_191_h2;+38.3;-53.79
BEROSUS;+33.5;+69.9;IV-165-H2;iv_165_h2;+38.84;-81.13
BEROSUS;+33.5;+69.9;IV-177-H2;iv_177_h2;+38.81;-67.86
BERZELIUS;+36.6;+50.9;IV-062-H1;iv_062_h1;+42.38;-59.16
BERZELIUS;+36.6;+50.9;IV-067-H2;iv_067_h2;+41.8;-51.64
BERZELIUS;+36.6;+50.9;IV-191-H2;iv_191_h2;+38.3;-53.79
BESSARION;+14.9;-37.3;IV-138-H2;iv_138_h2;+13.7;+36.45
BESSARION A;+17.1;-39.8;IV-144-H2;iv_144_h2;+14.03;+41.76
BESSEL;+21.8;+17.9;IV-090-H3;iv_090_h3;+13.75;-15.87
BETTINUS;-63.4;-44.8;IV-154-H3;iv_154_h3;-71.7;+33.51
BHABHA;-55.1;-164.5;V-026-H1;v_026_h1;-27.65;+125.06
BHABHA;-55.1;-164.5;V-030-H1;v_030_h1;-25.79;+139.3
BHABHA;-55.1;-164.5;V-043-M;v_043_m;-47.43;+151.42
BIANCHINI;+48.7;-34.3;IV-145-H3;iv_145_h3;+42.34;+33.7
BIANCHINI;+48.7;-34.3;IV-151-H3;iv_151_h3;+40.88;+40.2
BIANCHINI;+48.7;-34.3;IV-152-H1;iv_152_h1;+69.78;+29.6
BIELA;-54.9;+51.3;IV-058-H3;iv_058_h3;-71.58;-54.4
BIELA;-54.9;+51.3;IV-058-M;iv_058_m;-71.57;-54.4
BIELA;-54.9;+51.3;IV-064-H1;iv_064_h1;-42.56;-50.55
BIELA;-54.9;+51.3;IV-070-H3;iv_070_h3;-72.65;-49.06
BIELA;-54.9;+51.3;IV-071-H1;iv_071_h1;-43.69;-46.67
BIELA;-54.9;+51.3;IV-076-H1;iv_076_h1;-42.77;-37.87
BIELA;-54.9;+51.3;IV-083-H1;iv_083_h1;-42.95;-32.82
BIELA;-54.9;+51.3;IV-184-H3;iv_184_h3;-35.18;-69.32
BILHARZ;-5.8;+56.3;IV-053-H3;iv_053_h3;-14.82;-56.82
BILHARZ;-5.8;+56.3;IV-184-H1;iv_184_h1;-35.18;-69.32
BILLY;-13.8;-50.1;IV-149-H2;iv_149_h2;-15.05;+48.76
BINGHAM;+8.1;+115.1;I-136-M;i_136_m;-5.4;-129.34
BINGHAM;+8.1;+115.1;II-196-M;ii_196_m;-8.94;-100.54
BIOT;-22.6;+51.1;IV-060-H1;iv_060_h1;-13.58;-48.79
BIRKELAND;-30.2;+173.9;II-033-M;ii_033_m;-10.39;-174.07
BIRKELAND;-30.2;+173.9;V-065-M;v_065_m;-48.77;+168.61
BIRKHOFF;+58.7;-146.1;V-008-M;v_008_m;+59.72;+111.5
