GLO_WORD;GLO_TEXT
КРАТЕРОПОДОБНЫЕ ОБРАЗОВАНИЯ;Образования с формой кратера создаются падениями метеоритов (<a href="#КРАТЕР">Кратер</a>, <a href="#МАЛЫЙ КРАТЕР">Малый кратер</a> и <a href="#КРАТЕР С ПЛОСКИМИ СТЕНКАМИ">Кратер с плоскими стенками</a>). Они состоят из <a href="#УКЛОНЫ">уклонов</a>, возвышающихся на окружающей местностью, <a href="#СКЛОНЫ">склонов</a>, опускающихся в образовании и внутреннем <a href="#ОСНОВАНИЕ">основании</a>.
ЛАВА;Высокотемпературные, текущие жидкие породы, появляющиеся из вулканических образований. Лава - основной компонент лунных <a href="#МОРЕ">морей</a>.
ЛАКУС (LACUS,ОЗЕРО);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения <a href="#ОЗЕРО">озера</a>.
ЛИБРАЦИЯ;Видимая осцилляция Луны для земного наблюдателя. В моменты либраций можно наблюдать небольшие участки <a href="#ОБРАТНАЯ СТОРОНА">обратной стороны</a>. Существует 3 вида либраций: <a href="#ЛИБРАЦИЯ ПО ДОЛГОТЕ">Либрация по Долготе</a>, <a href="#ЛИБРАЦИЯ ПО ШИРОТЕ">Либрация по Широте</a> и Дневная Либрация.
ЛИБРАЦИЯ ПО ДОЛГОТЕ;Из-за постоянной скорости <a href="#ВРАЩЕНИЕ">вращения</a> и меняющейся скорости <a href="#ОБРАЩЕНИЕ">обращения</a> Луны, либрации по долготе позволяют земному наблюдателю видеть Восточные и Западные границы <a href="#ОБРАТНАЯ СТОРОНА">обратной стороны</a> Луны.
ЛИБРАЦИЯ ПО ШИРОТЕ;Из-за разницы в наклонах Лунной и Земной орбит вокруг солнца, можно иногда видеть северные и южные части <a href="#ОБРАТНАЯ СТОРОНА">обратной стороны</a> Луны.
ЛИНИЯ ТОЧЕК ПЕРЕСЕЧЕНИЯ ОРБИТ;Линия, соединяющая точки пересечения лунной орбиты и Эклиптики. Существует Узел Восходящий и Узел Нисходящий. Эта линия делает полный оборот за 18,61 года.
ЛУНА;Серия советских лунных автоматических научно-исследовательских станций.
ЛУНАР ОРБИТЕР (LUNAR ORBITER);Американские лунные автоматические научно-исследовательские станции, находящиеся на орбите Луны.
ЛУНАХОД;Советские мобильные машины, доставленные на Луны двумя <a href="#ЛУНА">лунными</a> автоматическими научно-исследовательскими станциями.
ЛУННАЯ НОМЕНКЛАТУРА;Перечень имен лунных образований, официально принятых Международным Астрономическим Союзом (<a href="#МАС (IAU)">IAU</a>).
ЛУННАЯ ТОПОНИМИКА;Происхождение имен лунных образований.
ЛУННОЕ ЗАТМЕНИЕ;Исчезновение лунного диска, во время прохождения в тени Земли. Это явление происходит только во время <a href="#ПОЛНОЛУНИЕ">полнолуния</a>, когда Солнце, Земля и Луна выстраиваются в одну линию.
ЛУННЫЙ МЕСЯЦ;Период времени между двумя <a href="#НОВОЛУНИЕ">новолуниями</a>.
МАЛЫЙ КРАТЕР;<a href="#КРАТЕРОПОДОБНЫЕ ОБРАЗОВАНИЯ">Кратероподобные образования</a> малого диаметра тарелкообразной формы и с округлым <a href="#ОСНОВАНИЕ">основанием</a>.
МАРЭ (MARE,МОРЕ);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения <a href="#МОРЕ">моря</a>.
МАС (IAU);Международный Астрономический Союз (International Astronomical Union).
МАСКОН (MASCON);"От ""Массовая Концентрация"". Массовая Концентрация, расположенная под поверхностью лунных <a href="#МОРЕ">морей</a>, в которых плотность материалов выше обычного. Это могут быть остатки метеоритов - из которых образовались <a href="#МОРЕ">моря</a>."
МЕРИДИАН;Воображаемая линия, соединяющая лунные полюсы и используемая для определения <a href="#СЕЛЕНОГРАФИЧЕСКАЯ ДОЛГОТА">селенографической долготы</a> лунных образований.
МОНС (MONS,ГОРА);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения отдельных <a href="#ГОРА">гор</a>.
МОНТС (MONTES,ГОРЫ);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения Горных цепей.
МОРЕ;Широкие, плоские и темные площади с <a href="#ГРЯДА">грядами</a>, <a href="#БОРОЗДА">бороздами</a> и отдельными <a href="#КРАТЕР">кратерами</a>. Они появились с помощью <a href="#БАЗАЛЬТ">базальтовых</a> <a href="#ЛАВА">лавовых</a> потоков из внутреннего содержимого.
НОВОЛУНИЕ;Лунная <a href="#ФАЗА">фаза</a>, когда Луна предстает Земле неосвещенным и невидимым диском, во время прохождения между Солнцем и Землей. Это начальная точка нового <a href="#ЛУННЫЙ МЕСЯЦ">лунного месяца</a> и время для некоторых <a href="#СОЛНЕЧНОЕ ЗАТМЕНИЕ">солнечных затмений</a>.
ОБРАТНАЯ СТОРОНА;Часть лунной поверхности, расположенная на другой стороне Луны и невидимая с Земли. Малая часть Обратной Стороны может быть видна в моменты <a href="#ЛИБРАЦИЯ">либраций</a>.
ОБРАЩЕНИЕ;"Время, необходимое небесному телу для совершения полного оборота вокруг ""отцовского"" тела. Включает <a href="#ЗВЕЗДНОЕ ОБРАЩЕНИЕ">звездное обращение</a> и <a href="#СИНОДИЧЕСКОЕ ОБРАЩЕНИЕ">синодическое обращение</a>."
ОЗЕРО;Расширенная область <a href="#МОРЕ">морского</a> типа с плоским и темным <a href="#ОСНОВАНИЕ">основанием</a>, полностью входящая в <a href="#КОНТИНЕНТ">континент</a>.
ОКЕАН;"Имя, данное Риккиоли единственному лунному <a href="#МОРЕ">морю</a>: ""Океану Бурь""."
ОКЕАНУС (OCEANUS,ОКЕАН);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения <a href="#ОКЕАН">океана</a>.
ОСНОВАНИЕ;Внутренняя часть <a href="#КРАТЕРОПОДОБНЫЕ ОБРАЗОВАНИЯ">Кратероподобных образований</a>, включенная в базис <a href="#СКЛОНЫ">склонов</a>.
ОТНОСИТЕЛЬНАЯ ВЫСОТА;Значения высот, указанные в базе данных являются относительными, так называемыми <a href="#ВЫСОТА">высотами</a>. Это означает значения высоты образований в сравнении с окружающей территорией.
ПАЛУС (PALUS,БОЛОТО);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения лунных болот.
ПАРАЛЛЕЛЬ;Воображаемая линия, параллельная лунному Экватору и используемая для определения <a href="#СЕЛЕНОГРАФИЧЕСКАЯ ШИРОТА">селенографической широты</a> лунных образований.
ПЕПЕЛЬНЫЙ СВЕТ;Лунный феномен между <a href="#НОВОЛУНИЕ">новолунием</a> и <a href="#ПЕРВАЯ ЧЕТВЕРТЬ">первой</a> или <a href="#ПОСЛЕДНЯЯ ЧЕТВЕРТЬ">последней</a> четвертями, когда Луна имеет форму серпа. Неосвещенная часть лунного диска еле видна, потому что получает отраженный от Земли свет, так называемый <a href="#ЗЕМНОЙ СВЕТ">Земной свет</a>.
ПЕРВАЯ ЧЕТВЕРТЬ;Видимость лунного диска, когда он в течение 7 дней после <a href="#НОВОЛУНИЕ">новолуния</a> освещен Солнцем на половину. Первую четверть можно наблюдать вечером. Луна и Солнце для земного наблюдателя разделены 90 градусами.
ПЕРИГЕЛИЙ;Ближайшая точка эллиптической орбиты небесного тела обращающего вокруг Земли.
ПОЛНОЕ ЗАТМЕНИЕ;Полные затмения Солнца и Луны происходят, когда затмевающее тело полностью закрывает другое небесное тело.
ПОЛНОЛУНИЕ;Момент видимости лунного диска, когда он полностью освещен Солнцем. Данная <a href="#ФАЗА">фаза</a> происходит, когда Солнце, Земля и Луны выстраиваются в одну линию.
ПОСЛЕДНЯЯ ЧЕТВЕРТЬ;Видимость лунного диска, когда он в течение 7 дней до <a href="#НОВОЛУНИЕ">новолуния</a> освещен Солнцем на половину. Последнюю четверть можно наблюдать утром. Луна и Солнце для земного наблюдателя разделены 90 градусами.
ПРОМОНТОРИУМ (PROMONTORIUM,МЫС);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения Мысов.
РАСТУЩАЯ ЛУНА;Популярное выражение, описывающее период времени между <a href="#НОВОЛУНИЕ">новолунием</a> и <a href="#ПОЛНОЛУНИЕ">полнолунием</a>, включая <a href="#ПЕРВАЯ ЧЕТВЕРТЬ">первую четверть</a>.
РЕГОЛИТ;Поверхностная порода, возникшая из спрессованной и сплавленной породы, созданная из поверхностного слоя камней, разрушенного метеоритной бомбардировкой.
РЕЙНЖЕР (RANGER);Американские лунные автоматические научно-исследовательские станции, приземлившиеся на Луне.
РИМА (RIMA,БОРОЗДА);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения <a href="#БОРОЗДА">борозд</a>.
РИМАЕ (RIMAE,СЕТЬ БОРОЗД);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения <a href="#СЕТЬ БОРОЗД">сети борозд</a>.
РОГАТЫЙ МЕСЯЦ;Популярное выражение, описывающее не полностью круглую Луну между <a href="#ПЕРВАЯ ЧЕТВЕРТЬ">первой четвертью</a> и <a href="#ПОЛНОЛУНИЕ">полнолунием</a>, и между <a href="#ПОЛНОЛУНИЕ">полнолунием</a> и <a href="#ПОСЛЕДНЯЯ ЧЕТВЕРТЬ">последней четвертью</a>.
РУПЕС (RUPES,СБРОС);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения <a href="#СБРОС">сброса</a>.
СБРОС;Обрыв, разделяющий две соседние территории с различными <a href="#ОТНОСИТЕЛЬНАЯ ВЫСОТА">относительными высотами</a>.
СЕЛЕНОГОРАФИЧЕСКИЕ КООРДИНАТЫ;Набор данных, состоящий из<a href="#СЕЛЕНОГРАФИЧЕСКАЯ ДОЛГОТА">селенографической долготы</a> и <a href="#СЕЛЕНОГРАФИЧЕСКАЯ ШИРОТА">селенографической широты</a> для определения положения образования на лунном глобусе.
СЕЛЕНОГРАФИЧЕСКАЯ ДОЛГОТА;Значение долготы образования указывается в градусах. Север - сверху, Юг - снизу для человека, наблюдающего невооруженным глазом. Значения долготы образований, находящихся западнее центрального меридиана отрицательны.
СЕЛЕНОГРАФИЧЕСКАЯ ШИРОТА;Значение широты образования указывается в градусах. Восток - справа, Запад - слева для человека, наблюдающего невооруженным глазом. Значения широты образований, находящихся под лунным Экватором отрицательны.
СЕЛЕНОГРАФИЯ;Раздел Астрономии, изучающий карту поверхности Луны. Также затрагивает описание лунных образований и разработку лунной номенклатуры.
