NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;SKYTEL;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ANDERS;Кратер;;William A. Anders;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астронавт;США;Американский;20;20-го века;??;1933;;;Apollo 8 mission astronaut in december 1968 with Frank Borman and Jim Lovell.;-142,9;142,9 ° Запад;-41,3;41,3 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-030-H1;40;40;24;24;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ANDERSON;Кратер;;John A. Anderson;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1876;??;1959;??;171,1;171,1 ° Восток;15,8;15,8 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;II-034-M;109;109;64;64;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ANDERSSON;Кратер;;Leif Erland;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1943;??;1979;??;-95,3;95,3 ° Запад;-49,7;49,7 ° Юг;Юго-Западный;;VI;Hausen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;13;13;8;8;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
ANDRONOV;Кратер;;Aleksandr Aleksandrovich Andronov;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;СССР;Советский;20;20-го века;??;1901;??;1952;??;146,1;146,1 ° Восток;-22,7;22,7 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;16;16;9;9;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ANTONIADI;Кратер;;Eugиne M. Antoniadi;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Франции;Французский;20;20-го века;Istanbul;1870;Meudon;1944;Survey of planetary surfaces (Mars and Mercury principally) with 82 cm Meudon refractor. Opponant to Lowell theory of Mars channels.;-172,0;172 ° Запад;-69,7;69,7 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;143;143;84;84;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ANUCHIN;Кратер;;Dimitri N. Anuchin;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;географ;СССР;Советский;20;20-го века;??;1843;??;1923;??;101,3;101,3 ° Восток;-49;49 ° Юг;Юго-Восточный;;V;Hale;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;IV-009-H1 IV-008-M;57;57;34;34;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
APOLLO;Кратер;;Apollo american missions;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;миссия высадки на луну;США;Американский;20;20-го века;;1967;;1972;Dedicated to Apollo american human missions that brought 12 astrnauts on the Moon surface.;-151,8;151,8 ° Запад;-36,1;36,1 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;537;537;316;316;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
APPLETON;Кратер;;Sir Edward Victor Appleton;UAI 1985 ?;Неизвестно;Неизвестно;Неизвестно;физик;Соединенного Королевства;Британский;20;20-го века;Bradford;1892;Edimburg;1965;Assistant de Rutherford. Ministre de la recherche en 1939. Etude sur l'ionosphиre. Auteur du premierйcho radar sur la Lune en 1946.Prix Nobel en 1947. Rutherford assistant. Research Ministry in 1939. Surveys on atmosphere. Author of firdt radar echo on the Moon in 1946. Nobel laureate in 1947.;158,3;158,3 ° Восток;37,2;37,2 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-085-H2 V-085-M V-103-M;63;63;37;37;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ARIOSTO;Кратер;;Ludovico Ariosto dit L'Arioste;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;писатель;Италии;Итальянский;16;16-го века;??;1474;??;1533;??;95,6;95,6 ° Восток;-3,6;3,6 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;23;23;14;14;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
ARMINSKI;Кратер;;Franciszek Arminski;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Польши;Польский;19;19-го века;??;1789;??;1848;??;154,2;154,2 ° Восток;-16,4;16,4 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;II-075-M II-075-H1;26;26;15;15;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ARRHENIUS;Кратер;;Svante A. Arrhenius;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;ученый;Швеции;Шведский;20;20-го века;Wijk;1859;Stockholm;1927;Director of Stockholm university in 1897. Director of Nobel institute in 1905. Author of a theory of electrolytes ionization in 1887. Author of panspermia hypothesis in 1900 and of a cosmogonic theory. Chemistry Nobel laureate in 1903.;-91,3;91,3 ° Запад;-55,6;55,6 ° Юг;Юго-Западный;;VI;Hausen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;IV-038-H2 IV-193-H3;40;40;24;24;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
ARTAMONOV;Кратер;;Nikolaj N. Artamonov;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;инженер;СССР;Советский;20;20-го века;??;1906;??;1965;Scientist involved in the soviet space program.;103,5;103,5 ° Восток;25,5;25,5 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;60;60;35;35;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ARTEM'EV;Кратер;;Vladimir A. Artem'ev;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;инженер;СССР;Советский;20;20-го века;??;1885;??;1962;Scientist involved in the soviet space program.;-144,4;144,4 ° Запад;10,8;10,8 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-032-M;67;67;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
AVICENNA;Кратер;;Abu Ali Al Husayn Ibn Sina;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;философ;Ирана;Иранский;11;11-го века;Afchana;980;Hamadhan;1037;Doctor of prince Boukhara. Author of medecine cannons. Numerous deseases description and of their treatment. Author of a cosmology based on possible and necessary beings.;-97,2;97,2 ° Запад;39,7;39,7 ° Север;Северо-Западный;;VIII;Rцntgen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;74;74;44;44;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
AVOGADRO;Кратер;;Amedeo (Conte Di Quarengna e Cerreto);UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;химик;Италии;Итальянский;19;19-го века;Turino;1776;Turino;1856;Physics professor in Turino university in 1820. Discoverer of atoms number in an atom-gram. Author of  a law on gases density.;164,9;164,9 ° Восток;63,1;63,1 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;139;139;82;82;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
