NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;SKYTEL;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
DE ROY;Кратер;;Felix De Roy;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Бельгии;Бельгийский;20;20-го века;??;1883;??;1942;??;-99,1;99,1 ° Запад;-55,3;55,3 ° Юг;Юго-Западный;;VI;Hausen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;43;43;25;25;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
DE VRIES;Кратер;;Hugo M. De Vries;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;ботаник;Нидерландов;Нидерландский;19;19-го века;Haarlem;1848;Lunteren;1935;Discoverer of mutations in 1897. General theory about plants growth.;-176,7;176,7 ° Запад;-19,9;19,9 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;59;59;35;35;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DEBUS;Кратер;;Kurt Heinrich Debus;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Германии;Германский;20;20-го века;??;1908;??;1983;??;99,6;99,6 ° Восток;-10,5;10,5 ° Юг;Юго-Восточный;;IV;Curie;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;20;20;12;12;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
DEBYE;Кратер;;Petrus Josephus Wilhelmus Debye;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;США;Американский;20;20-го века;Maastricht;1884;Ithaca;1966;Director of Physics Institute of Berlin in. Teacher at Cornell University in 1940. Surveys about quantas theory, electrolyths and low temperatures. Molecules measurements. Nobel laureate in chemist in 1936.;-176,2;176,2 ° Запад;49,6;49,6 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-053-H2 V-053-M;142;142;84;84;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DELLINGER;Кратер;;John H. Dellinger;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;США;Американский;20;20-го века;??;1886;??;1962;??;140,6;140,6 ° Восток;-6,8;6,8 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-136-M I-115-M;81;81;48;48;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DELPORTE;Кратер;;Eugene J. Delporte;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Бельгии;Бельгийский;20;20-го века;??;1882;??;1955;??;121,6;121,6 ° Восток;-16;16 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-136-M;45;45;26;26;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DENNING;Кратер;;William F. Denning;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Соединенного Королевства;Британский;20;20-го века;??;1848;??;1931;??;142,6;142,6 ° Восток;-16,4;16,4 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;44;44;26;26;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DEUTSCH;Кратер;;Armin J. Deutsch;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1918;??;1969;??;110,5;110,5 ° Восток;24,1;24,1 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;66;66;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DEWAR;Кратер;;Sir James Dewar;UAI 1988 ?;Неизвестно;Неизвестно;Неизвестно;физик;Соединенного Королевства;Британский;19;19-го века;Kincardine-Forth;1842;London;1923;Conceiver of an insulated bottle for liquefied gases and of the cordite. Author of the first hydrogene liquefaction and of fluorine in 1896.;165,5;165,5 ° Восток;-2,7;2,7 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;50;50;29;29;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DIDEROT;Кратер;;Denis Diderot;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;философ;Франции;Французский;18;18-го века;;1713;;1784;Leader of the Encyclopedia with D'Alembert.;121,5;121,5 ° Восток;-20,4;20,4 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;20;20;12;12;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DIRICHLET;Кратер;;Peter Gustave Lejeune;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;математик;Германии;Германский;19;19-го века;Dьren;1805;Gцttingen;1859;Professor in Berlin University in 1831. Numerous works on algebric numbers theory.;-151,4;151,4 ° Запад;11,1;11,1 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;47;47;28;28;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DOBROVOL'SKIY;Кратер;;Georgiy T. Dobrovol'skiy;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;космонавт;СССР;Советский;20;20-го века;??;1928;??;1971;Cosmonaut of Soyouz 11 mission. Deceased during return to Earth on the june 30th 1971 with Volkov and Patsayev.;129,7;129,7 ° Восток;-12,8;12,8 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-136-H3 I-136-M;38;38;22;22;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DOERFEL;Кратер;;Georg Samuel Dцrffel;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Германии;Германский;17;17-го века;Plauen;1643;Weida;1688;Surveys about comets. Discoverer of the parabolic shape of their orbits.;-107,9;107,9 ° Запад;-69,1;69,1 ° Юг;Юго-Западный;;VI;Hausen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;68;68;40;40;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
DONNER;Кратер;;Anders Donner;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Финляндии;Финский;20;20-го века;??;1873;??;1949;??;98;98 ° Восток;-31,4;31,4 ° Юг;Юго-Восточный;;IV;Curie;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;58;58;34;34;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
DOPPLER;Кратер;;Christian Doppler;UAI 1973 ?;Неизвестно;Неизвестно;Неизвестно;физик;Австрии;Австрийский;19;19-го века;Salzburg;1803;Venezia;1853;Discoverer of the wavelength shift in relation with speed. Director of Wien Physics Institute in 1851.;-159,6;159,6 ° Запад;-12,6;12,6 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-036-H3 I-028-M I-039-M I-040-M I-038-M I-030-M I-038-H3 I-037-M I-035-M I-036-M;110;110;65;65;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DOUGLASS;Кратер;;Andrew E. Douglass;UAI 1976 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1867;??;1962;??;-122,4;122,4 ° Запад;35,9;35,9 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;49;49;29;29;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DREYER;Кратер;;Johan Ludwig Emile Dreyer;UAI 1985 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Дании;Датский;20;20-го века;Copenhagen;1852;Oxford;1926;Author of New General Catalogue of nebulae and clusters of stars in 1888 and of the two Index Catalogues in 1895 and 1908.;96,9;96,9 ° Восток;10;10 ° Север;Северо-Восточный;;III;Mare Marginis;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;61;61;36;36;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
DRUDE;Кратер;;Paul K. L. Drude;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Германии;Германский;19;19-го века;Brunswick;1863;Berlin;1906;Author of electronic structures of matals theory in 1902.;-91,8;91,8 ° Запад;-38,5;38,5 ° Юг;Юго-Западный;;VII;Mare Orientale;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;24;24;14;14;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
DRYDEN;Кратер;;Hugh Latimer Dryden;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;США;Американский;20;20-го века;Pocomoke City;1898;Washington;1965;Director of National Bureau of Standards in 1946. Surveys about turbulences. Conceiver of the first military autoguided rocket in 1944. Director in Nasa in 1958.;-155,2;155,2 ° Запад;-33;33 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-030-H2;51;51;30;30;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DUFAY;Кратер;;Jean Claude Barthйlйmy Dufay;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Франции;Французский;20;20-го века;Blois;1896;Chaponost;1967;First director of Haute Provence Observatory. Surveys on stellar spectrophotometry, sun corona, comets and interstellar medium..;169,5;169,5 ° Восток;5,5;5,5 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;39;39;23;23;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DUGAN;Кратер;;Raymond S. Dugan;UAI 1976 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1878;??;1940;??;103,3;103,3 ° Восток;64,2;64,2 ° Север;Северо-Восточный;;II;Nansen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;50;50;29;29;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
DUNER;Кратер;;Nils C. Duner;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Швеции;Шведский;19;19-го века;??;1839;??;1914;??;179,5;179,5 ° Восток;44,8;44,8 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-053-M;62;62;36;36;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DYSON;Кратер;;Sir Frank Watson Dyson;UAI 1982 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Соединенного Королевства;Британский;20;20-го века;Ashby de la Zouch;1868;Pacific Ocean;1939;Director of Greenwich Observatory in 1910. Surveys about proper movement of stars and Milky Way structure. Verification of relativity theory during a solar eclipse.;-121,2;121,2 ° Запад;61,3;61,3 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-008-M;63;63;37;37;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
DZIEWULSKI;Кратер;;Wladyslaw Dziewulski;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Польши;Польский;20;20-го века;??;1878;??;1962;??;98,9;98,9 ° Восток;21,2;21,2 ° Север;Северо-Восточный;;III;Mare Marginis;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;63;63;37;37;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
EDISON;Кратер;;Thomas Alva Edison;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;ученый;США;Американский;19;19-го века;Milan;1847;West Orange;1931;Author of more than a thousand patents. Conceiver of duplex telegraph, phonograph, movie projector... Discoverer of diod principle.;99,1;99,1 ° Восток;25;25 ° Север;Северо-Восточный;;III;Mare Marginis;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;62;62;36;36;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
EHRLICH;Кратер;;Paul Ehrlich;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;философ;Германии;Германский;19;19-го века;Strehlen;1854;Bad Homburg;1915;Surveys on the anticorps. Discoverer of a syphilis treatment with Hata. Nobel laureate in 1908.;-172,4;172,4 ° Запад;40,9;40,9 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-053-M V-053-H1;30;30;18;18;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
EIJKMAN;Кратер;;Christiaan H. Eijkman;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;философ;Нидерландов;Нидерландский;20;20-го века;Nijkerk;1858;Utrecht;1930;Works on beriberi . Discoverer of some vitamins. Nobel laureate in 1929.;-141,5;141,5 ° Запад;-63,1;63,1 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;54;54;32;32;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
EINTHOVEN;Кратер;;Willem Einthoven;UAI 1976 ?;Неизвестно;Неизвестно;Неизвестно;философ;Нидерландов;Нидерландский;20;20-го века;Samarang;1860;Leyde;1927;Professor in Leyde University in 1886. Conceiver of electrocardiography. Nobel laureate in 1924.;109,6;109,6 ° Восток;-4,9;4,9 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-102-H1;69;69;41;41;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ELLERMAN;Кратер;;Ferdinand Ellerman;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1869;??;1940;??;-120,1;120,1 ° Запад;-25,3;25,3 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-022-H2 V-015-H1;47;47;28;28;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ELLISON;Кратер;;Mervyn A. Ellison;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Соединенного Королевства;Британский;20;20-го века;??;1909;??;1963;??;-107,5;107,5 ° Запад;55,1;55,1 ° Север;Северо-Западный;;I;Brianchon;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;36;36;21;21;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;999;Нельзя увидеть;Нельзя увидеть
ELVEY;Кратер;;Christian T. Elvey;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1899;??;1970;??;-100,5;100,5 ° Запад;8,8;8,8 ° Север;Северо-Западный;;VIII;Rцntgen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;74;74;44;44;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
EMDEN;Кратер;;J. Robert Emden;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астрофизик;Швейцарии;Швейцарский;20;20-го века;??;1862;??;1940;??;-177,3;177,3 ° Запад;63,3;63,3 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-053-M V-029-M;111;111;65;65;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ENGEL'GARDT;Кратер;;Vasilij P. Engel'gardt;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;России;Русский;19;19-го века;??;1828;??;1915;??;-159,0;159 ° Запад;5,7;5,7 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-039-M;43;43;25;25;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ERRO;Кратер;;Luis E. Erro;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Мексики;Мексиканский;20;20-го века;??;1897;??;1955;??;98,5;98,5 ° Восток;5,7;5,7 ° Север;Северо-Восточный;;III;Mare Marginis;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;61;61;36;36;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
ESNAULT-PELTERIE;Кратер;;Robert A. C. Esnault-Pelterie;UAI 1988 ?;Неизвестно;Неизвестно;Неизвестно;инженер;Франции;Французский;20;20-го века;Paris;1881;Nice;1957;Conceiver of the and of several thermical engines for airplanes. Founder of the International Bourget Airshow. Numerous surveys about spatial propulsion.;-141,4;141,4 ° Запад;47,7;47,7 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-025-M V-028-H3 V-029-M V-029-H1;79;79;46;46;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ESPIN;Кратер;;Thomas H. E. C. Espin;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Соединенного Королевства;Британский;20;20-го века;??;1858;??;1934;??;109,1;109,1 ° Восток;28,1;28,1 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;75;75;44;44;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
EVANS;Кратер;;Sir Arthur Evans;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;археолог;Соединенного Королевства;Британский;19;19-го века;??;1851;??;1941;??;-133,5;133,5 ° Запад;-9,5;9,5 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;67;67;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
EVDOKIMOV;Кратер;;Nikolaj N. Evdokimov;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;СССР;Советский;20;20-го века;??;1868;??;1940;??;-153,0;153 ° Запад;34,8;34,8 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-039-M;50;50;29;29;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
EVERSHED;Кратер;;John Evershed;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Соединенного Королевства;Британский;20;20-го века;??;1864;??;1956;??;-159,5;159,5 ° Запад;35,7;35,7 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-039-H1 V-039-M;66;66;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
FABRY;Кратер;;Charles Fabry;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Франции;Французский;20;20-го века;Marseille;1867;Paris;1945;Director of Optics Institute of Paris and member of french Academy of Sciences in 1921. Conceiver with Perrot and Buisson of an interferometer. Discoverer of the ozona layer. First verification of Doppler-Fizeau effect.;100,7;100,7 ° Восток;42,9;42,9 ° Север;Северо-Восточный;;III;Mare Marginis;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;184;184;108;108;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
FECHNER;Кратер;;Gustav Theodor Fechner;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;философ;Германии;Германский;19;19-го века;Gross-Sдrchen;1801;Leipzig;1887;Conceiver of a philosophical concept in which the individual spirit is part of the God spirit.;124,9;124,9 ° Восток;-59;59 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;63;63;37;37;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
