NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;LENGTH_KM_ILCD;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK;
BOREL;AA2237N02642E;2237N02642E;IAU Named formation;Crater;AA;Craterlet;Meteoritic impact;Eratosthenian (From -3.2 billions years to -1.1 billions years) ?;Period source not found;No details;Félix Borel (ex Le Monnier C);?;01/01/1976 00:00:00;Not named;Not named;Not named;Mathematician;France;French;20;20 th century;Saint-Affrique;1871;Paris;1956;Founder of the Institute Henri Poincaré.  Theory of totalities.  Member of the Academy of Sciences in 1921.;26.424081;26.424081;26.424° East;22.373543;22.374° North;Nearside;North-East;South-East part of Mare Serenitatis;24;Bessel;317;1b5 / 3g6 / 4g1;334N/C 148C;Not described;;5;4,66;5;3;3;2,3;927;2966,4;0,19903980178832;A__________A;0,468881218282995;0;0;0,39144;0,359565724703072;93,2;3,45185185185185;0,7456;3,47244413835169;14,5409417183563;Isolated circular formation with bowl shape. Recent.;;Few steep slopes.;Few high walls.;Rounded floor.;;1;Low interest or difficult formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;Borel;Borel;824;4.66243;22.373543173225;26.4240813365458;22.4504222869873;22.296667098999;26.5072193145752;26.3409442901611;LOLA2011;Europe;France;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;01/01/1976 00:00:00;;F�lix �douard �mile. French mathematician (1871-1956).;http://planetarynames.wr.usgs.gov/Feature/824;
BORIS;AA3053N03350W;3053N03350W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Birth period not found;Period source not found;No details;Russian male name.;IAU;01/01/1979 00:00:00;;;;?;Europe;Russia;;;;;;;;-33.500674;326.499326;33.501° West;30.533907;30.534° North;Nearside;North-West;Aristarchus;Not determined;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;1.72605;1,73;1.72605;1.03;1.03;0,8;340;1088;0,197077267630843;A__________A;0,081566732631633;0;0;0,14532;0,09986998285282;34,6;1,28148148148148;0,2768;1,00626067572889;6,32944010089849;;;;;;;;;10;Three days after First Quarter;Two days after Last Quarter;;;;Boris;Boris;826;1.72605;30.5339071481911;326.499325948796;30.5623683929443;30.5054454803467;326.53236579895;326.466287612915;LOLA2011;Europe;Russia;Crater, craters;AA;Aristarchus;LAC-39;Adopted by IAU;01/01/1979 00:00:00;;Russian male name.;http://planetarynames.wr.usgs.gov/Feature/826;
BORMAN;AA3906S14825W;3906S14825W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Lower Imbrian (From -3.85 billions years to -3.8 billions years);Wilhelms / 1987 / Geological history of the Moon table;ol-norite ;Frank Borman;IAU 1970 ?;Not approved;Not known;Not known;Not known;?;;;;;;;;;;-148,25;;;-39,06;;;;Not determined;99;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;;50,72;;;;25,3;3403;10889,6;0,067108913329605;A____________________________A;25,2121848947121;1,37200079425412;10,56648;4,22489623515498;7,78817493165658;254,213423944594;9,41531199794793;2,03370739155675;67,9319096358543;107,864082435811;;;;;;Not described;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BORN;AA0605S06683E;0605S06683E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Period source not found;No details;Max Born (ex Maclaurin Y);?;01/01/1979 00:00:00;Not named;Not named;Not named;Physicist;Germany;German;20;20 th century;Breslau;1882;G?ttingen;1970;Initiator of the theory quantique.  Author of a method of approximation that wears its name. Works in physical molecular and atomic.  Price Nobel in 1954.;66.827353;66.827353;66.827° East;-6.052608;6.053° South;Nearside;South-East;Moon East limb;49;Langrenus;188;15b6;099C 105C 112C;Not described;;15;15,07;15;9;9;7,5;2362;7558,4;0,156747035273477;A____________A;3,72161620562184;0;0;1,50594792121604;2,0523594237091;103,554659644673;3,83535776461752;0,828437277157384;18,7096733871931;38,9455336632111;Circular formation with bowl shape.;;Few steep slopes supporting a craterlet to the South and one to the North-East.;Few high walls.;Rounded floor.;;1;Low interest or difficult formation;2;2 days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor;Born;Born;828;15.0674;-6.05260827579133;66.8273530689915;-5.80416107177734;-6.30105400085449;67.0771808624268;66.5775241851807;LOLA2011;Europe;Germany;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;01/01/1979 00:00:00;;Max. German physicist (1882-1970).;http://planetarynames.wr.usgs.gov/Feature/828;
BORYA;AA3830N03500W;3830N03500W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Birth period not found;Period source not found;No details;Slavic male name Boris in Russian diminutive form.;IAU;14/06/2012 00:00:00;;;;?;Europe;Russia;;;;;;;;-35.000381;324.999619;35.000° West;38.299370;38.299° North;Nearside;North-West;Sinus Iridum;Not determined;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;0.4;0,4;0.4;0.24;0.24;0,2;77;246,4;0,194212273061594;A__________A;0,006151734427116;0;0;0,0336;0;8;0,296296296296296;0,064;0,161334727996361;1,85147798312877;;Lunokhod-1;;;;;;;10;Three days after First Quarter;Two days after Last Quarter;;;;Borya;Borya;15004;0.4;38.299369812012;324.99961853027;38.299369812012;38.299369812012;324.99961853027;324.99961853027;LOLA2011;Europe;Russia;Crater, craters;AA;Sinus Iridum;LAC-24;Adopted by IAU;14/06/2012 00:00:00;;Slavic male name Boris in Russian diminutive form.;http://planetarynames.wr.usgs.gov/Feature/15004;
BOSCH;AA8682N13354E;8682N13354E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Birth period not found;Period source not found;No details;Carl Bosch;IAU;22/01/2009 00:00:00;;;;?;Europe;Germany;;;;;;;;133.542942;133.542942;133.543° East;86.817516;86.818° North;Farside;;Peary;No map;No map;No map or picture;No map or picture;No map or picture;Not described;;19.5827;19,58;19.5827;11.73;11.73;9,7;2555;8176;0,130533934978489;A______________A;5,9076000733645;0,210388619869004;2,50122;1,88128448211081;2,73650001667154;125,691881590693;4,65525487372936;1,00553505272554;24,7099493948525;48,5173380801868;Not observable;;;;;;;;0;not observable;not observable;;;;Bosch;Bosch;14524;19.5827;86.8175155860832;133.542941962405;87.1404132843018;86.4946193695068;139.369188308716;127.716695785522;LOLA2011;Europe;Germany;Crater, craters;AA;Peary;LAC-1;Adopted by IAU;22/01/2009 00:00:00;;Carl. German chemist, Nobel Prize winner 1931 (1874-1940).;http://planetarynames.wr.usgs.gov/Feature/14524;
BOSCOVICH;AA0971N01101E;0971N01101E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Birth period not found;Period source not found;No details;Ruggero Guiseppe Boscovich;Schr?ter (1802);01/01/1935 00:00:00;Taye;Collis Aconitus;Julius Caesar;Mathematician and astronomer;Croaty;Croatian;18;18 th century;Dubrovnik;1711;Milan;1787;Author of many astronomy and mathematics works.  Promoter of theories of Newton. Author of an atomic theory of the matter.;11.011104;11.011104;11.011° East;9.710929;9.711° North;Nearside;North-East;East of Mare Tranquillitatis region;34;Hyginus;280;1 e3;351C 357C 154C 161C 167C;Not described;V-030-H1 IV-097-H2;46;41,53;46;28;28;20,7;3204;10252,8;0,077173022320434;A________________________A;19,6415455509069;0,925388833559066;8,18627;3,56468640894724;6,25221476875547;219,257101153928;8,12063337607142;1,75405680923143;54,9326344513552;91,2015879855924;Wrecked formation of South-East North-West oriented rectangular shape.;;Steep slopes supporting the lengthened crater Boscovich P to the North-West.;Pretty high walls collapsed to the West.;Flat floor filled of somber lava supporting Rimae Boscovich. Line of crest.;This is not a very striking telescopic object under any phase, on account of its broken, irregular, and generally ill-defined border. It is, however, remarkable as being one of the darkest spots on the visible surface: in this respect a fit companion to Julius Caesar, its neighbour on the W. Schmidt shows some ridges within it.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;Boscovich;Boscovich;831;41.5288;9.71092913313593;11.0111043080778;10.3962230682373;9.02666664123535;11.7064113616943;10.3170566558838;LOLA2011;Europe;Italy;Crater, craters;AA;Julius Caesar;LAC-60;Adopted by IAU;01/01/1935 00:00:00;;Rudjer J.. Italian physicist (1711-1787).;http://planetarynames.wr.usgs.gov/Feature/831;
BOSE;AA5395S16936W;5395S16936W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;ol-gabbroic norite;Sir Jagadis Chandra Bose;IAU 1970 ?;Not approved;Not known;Not known;Not known;?;;;;;;;;;;-169,36;;;-53,95;;;;Not determined;99;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;;92,55;;;;46,2;4079;13052,8;0,044076122246825;A____________________________________________A;53,4374540924425;0;21,40045;7,0442319606535;15,0820387724388;396,720271020609;14,6933433711337;3,17376216816487;128,705120363278;178,700498833483;;;;;;Not described;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOSS;AA4575N08868E;4575N08868E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms and Byrne / 2009;No details;Lewis Boss;Arthur / Whitaker (1963);01/01/1964 00:00:00;Not named;Not named;Not named;Astronomer;U. S. A.;American;19;19 th century;?;1846;?;1912;Author of a catalogue of stars.;88.679925;88.679925;88.680° East;45.747968;45.748° North;Librations zone;North-East;Moon North-East limb;16;Gauss;0;Not determined;Q1NE;Not described;IV-165-H2;48;50,2;47;29;29;25,1;3393;10857,6;0,067594070505149;A____________________________A;24,8897508483237;1,34442807536809;10,4318;4,18804990809041;7,70047703156997;252,282188392276;9,34378475526949;2,01825750713821;67,1921557618435;106,935054583755;In the zone of librations. Circular formation.;Not on Plate 9A but probably Upper Imbrian. possibly Lower Imbrian ;Steep slopes.;High walls.;Flat floor. Small central mountain.;;1;Low interest or difficult formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor;Boss;Boss;836;50.2004;45.747967752797;88.6799252330723;46.573205947876;44.9227237701416;89.7928981781006;87.5679035186768;LOLA2011;North America;American;Crater, craters;AA;Fabry;LAC-29;Adopted by IAU;01/01/1964 00:00:00;;Lewis. American astronomer (1846-1912).;http://planetarynames.wr.usgs.gov/Feature/836;
BOUGUER;AA5232N03582W;5232N03582W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Copernician (From -1.1 billions years to present days) ?;Period source not found;No details;Pierre Bouguer;M?dler (1837);01/01/1935 00:00:00;Not named;Mons Atlas Major;Not named;Geophysicist;France;French;18;18 th century;Le Croisic;1698;Paris;1758;Mission to Peru with La Condamine in 1735.  Discoverer of anomalies of the field of gravity of the Earth.  Inventor of the héliometer in 1748.;-35.822785;324.177215;35.823° West;52.322436;52.322° North;Nearside;North-West;Moon North-North-West limb;2;Pythagoras;384;6f5 / 8a6;040N 048N 055N 201N 205N 213N;Not described;IV-145-H3 IV-152-H1 IV-158-H3 IV-151-H3;23;22,23;23;14;14;11,1;2655;8496;0,1194510067068;A________________A;8,99847667893708;0,27016058740132;3,18757;2,09561854069146;3,14610465921121;138,070545686005;5,1137239142965;1,10456436548804;28,2776981741116;53,9722322183095;Circular formation.;;Pretty steep slopes.;High walls.;Extensive and little flat floor.;A bright regular little ring-plain, about 8 miles in diameter, N. of Bianchini;2;Pretty interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor;Bouguer;Bouguer;839;22.2346;52.3224356940925;324.177214847258;52.6890659332275;51.9558086395264;324.777032852173;323.577402114868;LOLA2011;Europe;France;Crater, craters;AA;J. Herschel;LAC-11;Adopted by IAU;01/01/1935 00:00:00;;Pierre. French hydrographer (1698-1758).;http://planetarynames.wr.usgs.gov/Feature/839;
BOUSSINGAULT;AA7021S05373E;7021S05373E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Jean-Baptiste Boussingault;M?dler (1837);01/01/1935 00:00:00;Not named;Not named;Not named;Chemist and botanist;France;French;19;19 th century;Paris;1801;Paris;1887;Works in metallurgy and on nitrogenous fertilizer.  Member of the Academy of Sciences in 1839.;53.734171;53.734171;53.734° East;-70.206334;70.206° South;Nearside;South-East;Moon South-South-East limb;75;Hagecius;38;14b2 / 16h1;315S 323S 328S 334S Q4S 099S 105S 112S 119S 124S 131S;Not described;IV-184-H3 IV-094-M IV-058-M IV-070-H2 IV-044-M IV-044-H2 IV-058-H2;131;127,61;131;79;79;63,8;4493;14377,6;0,035211707641596;A________________________________________________________A;0;0;30,48099;9,25583685855011;21,4665828920274;503,176700872488;18,6361741063884;4,0254136069799;181,060359571504;234,007092032603;Circular formation with double enclosure.;;Steep slopes supporting Boussingault E to the North-West and Boussingault B to the South-East.;High walls in terraces overlapped by Boussingault K to the North-West.;Floor replaced by Boussingault A concentric forming a double enclosure.;;3;Very interesting formation;3;3 days after New Moon;2 days after Full Moon;5;Naked eye;10x binoculars;Boussingault;Boussingault;844;127.609;-70.2063336216502;53.734170593212;-68.209321975708;-72.4185256958008;60.0235767364502;47.499418258667;LOLA2011;Europe;France;Crater, craters;AA;Manzinus;LAC-138;Adopted by IAU;01/01/1935 00:00:00;;Jean Baptiste Dieudonne. French chemist (1802-1887).;http://planetarynames.wr.usgs.gov/Feature/844;
BOWDITCH;AA2497S10307E;2497S10307E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Birth period not found;Period source not found;No details;Nathaniel Bowditch;IAU 1970 ?;Not approved;Not known;Not known;Not known;?;;;;;;;;;;103,07;;;-24,97;;;;Not determined;99;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;;43,04;;;;21,5;3239;10364,8;0,075270324280006;A__________________________A;20,5375229898982;0,992840781661303;8,57736;3,67455804528562;6,50246287179033;225,128933124587;8,33810863424397;1,8010314649967;57,0571604754139;93,9770423041249;;;;;;Not described;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOWEN;AA1763N00910E;1763N00910E;IAU Named formation;Crater;AA;Craterlet;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Ira Sprague Bowen (ex Manilius A);?;01/01/1973 00:00:00;Not named;Not named;Not named;Astronomer;U. S. A.;American;20;20 th century;?;1898;?;1973;?;9.098013;9.098013;9.098° East;17.628099;17.628° North;Nearside;North-East;South-West part of Mare Serenitatis;23;Linné;285;1 e5;357C;Not described;;8;8,09;9;5;5;4;1619;5180,8;0,200140765512729;A________A;1,24134024149117;0;0;0,67956;0,733643074019436;161,8;5,99259259259259;1,2944;6,91972004104816;23,1036918967273;Isolated circular formation.;Formerly Manilius A;Pretty steep slopes to the East.;Few high walls.;Flat floor filled with lava.;;2;Pretty interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Bowen;Bowen;847;8.0906;17.6280986019874;9.09801277404367;17.7615032196045;17.4946956634521;9.23797798156738;8.95805168151855;LOLA2011;North America;American;Crater, craters;AA;Montes Apenninus;LAC-41;Adopted by IAU;01/01/1973 00:00:00;;Ira Sprague. American astronomer (1898-1973).;http://planetarynames.wr.usgs.gov/Feature/847;
BOWEN APOLLO;LF2030N03090E;2030N03090E;IAU Named formation;Landing site name;LF;Not determined;Not appliable;Birth period not found;Period source not found;No details;Astronaut-named feature - Apollo 17 site.;IAU;01/01/1973 00:00:00;;;;Non appliable;North America;American;;;;;;;;30.900000;30.900000;30.900° East;20.300000;20.300° North;Nearside;North-East;Macrobius;Not determined;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;0.42;0,3;0.42;0.25;0.25;0,1;58;185,6;0,193654362059239;A__________A;0,003702377588821;0;0;0,0252;0;6;0,222222222222222;0,048;0,112604161361497;1,45426976994509;;Apollo 17;;;;;;;5;Five days after New Moon;Four days after Full Moon;;;;Bowen-Apollo;Bowen Apollo;848;0.42;20.3000000000001;30.9;20.3000000000001;20.3000000000001;30.9;30.9;LOLA2011;North America;American;Landing site name;LF;Macrobius;LAC-43;Adopted by IAU;01/01/1973 00:00:00;;Astronaut-named feature, Apollo 17 site.;http://planetarynames.wr.usgs.gov/Feature/848;
BOYLE;AA5329S17789E;5329S17789E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;ol-gabbroic norite;Sir Robert Boyle;IAU 1970 ?;Not approved;Not known;Not known;Not known;?;;;;;;;;;;177,89;;;-53,29;;;;Not determined;99;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;;57,13;;;;28,5;3527;11286,4;0,061752195954987;A________________________________A;29,2526370280759;0;12,22667;4,67464116664635;8,8762860123814;277,616557571527;10,2820947248714;2,22093246057222;77,0884145198513;119,195874691678;;;;;;Not described;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRACKETT;AA1784N02354E;1784N02354E;IAU Named formation;Crater;AA;Craterlet;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Frederick Sumner Bracket;?;01/01/1973 00:00:00;Not named;Not named;Not named;Physicist;U. S. A.;American;20;20 th century;?;1896;?;1972;?;23.535567;23.535567;23.536° East;17.839944;17.840° North;Nearside;North-East;South-East part of Mare Serenitatis;24;Bessel;284;Not determined;154C;Not described;;8;8,87;9;5;5;4,4;1776;5683,2;0,20032507202278;A________A;1,46031613194456;0;0;0,74508;0,826351136840465;177,4;6,57037037037037;1,4192;7,76349713092173;24,9595345202385;Ghost circular formation situated on the North flank of Rimae Plinius.;;Quasi flat slopes.;Very little high walls.;Flat floor filled with the lava of Mare Serenitatis.;;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;Brackett;Brackett;855;8.87183;17.8399443373239;23.5355673168318;17.9862308502197;17.6936588287354;23.6892337799072;23.3819026947021;LOLA2011;North America;American;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;01/01/1973 00:00:00;;Frederick Sumner. American physicist (1896-1988).;http://planetarynames.wr.usgs.gov/Feature/855;
BRAGG;AA4233N10344W;4233N10344W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms and Byrne / 2009;No details;Sir William Henry Bragg;IAU 1970 ?;Not approved;Not known;Not known;Not known;?;;;;;;;;;;-103,44;;;42,33;;;;Not determined;99;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;;77,21;;;;38,6;3862;12358,4;0,050028408285864;A______________________________________A;42,6133692751886;0;17,42739;6,03859924604253;12,3587640941548;346,931926468348;12,8493306099388;2,77545541174679;106,163205953729;153,483811362051;;;;;;Not described;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRASHEAR;AA7354S17157W;7354S17157W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Birth period not found;Period source not found;No details;John A. Brashear;IAU 1979 ?;Not approved;Not known;Not known;Not known;?;;;;;;;;;;-171,57;;;-73,54;;;;Not determined;99;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;;60,16;;;;30;3583;11465,6;0,05956132180338;A________________________________A;31,2030525991188;0;13,01144;4,88455880365653;9,39494224623946;288,438767598256;10,6829173184539;2,30751014078605;81,439564454496;124,480231050932;;;;;;Not described;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAUDE;AA8182S15888E;8182S15888E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Birth period not found;Period source not found;No details;Semion Ya Braude;IAU;17/04/2009 00:00:00;;;;?;Europe;Ukraine;;;;;;;;158.880240;158.880240;158.880° East;-81.820097;81.820° North;Farside;;Amundsen;No map;No map;No map or picture;No map or picture;No map or picture;Not described;;11.2776;11,28;11.2776;6.75;6.75;5,6;2265;7248;0,200807145368957;A________A;2,23196435590828;0;0;0,94752;1,12749383843348;225,6;8,35555555555555;1,8048;10,484295344767;30,5391998144366;Not observable;;;;;;;;0;not observable;not observable;;;;Braude;Braude;14564;11.2776;-81.8200969027116;158.880239969493;-81.6341323852539;-82.0060596466064;160.187383651733;157.573118209839;LOLA2011;Europe;Ukraine;Crater, craters;AA;Amundsen;LAC-144;Adopted by IAU;17/04/2009 00:00:00;;Semion Ya.. Ukranian radio astronomer (1911-2003).;http://planetarynames.wr.usgs.gov/Feature/14564;
BRAYLEY;AA2090N03694W;2090N03694W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Eratosthenian (From -3.2 billions years to -1.1 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Edward E. Brayley;Birt / Lee (1865);01/01/1935 00:00:00;Ciermanni;Not named;Not named;Professor;England;English;19;19 th century;?;1801;?;1870;Specialist in geography.;-36.937283;323.062717;36.937° West;20.896281;20.896° North;Nearside;North-West;Region between Oceanus Procellarum and Mare Imbrium;19;Brayley;337;5h6 / 7b7 / 8c1;040N 048N 205C 213N;Not described;IV-138-H3;15;14,17;15;9;9;7;2851;9123,2;0,20126570082304;A________A;3,33833164693598;0;0;1,19028;1,51418840278087;283,4;10,4962962962963;2,2672;13,9432875828149;36,9836054737383;Circular formation with bowl shape.;Rim flooded;Pretty steep slopes supporting a craterlet to the South-East.;High walls.;Reduced flat floor.;A very conspicuous little ring-plain E.S.E. of Euler, with two smaller but equally brilliant objects of the same class situated respectively E. and W. of it.;3;Very interesting formation;10;3 days after First Quarter;2 days after Last Quarter;50;50 mm refractor;100 mm refractor;Brayley;Brayley;866;14.1665;20.8962808780521;323.062716886719;21.1298732757568;20.662691116333;323.312734603882;322.812704086304;LOLA2011;Europe;Great Britain;Crater, craters;AA;Aristarchus;LAC-39;Adopted by IAU;01/01/1935 00:00:00;;Edward William. British geographer (1801-1870).;http://planetarynames.wr.usgs.gov/Feature/866;
BREDIKHIN;AA1725N15837W;1725N15837W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Fedor A. Bredikhin;IAU 1988 ?;Not approved;Not known;Not known;Not known;?;;;;;;;;;;-158,37;;;17,25;;;;Not determined;99;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;;61,68;;;;30,8;3610;11552;0,058531491035048;A__________________________________A;32,190811017995;0;13,40512;4,98926301782909;9,6561092103992;293,814124001369;10,8820045926433;2,35051299201095;83,6275287746104;127,114933704684;;Older than Korolev Basin ;;;;Not described;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BREISLAK;AA4831S01831E;4831S01831E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Period source not found;No details;Scipione Breislak;Schmidt (1878);01/01/1935 00:00:00;Lantsbergi;Not named;Not named;Geologist chemist and mathematician;Italy;Italian;18;18 th century;?;1748;?;1826;?;18.309631;18.309631;18.310° East;-48.307529;48.308° South;Nearside;South-East;Maurolycus crater region;66;Maurolycus;37;14c5;343S 357S 143S 148S 154S 161S;Not described;IV-095-H2 IV-107-H1 IV-100-H1;50;48,64;50;30;30;24,3;3361;10755,2;0,069102219358074;A____________________________A;23,9274584527858;1,26336422854259;10,02776;4,07716436896829;7,43792541724011;246,456954713821;9,12803535977113;1,97165563771056;64,9757856888747;104,13861436627;Circular formation.;;Pretty steep slopes supporting Baco S to the South and Baco B to the South-West.;Pretty high walls riddled of craterlets on its East side.;Flat floor with hills and craterlets whose a couple to the South.;;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor;Breislak;Breislak;869;48.6392;-48.3075294525613;18.3096308112596;-47.5055065155029;-49.1095504760742;19.5169353485107;17.1023197174072;LOLA2011;Europe;Italy;Crater, craters;AA;Hommel;LAC-127;Adopted by IAU;01/01/1935 00:00:00;;Scipione. Italian chemist, geologist, mathematician (1748-1826).;http://planetarynames.wr.usgs.gov/Feature/869;
BRENNER;AA3909S03911E;3909S03911E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms and Byrne / 2009;No details;Leo Brenner;Fauth (1936);01/01/1935 00:00:00;Not named;Montes Coibacarani;Metius;Astronomer;Austria;Austrian;19;19 th century;?;1855;?;1928;Amateur observer of the Moon and planets.;39.107828;39.107828;39.108° East;-39.093580;39.094° South;Nearside;South-East;Vallis Rheita region;68;Rheita;79;16f6;323S 328S 131S 135S;Not described;IV-071-H3 IV-071-H2 IV-076-H2;98;90,01;98;59;59;45;4045;12944;0,044941882116382;A____________________________________________A;51,6120094240333;0;20,74259;6,87956275002322;14,627811706605;388,634187895255;14,3938588109354;3,10907350316204;124,955336923051;174,574602020929;Very damaged formation little differentiated.;;Steep slopes subsisting to the West and supporting Metius to the South-East and Stiborius A to the North-West.;High walls displayed and riddled of craters whose Brenner A to the South and Brenner E to the East.;Tormented floor with an extensive plateau to the North. Craterlets and lines of crest.;;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor;Brenner;Brenner;873;90.0107;-39.0935797948693;39.1078279758163;-37.6201992034912;-40.5887928009033;41.0397357940674;37.2129611968994;LOLA2011;Europe;Austria;Crater, craters;AA;Rheita;LAC-114;Adopted by IAU;01/01/1935 00:00:00;;Leo (Spiridon Gopcevic). Austrian astronomer (1855-1928).;http://planetarynames.wr.usgs.gov/Feature/873;
