NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
SKLODOWSKA J;SF1945S09796E;1945S09796;SF;Cràter;;??;;Marie Sklodowska Curie;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;França;francès;20;segle 20;Varsòvia;1867;Sancellemoz;1934;Muller de Pierre Curie. Producció del radi metàl·lic. Premi Nobel de física en 1903 i de  química en 1911.;97.960782;97.960782;97.961° East;-19.447137;19.447° South;Zona libracions;Sud-Est;No definida;??;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;16;16;9;9;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;Formació circular situada en la zona de libracions de la cara oculta.;;;;1;Formació poc interessant o difícil;2;2 dies després de la Lluna nova;1 dia després de la Lluna plena;50;Refractor 50 mm;Refractor 100 mm;Sklodowska J;Sklodowska J;13134;14.7222;-19.4471374;97.9607821;-19.20438385;-19.68988991;98.21823311;97.7033329;LOLA2011;Europe;Poland;Satellite Feature;SF;Hilbert;LAC-100;Adoptat per la UAI;01.01.2006 00:00;;Marie (Madame Curie). Polish physicist, chemist, Nobel laureate (1867-1934).;http://planetarynames.wr.usgs.gov/Feature/13134
SKLODOWSKA R;SF1900S09255E;1900S09255;SF;Cràter;;??;;Marie Sklodowska Curie;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;França;francès;20;segle 20;Varsòvia;1867;Sancellemoz;1934;Muller de Pierre Curie. Producció del radi metàl·lic. Premi Nobel de física en 1903 i de  química en 1911.;92.547645;92.547645;92.548° East;-18.997789;18.998° South;Zona libracions;Sud-Est;No definida;??;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;17;17;10;10;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;Formació circular situada en la zona de libracions de la cara oculta.;;;;1;Formació poc interessant o difícil;2;2 dies després de la Lluna nova;1 dia després de la Lluna plena;50;Refractor 50 mm;Refractor 100 mm;Sklodowska R;Sklodowska R;13135;17.8406;-18.99778905;92.54764458;-18.7036171;-19.29196167;92.85891533;92.23637581;LOLA2011;Europe;Poland;Satellite Feature;SF;Hilbert;LAC-100;Adoptat per la UAI;01.01.2006 00:00;;Marie (Madame Curie). Polish physicist, chemist, Nobel laureate (1867-1934).;http://planetarynames.wr.usgs.gov/Feature/13135
SKLODOWSKA Y;SF1334S09573E;1334S09573;SF;Cràter;;??;;Marie Sklodowska Curie;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;França;francès;20;segle 20;Varsòvia;1867;Sancellemoz;1934;Muller de Pierre Curie. Producció del radi metàl·lic. Premi Nobel de física en 1903 i de  química en 1911.;95.729565;95.729565;95.730° East;-13.336607;13.337° South;Zona libracions;Sud-Est;No definida;??;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;17;17;10;10;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;Formació circular situada en la zona de libracions de la cara oculta.;;;;1;Formació poc interessant o difícil;2;2 dies després de la Lluna nova;1 dia després de la Lluna plena;50;Refractor 50 mm;Refractor 100 mm;Sklodowska Y;Sklodowska Y;13136;16.9717;-13.33660719;95.72956455;-13.05676079;-13.61645317;96.01719093;95.44194221;LOLA2011;Europe;Poland;Satellite Feature;SF;Pasteur;LAC-82;Adoptat per la UAI;01.01.2006 00:00;;Marie (Madame Curie). Polish physicist, chemist, Nobel laureate (1867-1934).;http://planetarynames.wr.usgs.gov/Feature/13136
SLIPHER S;SF4898N15871E;4898N15871;SF;Cràter;;??;;Earl C. Slipher;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Mulberry;1883;Flagstaff;1964;Peoner de la fotografia planetària. Autor de més de 200 000 clixés del planeta Mart.;158.707532;158.707532;158.708° East;48.979671;48.980° North;Cara oculta;Nord-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;26;26;15;15;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Slipher S;Slipher S;13137;26.7699;48.97967082;158.7075322;49.39175987;48.56764793;159.3102818;158.1068058;LOLA2011;North America;American;Satellite Feature;SF;Störmer;LAC-17;Adoptat per la UAI;01.01.2006 00:00;;Earl Charles. American astronomer (1883-1964). Vesto Melvin. American astronomer (1875-1969).;http://planetarynames.wr.usgs.gov/Feature/13137
SMOLUCHOWSKI F;SF5997N09082W;5997N09082;SF;Cràter;;??;;Marian Smoluchowski;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Polònia;polonès;19;segle 19;??;1872;??;1917;??;-90.815176;269.184824;90.815° West;59.973868;59.974° North;Zona libracions;Nord-Oest;No definida;??;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;35;35;21;21;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;Formació circular situada en la zona de libracions de la cara oculta.;;;;1;Formació poc interessant o difícil;14;Lluna plena;6 dies després del quart minvant;30;Prismàtics x10;Refractor 50 mm;Smoluchowski F;Smoluchowski F;13138;33.7907;59.97386832;269.1848245;60.53186607;59.41591072;270.298563;268.0708218;LOLA2011;Europe;Poland;Satellite Feature;SF;Omar Khayyam;LAC-21;Adoptat per la UAI;01.01.2006 00:00;;Marian. Polish physicist (1872-1917).;http://planetarynames.wr.usgs.gov/Feature/13138
SMOLUCHOWSKI H;SF5925N09284W;5925N09284;SF;Cràter;;??;;Marian Smoluchowski;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Polònia;polonès;19;segle 19;??;1872;??;1917;??;-92.839254;267.160746;92.839° West;59.248322;59.248° North;Zona libracions;Nord-Oest;No definida;??;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;41;41;24;24;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;Formació circular situada en la zona de libracions de la cara oculta.;;;;1;Formació poc interessant o difícil;14;Lluna plena;6 dies després del quart minvant;30;Prismàtics x10;Refractor 50 mm;Smoluchowski H;Smoluchowski H;13139;39.8407;59.24832235;267.1607459;59.86244011;58.62805367;268.43717;265.884325;LOLA2011;Europe;Poland;Satellite Feature;SF;Omar Khayyam;LAC-21;Adoptat per la UAI;01.01.2006 00:00;;Marian. Polish physicist (1872-1917).;http://planetarynames.wr.usgs.gov/Feature/13139
SNIADECKI F;SF2202S16737W;2202S16737;SF;Cràter;;??;;Jan Sniadecki;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Polònia;polonès;19;segle 19;??;1756;??;1830;??;-167.373401;192.626599;167.373° West;-22.023991;22.024° South;Cara oculta;Sud-Oest;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;12;12;7;7;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Sniadecki F;Sniadecki F;13147;15.4243;-22.02399134;192.6265991;-21.76966095;-22.27832222;192.9009495;192.3522511;LOLA2011;Europe;Poland;Satellite Feature;SF;Mohorovicic;LAC-105;Adoptat per la UAI;01.01.2006 00:00;;Jan. Polish astronomer, mathematician (1756-1830).;http://planetarynames.wr.usgs.gov/Feature/13147
SNIADECKI J;SF2461S16647W;2461S16647;SF;Cràter;;??;;Jan Sniadecki;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Polònia;polonès;19;segle 19;??;1756;??;1830;??;-166.47433;193.52567;166.474° West;-24.613489;24.613° South;Cara oculta;Sud-Oest;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;27;27;16;16;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Sniadecki J;Sniadecki J;13148;29.3444;-24.61348915;193.5256701;-24.12963104;-25.09734726;194.0577755;192.9935703;LOLA2011;Europe;Poland;Satellite Feature;SF;Mohorovicic;LAC-105;Adoptat per la UAI;01.01.2006 00:00;;Jan. Polish astronomer, mathematician (1756-1830).;http://planetarynames.wr.usgs.gov/Feature/13148
SNIADECKI Q;SF2293S17027W;2293S17027;SF;Cràter;;??;;Jan Sniadecki;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Polònia;polonès;19;segle 19;??;1756;??;1830;??;-170.272394;189.727606;170.272° West;-22.933948;22.934° South;Cara oculta;Sud-Oest;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;77;77;45;45;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Sniadecki Q;Sniadecki Q;13149;79.4885;-22.93394765;189.7276061;-21.62326622;-24.24462891;191.1508083;188.3044071;LOLA2011;Europe;Poland;Satellite Feature;SF;Van de Graaff;LAC-104;Adoptat per la UAI;01.01.2006 00:00;;Jan. Polish astronomer, mathematician (1756-1830).;http://planetarynames.wr.usgs.gov/Feature/13149
SNIADECKI Y;SF2109S16921W;2109S16921;SF;Cràter;;??;;Jan Sniadecki;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Polònia;polonès;19;segle 19;??;1756;??;1830;??;-169.206891;190.793109;169.207° West;-21.085367;21.085° South;Cara oculta;Sud-Oest;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;35;35;21;21;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Sniadecki Y;Sniadecki Y;13150;34.2526;-21.08536736;190.7931085;-20.52057838;-21.65015602;191.39855;190.1876698;LOLA2011;Europe;Poland;Satellite Feature;SF;Mohorovicic;LAC-105;Adoptat per la UAI;01.01.2006 00:00;;Jan. Polish astronomer, mathematician (1756-1830).;http://planetarynames.wr.usgs.gov/Feature/13150
SODDY E;SF0073N12346E;0073N12346;SF;Cràter;;??;;Sir Frederick Soddy;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Regne Unit;britànic;20;segle 20;Eastbourne;1877;Brighton;1956;Professor a la Universitat d'Oxford. Descobridor de l'isotopia dels elements en 1903. Premi Nobel de química en 1921.;123.459558;123.459558;123.460° East;0.726022;0.726° North;Cara oculta;Nord-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;16;16;9;9;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Soddy E;Soddy E;13151;18.1814;0.726021981;123.4595581;0.979825974;0.472219467;123.7566204;123.1624928;LOLA2011;Europe;Great Britain;Satellite Feature;SF;Ostwald;LAC-65;Adoptat per la UAI;01.01.2006 00:00;;Frederick. British physicist. Nobel laureate (1877-1956).;http://planetarynames.wr.usgs.gov/Feature/13151
