NAME;TYPE;PERIOD;Zénon;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;Alemanha;alemão;19;Século 19;Eisenach;1840;Iena;1905;Director do observatório de Lena. Autor da teoria clássica dos microscópios em 1877 e de relações dos senos. Associado a Carl Zeiss. Inventor do refractómetro e das primeiras objectivas apocromáticas e oculares ortoscópicas.;175,2;175,2 ° Este;-57,3;57,3 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-065-M;66;66;39;39;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ABUL WAFA;Cratera;;Zénon;UAI 1985 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Matemático;Irão;Iraniano;10;Século 10º;Buzadjan;940;Bagdad;997;Autor de um tratado de aritmético e um método preciso de cálculo dos senos.;116,6;116,6 ° Este;1;1 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;55;55;32;32;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AITKEN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;Jackson;1864;Berkeley;1954;"Autor de ""New General Catalogue of Double Stars"" em 1932.";173,4;173,4 ° Este;-16,8;16,8 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AL BIRUNI;Cratera;;Zénon;UAI 1984 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Cientista;Irão;Iraniano;11;Século 11;Kath;973;Rhazni;1050;"Grande viajante. Astrólogo do Sultão de Rhazni em 1017. Historiador das civilizações. Autor ""Kitah al Qanun al Mas' udi"", um tratado de astronomia geral inspirado em Ptolomeu.";92,5;92,5 ° Este;17,9;17,9 ° Norte;Nordeste;;III;Mare Marginis;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;77;77;45;45;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
ALDEN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;??;1890;??;1964;;110,8;110,8 ° Este;-23,6;23,6 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;III-121-M;104;104;61;61;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ALDER;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Químico;Alemanha;alemão;20;Século 20;Königshütte;1902;Koln;1958;Professor da Universidade de Colónia em 1940 de Prémio Nobel em 1950 com Otto Diels.;-177,4;177,4 ° Oeste;-48,6;48,6 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-065-M;77;77;45;45;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ALEKHIN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Engenheiro;U. R. S. S.;soviético;20;Século 20;??;1913;??;1964;Projectista de lançamentos espaciais.;-131,3;131,3 ° Oeste;-68,2;68,2 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;70;70;41;41;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AL-KHWARIZMI;Cratera;;Zénon;UAI 1991 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Matemático;Iraque;iraquiano;9;Século 9º;??;??;??;825;;106,4;106,4 ° Este;7,1;7,1 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;65;65;38;38;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ALTER;Cratera;;Zénon;UAI 1979 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;??;1888;??;1968;;-107,5;107,5 ° Oeste;18,7;18,7 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-015-H2;64;64;38;38;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AMICI;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Óptico;Itália;italiano;19;Século 19;Modena;1786;Florence;1863;Director do observatório de Florença. Inventor de um espectroscópio de prisma e de lunetas meridianas. Estudo da orientação dos cristais nos minerais.;-172,1;172,1 ° Oeste;-9,9;9,9 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;54;54;32;32;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ANDERS;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astronauta;E. U. A.;norte-americano;20;Século 20;??;1933;;;Astronauta da missão Apollo 8 em Dezembro de 1968 com Frank Borman e Jim Lovell.;-142,9;142,9 ° Oeste;-41,3;41,3 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-030-H1;40;40;24;24;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ANDERSON;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;??;1876;??;1959;;171,1;171,1 ° Este;15,8;15,8 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;II-034-M;109;109;64;64;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ANDERSSON;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;??;1943;??;1979;;-95,3;95,3 ° Oeste;-49,7;49,7 ° Sul;Sudoeste;;VI;Hausen;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;13;13;8;8;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;14;Lua Cheia;6 dias após o Quarto Minguante;30;Binóculo x10;Refractor 50 mm
ANDRONOV;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;U. R. S. S.;soviético;20;Século 20;??;1901;??;1952;;146,1;146,1 ° Este;-22,7;22,7 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;16;16;9;9;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ANTONIADI;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;França;francês;20;Século 20;Istanbul;1870;Meudon;1944;Estudos das superfícies planetárias (Marte e Mercúrio nomeadamente) com a luneta de 82 cm Meudon. Oponente da teoria de canais marcianos de Lowell.;-172;172 ° Oeste;-69,7;69,7 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;143;143;84;84;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ANUCHIN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Geógrafo;U. R. S. S.;soviético;20;Século 20;??;1843;??;1923;;101,3;101,3 ° Este;-49;49 ° Sul;Sudeste;;V;Hale;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;IV-009-H1 IV-008-M ;57;57;34;34;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
APOLLO;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;lunar landings;E. U. A.;norte-americano;20;Século 20;;1967;;1972;Dedicado às missões humanas americanas Apollo que conduziram 12 astronautas à superfície da Lua.;-151,8;151,8 ° Oeste;-36,1;36,1 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;537;537;316;316;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
APPLETON;Cratera;;Zénon;UAI 1985 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;Reino Unido;britânico;20;Século 20;Bradford;1892;Edimburg;1965;Assistente de Rutherford. Ministro da Investigação em 1939. Estudo sobre a ionosfera. Autor do primeiro eco-radar sobre a Lua em 1946. Prémio Nobel em 1947. ;158,3;158,3 ° Este;37,2;37,2 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-085-H2 V-085-M V-103-M;63;63;37;37;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ARIOSTO;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Escritor;Itália;italiano;16;16 th centur:y;??;1474;??;1533;;95,6;95,6 ° Este;-3,6;3,6 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;23;23;14;14;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
ARMINSKI;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;Polónia;polaco;19;Século 19;??;1789;??;1848;;154,2;154,2 ° Este;-16,4;16,4 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;II-075-M II-075-H1;26;26;15;15;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ARRHENIUS;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Cientista;Suécia;sueco;20;Século 20;Wijk;1859;Stockholm;1927;Reitor da universidade de Estocolmo em 1897. Director do instituto Nobel em 1905. Teoria da ionização dos electrólitos em 1887. Autor da hipótese da panspermia em 1900 e de uma teoria cosmogónica. Prémio Nobel da Química em 1903.;-91,3;91,3 ° Oeste;-55,6;55,6 ° Sul;Sudoeste;;VI;Hausen;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;IV-038-H2 IV-193-H3;40;40;24;24;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;14;Lua Cheia;6 dias após o Quarto Minguante;30;Binóculo x10;Refractor 50 mm
ARTAMONOV;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Engenheiro;U. R. S. S.;soviético;20;Século 20;??;1906;??;1965;Cientista envolvido no programa espacial soviético.;103,5;103,5 ° Este;25,5;25,5 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;60;60;35;35;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ARTEM'EV;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Engenheiro;U. R. S. S.;soviético;20;Século 20;??;1885;??;1962;Cientista envolvido no programa espacial soviético.;-144,4;144,4 ° Oeste;10,8;10,8 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-032-M;67;67;39;39;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AVICENNA;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Filosofista;Irão;Iraniano;11;11th century;Afchana;980;Hamadhan;1037;Médico do príncipe de Bucara. Autor de Cannon of Medicine. Descrição de numerosas doenças e respectivo tratamento. Autor de uma cosmologia baseada nos seres possíveis e necessários.;-97,2;97,2 ° Oeste;39,7;39,7 ° Norte;Noroeste;;VIII;Röntgen;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;74;74;44;44;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;14;Lua Cheia;6 dias após o Quarto Minguante;30;Binóculo x10;Refractor 50 mm
AVOGADRO;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Químico;Itália;italiano;19;Século 19;Turino;1776;Turino;1856;Professor de Física da universidade de Turim em 1820. Descobridor do número de átomos num átomo-grama. Autor de uma lei sobre a densidade dos gases.;164,9;164,9 ° Este;63,1;63,1 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;139;139;82;82;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BABAKIN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Engenheiro;U. R. S. S.;soviético;20;Século 20;??;1914;??;1971;Cientista implicado no programa espacial soviético.;123,3;123,3 ° Este;-20,8;20,8 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;20;20;12;12;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BABCOCK;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;??;1882;??;1968;;93,9;93,9 ° Este;4,2;4,2 ° Norte;Nordeste;;III;Mare Marginis;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;99;99;58;58;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
BACKLUND;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;Suécia;sueco;19;Século 19;Karlstad;1846;Poulkovo;1916;Director do observatório de Poulkovo em 1895. Estudo da mecânica celestial.;103;103 ° Este;-16;16 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;II-196-H3 II-196-M;75;75;44;44;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
BALANDIN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Químico;U. R. S. S.;soviético;20;Século 20;??;1914;??;1971;;152,6;152,6 ° Este;-18,9;18,9 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;12;12;7;7;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BALDET;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;França;francês;20;Século 20;??;1885;??;1964;;-151,1;151,1 ° Oeste;-53,3;53,3 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-030-H1;55;55;32;32;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BALZAC;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Escritor;França;francês;19;Século 19;??;1799;??;1850;Autor da Comédia Humana.;95;95 ° Este;-8;8 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;39;39;23;23;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
BARBIER;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrofísico;França;francês;20;Século 20;Lyon;1907;Manosque;1965;Estudo sobre a espectrofotometria estelar. Classificação espectral das estrelas com D.Chalonge. Organizador de uma rede internacional de vigilância da luminosidade da atmosfera.;157,9;157,9 ° Este;-23,8;23,8 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;II-075-M II-075-H2;66;66;39;39;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BARRINGER;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Geólogo;E. U. A.;norte-americano;20;Século 20;??;1860;??;1929;Levantamento de crateras meteoríticas no Arizona. Autor da origem meteorítica das crateras lunares.;-149,7;149,7 ° Oeste;-28;28 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-030-H2;68;68;40;40;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BAUDELAIRE;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Poeta;França;francês;19;Século 19;??;1821;??;1867;;-89,8;89,8 ° Oeste;24,5;24,5 ° Norte;Noroeste;;VIII;Röntgen;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;IV-188-H3 IV-196-H3;15;15;9;9;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;14;Lua Cheia;6 dias após o Quarto Minguante;30;Binóculo x10;Refractor 50 mm
BAWA;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;female name;Africa;African;;;;;;;;123,1;123,1 ° Este;-23,2;23,2 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;10;10;6;6;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BECQUEREL;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;França;francês;19;Século 19;Châtillon sur Loing;1788;Paris;1878;Descobridor do piezoelectricidade em 1819 e da pilha fotovoltaica em 1839. Inventor do actinómetro eletroquímico. ;125,2;125,2 ° Este;-1,9;1,9 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;65;65;38;38;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BECVAR;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;Checoslováquia;checoslovaco;20;Século 20;??;1901;??;1965;Autor de vários atlas celestiais e estelares.;129,7;129,7 ° Este;40,7;40,7 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-158-M V-163-M;67;67;39;39;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BEIJERINCK;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Botânico;Holanda;holandês;20;Século 20;??;1851;??;1931;;151,8;151,8 ° Este;-13,5;13,5 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;70;70;41;41;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BELL;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Inventor;E. U. A.;norte-americano;20;Século 20;??;1847;??;1922;;-96,4;96,4 ° Oeste;21,8;21,8 ° Norte;Noroeste;;VIII;Röntgen;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;IV-196-H3;86;86;51;51;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;14;Lua Cheia;6 dias após o Quarto Minguante;30;Binóculo x10;Refractor 50 mm
BELLINSGAUZEN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Explorador;Russia;russo;19;Século 19;??;1778;??;1852;;-164,6;164,6 ° Oeste;-60,6;60,6 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;63;63;37;37;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BELOPOL'SKIY;Cratera;;Zénon;UAI 1971 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;U. R. S. S.;soviético;20;Século 20;??;1854;??;1934;;-128,1;128,1 ° Oeste;-17,2;17,2 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;59;59;35;35;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BELYAEV;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Cosmonauta;U. R. S. S.;soviético;20;Século 20;??;1925;??;1970;Cosmonauta da missão Voskhod 2 a 18 de Março de 1965 com Leonov.;143,5;143,5 ° Este;23,3;23,3 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;54;54;32;32;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
BENEDICT;Cratera;;Zénon;UAI 1985 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Químico;E. U. A.;norte-americano;20;Século 20;??;1870;??;1957;;141,5;141,5 ° Este;4,4;4,4 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;14;14;8;8;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
