NAME;TYPE;PERIOD;Zénon;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
LEBEDEV;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;Russia;russo;20;Século 20;Moscow;1866;Moscow;1912;Professor da Universidade de Moscovo em 1900.Trabalhos sobre dieléctrica, magnetismo terrestre e pressão de radiação em 1901. ;107,8;107,8 ° Este;-47,3;47,3 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;IV-008-M;102;102;60;60;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEBEDINSKIY;Cratera;;Zénon;UAI 1976 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrofísico;U. R. S. S.;soviético;20;Século 20;??;1913;??;1967;;-164,3;164,3 ° Oeste;8,3;8,3 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;62;62;36;36;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEEUWENHOEK;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Naturalista;Holanda;holandês;18;Século 18;Delft;1632;Delft;1723;Fabricante de microscópios. Descobridor dos protozoários, spermatozoïdes, os fermentos e os glóbulos do sangue.;-178,7;178,7 ° Oeste;-29,3;29,3 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-065-M II-033-M;125;125;74;74;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEIBNIZ;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Filósofo;Alemanha;alemão;18;Século 18;Leipzig;1646;Hanovre;1716;Inventor do cálculo diferencial e do cálculo infinitesimal. Inventor das notações dos diferenciais e integrais e de uma máquina de calcular em 1645. Autor do Discurso de Metafísica em 1686 e de uma filosofia baseada na noção de monades (?).;179,2;179,2 ° Este;-38,3;38,3 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-065-M V-043-M;245;245;144;144;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEMAITRE;Cratera;;Zénon;UAI 1988 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrofísico;Bélgica;belga;20;Século 20;Charleroi;1894;Louvain;1966;Autor da teoria da expansão do Universo em 1927 e da teoria do átomo primitivo em 1931.;-149,6;149,6 ° Oeste;-61,2;61,2 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;91;91;54;54;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LENTS;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;Russia;russo;19;Século 19;Dorpat;1804;Roma;1865;Autor de uma lei sobre o sentido das correntes induzidas em 1833. Estudo do efeito Peltier.;-102,1;102,1 ° Oeste;2,8;2,8 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;21;21;12;12;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEONOV;Cratera;;Zénon;UAI 1973 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Cosmonauta;U. R. S. S.;soviético;20;Século 20;??;1934;Alive;Alive;Primeiro homem ter andado no espaço durante 12 minutos a 18 de Março de 1966 durante a missão Voskhod 2. Piloto da missão Soyouz 19 em 15 de Julho de 1975 para o encontro histórico com a missão americana Apollo 18.;148,2;148,2 ° Este;19;19 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;33;33;19;19;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEUCIPPUS;Cratera;;Zénon;UAI 1988 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Filósofo;Grécia;grego;-4;Século 4º AC;??;??;??;-440;;-116;116 ° Oeste;29,1;29,1 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-015-H3;56;56;33;33;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEUSCHNER;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;??;1868;??;1953;;-108,8;108,8 ° Oeste;1,8;1,8 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;49;49;29;29;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEVI-CIVITA;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Matemático;Itália;italiano;20;Século 20;Padoue;1873;Roma;1941;Numerosos registos sobre mecânica celestial, hidrodinâmica, electromagnetismo e física atómica. Inventor com Ricci-Cubastro do cálculo diferencial absoluto.;143,4;143,4 ° Este;-23,7;23,7 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;121;121;71;71;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
