NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGHTKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
POLZUNOV J;Кратер;??;Ivan I. Polzunov;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;инженер;России;Российский;18;18-го века;??;1728;??;1766;"Heat specialist;";117,4;117,4 ° Восток;23,6;23,6 ° Север;Северо-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;30;30;18;18;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
POLZUNOV N;Кратер;??;Ivan I. Polzunov;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;инженер;России;Российский;18;18-го века;??;1728;??;1766;"Heat specialist;";113,8;113,8 ° Восток;23,7;23,7 ° Север;Северо-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;35;35;21;21;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
POPOV D;Кратер;??;Aleksandr Stepanovitch Popov;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;инженер;России;Российский;19;19-го века;Tourinskie Roudniki;1859;Saint Petersburg;1906;Inventor of the antenna for electromagnetic waves. Realization of the first wireless morse transmission on 1896.;102,6;102,6 ° Восток;17,8;17,8 ° Север;Северо-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;15;15;9;9;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
POPOV W;Кратер;??;Aleksandr Stepanovitch Popov;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;инженер;России;Российский;19;19-го века;Tourinskie Roudniki;1859;Saint Petersburg;1906;Inventor of the antenna for electromagnetic waves. Realization of the first wireless morse transmission on 1896.;97,8;97,8 ° Восток;19,1;19,1 ° Север;Северо-Восточный;Не определена;??;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;25;25;15;15;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций дальней стороны.;;;;1;Малоинтересное или сложное образование;2;2 дня после Новолуния;1 день после Полнолуния;30;10x бинокль;50 мм рефрактор
POYNTING X;Кратер;??;John H. Poynting;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Соединенного Королевства;Британский;19;19-го века;??;1852;??;1914;??;-136,2;136,2 ° Запад;23,3;23,3 ° Север;Северо-Западный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;22;22;13;13;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
PRAGER C;Кратер;??;Richard A. Prager;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;астроном;США;Американский;20;20-го века;??;1884;??;1945;??;132,4;132,4 ° Восток;-1,4;1,4 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;40;40;24;24;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
PRAGER E;Кратер;??;Richard A. Prager;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;астроном;США;Американский;20;20-го века;??;1884;??;1945;??;133,1;133,1 ° Восток;-3;3 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;14;14;8;8;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
PRAGER G;Кратер;??;Richard A. Prager;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;астроном;США;Американский;20;20-го века;??;1884;??;1945;??;134;134 ° Восток;-4,6;4,6 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;76;76;45;45;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
PRIESTLEY K;Кратер;??;Joseph Priestley;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;химик;Соединенного Королевства;Британский;18;18-го века;Birstall Fiedhead;1733;Northumberland;1804;Isolation of numerous gases as chlorhydric gas, sulfurous gas, ammoniac, sulfured hydrogen and of oxygиne using minium on 1774. Conceiver of the water synthesis.;110,5;110,5 ° Восток;-59;59 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;35;35;21;21;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
PRIESTLEY X;Кратер;??;Joseph Priestley;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;химик;Соединенного Королевства;Британский;18;18-го века;Birstall Fiedhead;1733;Northumberland;1804;Isolation of numerous gases as chlorhydric gas, sulfurous gas, ammoniac, sulfured hydrogen and of oxygиne using minium on 1774. Conceiver of the water synthesis.;107,8;107,8 ° Восток;-56,5;56,5 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;14;14;8;8;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
PURKYNE D;Кратер;??;Jan Evangelista Purkynj;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физиолог;Чехословакии;Чехословацкий;19;19-го века;Libochovice;1787;Prague;1869;Numerous works on histology, pharmacology et embryology. Pioneer of microtome use.;96;96 ° Восток;-1;1 ° Юг;Юго-Восточный;Не определена;??;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;13;13;8;8;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций дальней стороны.;;;;1;Малоинтересное или сложное образование;2;2 дня после Новолуния;1 день после Полнолуния;50;50 мм рефрактор;100 мм рефрактор
PURKYNE K;Кратер;??;Jan Evangelista Purkynj;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физиолог;Чехословакии;Чехословацкий;19;19-го века;Libochovice;1787;Prague;1869;Numerous works on histology, pharmacology et embryology. Pioneer of microtome use.;95,4;95,4 ° Восток;-2,7;2,7 ° Юг;Юго-Восточный;Не определена;??;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;21;21;12;12;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций дальней стороны.;;;;1;Малоинтересное или сложное образование;2;2 дня после Новолуния;1 день после Полнолуния;30;10x бинокль;50 мм рефрактор
