NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK;
DOME AGATHARCHIDES 1;TH1685S3149W;1685S3149W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Agatharchides n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Geographer and historian;Greece;Greek;-2;2 nd century BC;?;about 100 BC;?;?;??;-31.49683694;328.5;31 ° 30 '  West;-16.85795602;16 ° 51 '  South;Nearside;South - West;Mare Humorum region;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;60;60;36.4;36.4;30;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N of crater Agatharchides;Large low-profile dome, commonly known as Fireman Hat;;;;Not described;3;Very interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ALBATEGNIUS 1;TH671S525E;671S525E;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Albategnius n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Araby;Arabian;9;9 th century;Harran;858;Qasr al Djiss;929;Author of the 'Zidj' improving considerably astronomical knowledge of his period. Measure of the obliquity of the Ecliptique.;5.257347498;5.26;5 ° 15 '  East;-6.718995469;6 ° 43 '  South;Nearside;South- East;Ptolemaeus crater region;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;8;8;4.9;4.9;4;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater Albategnius;Steep, platykurtic, triangular shape base;;;;Not described;3;Very interesting formation;7;First Quarter;6 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ALEXANDER 1;TH4039N1343E;4039N1343E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Alexander n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;King;Macedony;Macedonian;-4;4  th century BC;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;13.43800781;13.44;13 ° 26 '  East;40.39097962;40 ° 23 '  North;Nearside;North - East;North of Mare Serenitatis region;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;17;17;10.3;10.3;8.5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater Alexander;White patch under high sun;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ALEXANDER Q 1;TH3559N1701E;3559N1701E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Alexander Q n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;King;Macedony;Macedonian;-4;4  th century BC;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;17.01817039;17.02;17 ° 1 '  East;35.59133528;35 ° 35 '  North;Nearside;North - East;North of Mare Serenitatis region;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;4;4;2.4;2.4;2;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SE of Alexander q;Mare dome, in Mare Serenitatis;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;100;100 mm refractor;200 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ALEXANDER Q 2;TH3601N1740E;3601N1740E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Alexander Q n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;King;Macedony;Macedonian;-4;4  th century BC;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;17.40872895;17.41;17 ° 25 '  East;36.01521022;36 ° 1 '  North;Nearside;North - East;North of Mare Serenitatis region;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;8;8;4.9;4.9;4;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NE of Alexander q;Mare dome, in Mare Serenitatis;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ALMANON 1;TH1697S1527E;1697S1527E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Almanon n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Caliph;Persia;Persian;9;9 th century;Bagdad;786;Tarsus;833;Son of Harun Al Raschid. Organizer of the translation in Arabic of scientific and philosophical works of old Greek authors.;15.27683388;15.28;15 ° 17 '  East;-16.97773111;16 ° 59 '  South;Nearside;South- East;East of Catharina crater region;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;?;?;?;?;1.5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SW of crater Almanon;Large complex dome;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ALPHONSUS 1;TH1341S76W;1341S76W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Alphonsus n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;King;Castille;Castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-0.765760482;359.23;0 ° 46 '  West;-13.41484876;13 ° 25 '  South;Nearside;South - West;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;?;?;?;?;4.5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater Alphonsus;Very small dome, on Ranger IX images;;;;Not described;3;Very interesting formation;8;1 day after First Quarter;Last Quarter;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME APOLLONIUS S 1;TH143N6472E;143N6472E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Apollonius S n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Mathematician and astronomer;Greece;Greek;-3;3 rd century BC;Alexandrie;262 BC;Pergame;180 av JC;Author of an important work of synthesis on the conical.;64.72683836;64.73;64 ° 44 '  East;1.432543738;1 ° 26 '  North;Nearside;North - East;Moon East limb;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;;;34.5;34.5;20.9;20.9;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;E of crater Apollonius S;Platykurtic, irregular border;;;;Not described;3;Very interesting formation;3;3 days after New Moon;2 days after Full Moon;30;10x binoculars;50 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 1;TH447N2085E;447N2085E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;20.85994776;20.86;20 ° 52 '  East;4.473614892;4 ° 28 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;13;14;7.9;8.5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;S of crater Arago;Medium-size, hemispherical, mare dome;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 1;TH926N2070E;926N2070E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;20.70846796;20.71;20 ° 43 '  East;9.264944551;9 ° 16 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;5;6.8;3;4.1;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NNW of crater Arago;Dome complex, appears double or possible summit traversing rille;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 10;TH891N2093E;891N2093E;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 10;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;20.93559973;20.94;20 ° 56 '  East;8.916796253;8 ° 55 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;9.6;3.6;5.8;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NNW of crater Arago;Round base, deep summit craterpit, one of three domes aligned NW from Arago A;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 11;TH914N2157E;914N2157E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 11;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;21.57244626;21.57;21 ° 34 '  East;9.148857422;9 ° 9 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;7;3.6;4.3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NW of crater Arago;About the size of Arago D;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 12;TH961N2147E;961N2147E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 12;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;21.4778659;21.48;21 ° 29 '  East;9.613438289;9 ° 37 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;6;3.6;3.6;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N of crater Arago;Large dome about the size of crater Arago, one of three domes aligned NW from Arago A;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 2;TH545N2200E;545N2200E;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;22.0054411;22.01;22 ° 0 '  East;5.451319812;5 ° 27 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;3;5;1.8;3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SE of crater Arago;Elliptical, possible summit craterpit;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;100;100 mm refractor;200 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 3;TH550N2169E;550N2169E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 3;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;21.69758262;21.7;21 ° 42 '  East;5.508878671;5 ° 31 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;S of crater Arago;About size of crater Arago E;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 4;TH573N2195E;573N2195E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 4;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;21.95474041;21.95;21 ° 57 '  East;5.739170477;5 ° 44 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;S of crater Arago;About size of crater Arago D;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 5;TH591N2208E;591N2208E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 5;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;22.08612063;22.09;22 ° 5 '  East;5.911950197;5 ° 55 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SE of crater Arago;About size of crater Arago D;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 6;TH602N2227E;602N2227E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 6;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;22.27767057;22.28;22 ° 17 '  East;6.02716656;6 ° 2 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;E of crater Arago;Not described;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 7;TH620N2216E;620N2216E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 7;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;22.16074267;22.16;22 ° 10 '  East;6.200037133;6 ° 12 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;W of crater Arago;Small, hemispherical, mare dome;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 8;TH833N2416E;833N2416E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 8;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;24.16249576;24.16;24 ° 10 '  East;8.337279189;8 ° 20 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NE of crater Arago;Forms double dome with second dome;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO 9;TH856N2122E;856N2122E;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago n° 9;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;21.22561825;21.23;21 ° 14 '  East;8.568979552;8 ° 34 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;8.2;3.6;5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NNW of crater Arago;Summit craterpit, hemispherical, one of three domes aligned NW from Arago A;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO A 1;TH746N2141E;746N2141E;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago A n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;21.41362781;21.41;21 ° 25 '  East;7.469592316;7 ° 28 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;15;24;9.1;14.6;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Arago a;Large complex mare dome, north of Arago and about size of crater Arago, large deep summit craterpit;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME ARAGO B 1;TH608N1993E;608N1993E;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Arago B n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;France;French;19;19 th century;Estagel;1786;Paris;1853; Director of the observatory of Paris. Works on the polarization. Measure of the diameter of planets. Discovery of the solar chromosphere. Member of the Academy of Sciences in 1809. Minister having abolished the slavery in french colonies.;19.93297819;19.93;19 ° 56 '  East;6.084783887;6 ° 5 '  North;Nearside;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;20;23.29;12.1;14.1;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Arago b;Well known, hemispherical, complex dome, multiple summit craterpits;;;;Not described;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
