NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK;
DOME REAUMUR 1;TH275S74E;275S74E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reaumur n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Physicist and naturalist;France;French;18;18 th century;La Rochelle;1683;St Julien du Terroux;1757;Member of the Academy of Sciences in 1708. Inventor of the alcohol thermometer in 1730. Works on ferrous alloys. Numerous studies on animals.;0.745725735;0.75;0 ° 15 '  East;-2.751254589;2 ° 45 '  South;Nearside;South- East;Ptolemaeus crater region;44;Ptolemaeus;238;13b2 / 16h8;003S 009C 174C 179C;;IV-102-H1 IV-101-H3 IV-108-H3;3;4;1.8;2.4;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater RÃ©umur;Not described;;;;Not described;3;Very interesting formation;7;First Quarter;6 days after Full Moon;100;100 mm refractor;200 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REAUMUR 2;TH263S103E;263S103E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reaumur n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Physicist and naturalist;France;French;18;18 th century;La Rochelle;1683;St Julien du Terroux;1757;Member of the Academy of Sciences in 1708. Inventor of the alcohol thermometer in 1730. Works on ferrous alloys. Numerous studies on animals.;1.032472784;1.03;1 ° 2 '  East;-2.636536234;2 ° 38 '  South;Nearside;South- East;Ptolemaeus crater region;44;Ptolemaeus;238;13b2 / 16h8;003S 009C 174C 179C;;IV-102-H1 IV-101-H3 IV-108-H3;1;2.5;0.6;1.5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater RÃ©umur;Not described;;;;Not described;3;Very interesting formation;7;First Quarter;6 days after Full Moon;250;250 mm reflector;500 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REAUMUR 3;TH183S74E;183S74E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reaumur n° 3;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Physicist and naturalist;France;French;18;18 th century;La Rochelle;1683;St Julien du Terroux;1757;Member of the Academy of Sciences in 1708. Inventor of the alcohol thermometer in 1730. Works on ferrous alloys. Numerous studies on animals.;0.745247801;0.75;0 ° 15 '  East;-1.833778;1 ° 50 '  South;Nearside;South- East;Ptolemaeus crater region;44;Ptolemaeus;238;13b2 / 16h8;003S 009C 174C 179C;;IV-102-H1 IV-101-H3 IV-108-H3;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater RÃ©umur;Not described;;;;Not described;3;Very interesting formation;7;First Quarter;6 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REINER 1;TH718N5277W;718N5277W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reiner n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Mathematician and astronomer;Italy;Italian;17;17 th century;?;?;?;1648;Disciple of Galileo.;-52.77302249;307.23;52 ° 46 '  West;7.180755781;7 ° 11 '  North;Nearside;North - West;Central part of Oceanus Procellarum;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;E of crater Reiner;Dome complex, forms part of arc for ghost crater Reiner P, multiple summits and craterpits, high albedo from Kepler ray material overlaying dome;;;;Not described;3;Very interesting formation;12;5 days after First Quarter;4 days after Last Quarter;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REINER 2;TH764N5314W;764N5314W;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Reiner n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Mathematician and astronomer;Italy;Italian;17;17 th century;?;?;?;1648;Disciple of Galileo.;-53.1404293;306.86;53 ° 8 '  West;7.64298544;7 ° 39 '  North;Nearside;North - West;Central part of Oceanus Procellarum;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;5;3.5;3;2.1;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;E of crater Reiner;Flat and circular, forms part of arc for ghost crater Reiner P;;;;Not described;3;Very interesting formation;12;5 days after First Quarter;4 days after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REINER 3;TH798N5330W;798N5330W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reiner n° 3;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Mathematician and astronomer;Italy;Italian;17;17 th century;?;?;?;1648;Disciple of Galileo.;-53.30074432;306.7;53 ° 18 '  West;7.989984699;7 ° 59 '  North;Nearside;North - West;Central part of Oceanus Procellarum;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;3;5;1.8;3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NE of crater Reiner;Not described;;;;Not described;3;Very interesting formation;12;5 days after First Quarter;4 days after Last Quarter;100;100 mm refractor;200 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REINER 4;TH804N5509W;804N5509W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reiner n° 4;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Mathematician and astronomer;Italy;Italian;17;17 th century;?;?;?;1648;Disciple of Galileo.;-55.0924545;304.91;55 ° 6 '  West;8.047846247;8 ° 3 '  North;Nearside;North - West;Central part of Oceanus Procellarum;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;11;11;6.7;6.7;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N of crater Reiner;Circular;;;;Not described;3;Very interesting formation;12;5 days after First Quarter;4 days after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REINER 5;TH810N5245W;810N5245W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reiner n° 5;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Mathematician and astronomer;Italy;Italian;17;17 th century;?;?;?;1648;Disciple of Galileo.;-52.45938464;307.54;52 ° 28 '  West;8.105716059;8 ° 6 '  North;Nearside;North - West;Central part of Oceanus Procellarum;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;4;10;2.4;6.1;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NE of crater Reiner;Oblong north-south;;;;Not described;3;Very interesting formation;12;5 days after First Quarter;4 days after Last Quarter;100;100 mm refractor;200 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REINER 6;TH891N5148W;891N5148W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reiner n° 6;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Mathematician and astronomer;Italy;Italian;17;17 th century;?;?;?;1648;Disciple of Galileo.;-51.48603458;308.51;51 ° 29 '  West;8.916796253;8 ° 55 '  North;Nearside;North - West;Central part of Oceanus Procellarum;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;11;15;6.7;9.1;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NE of crater Reiner;Large summit craterpit;;;;Not described;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME REINER 7;TH926N5822W;926N5822W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Reiner n° 7;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Mathematician and astronomer;Italy;Italian;17;17 th century;?;?;?;1648;Disciple of Galileo.;-58.22145178;301.78;58 ° 13 '  West;9.264944551;9 ° 16 '  North;Nearside;North - West;Central part of Oceanus Procellarum;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;7;11;4.3;6.7;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NW of crater Reiner;Oval mare dome;;;;Not described;3;Very interesting formation;12;5 days after First Quarter;4 days after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
