NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;GENERAL_1;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
GARTNER;AA5924N03476E;5924N03476;AA;Plaine murée;;Imbrien (De -3,85 milliards d'années à -3,2 milliards d'années) ?;;Christian Gärtner;Schröter (1802);Non nommé;Non nommé;Non nommé;Géologue et minéralogiste;Allemagne;allemand;18;18 ème siècle;?;1750;?;1813;??;34.757865;34.757865;34.758° Est;59.243287;59.243° Nord;Face visible;Nord-Est;Limbe Nord-Nord-Est de la Lune;6;Strabo;393;2c6;328N 334N 124N 131N 135N 143N 148N;;;103;102;62;62;?;?;Hauteur inconnue.Calcul impossible.;Hauteur inconnue. Visualisation impossible;Formation circulaire.;Versants assez escarpés portant Gärtner A au Nord-Est et Gärtner G & F à l'Est.;Muraille peu élevée engloutie au Sud dans Mare Frigoris.;Fond plat rempli de lave avec Gärtner D au Sud et Rima Gärtner à l'Est. Monticules et craterlets.;4;Formation exceptionnelle.;5;Cinq jour après la Nouvelle Lune;Quatre jour après la Pleine Lune;5;Oeil nu;Jumelles x 10;Gärtner;Gartner;2302;101.789;59.2432869470724;34.7578645620981;60.9218807220459;57.5646915435791;38.0400066375732;31.4758129119873;LOLA2011;Europe;Germany;Crater, craters;AA;Aristoteles;LAC-13;Adopted by IAU;1935-01-01 00:00:00;;Christian. German mineralogist, geologist (c. 1750-1813).;http://planetarynames.wr.usgs.gov/Feature/2302
GASSENDI;AA1755S03996W;1755S03996;AA;Plaine murée;;Nectarien (De -3,92 milliards d'années à -3,85 milliards d'années) ;;Pierre Gassend (dit Gassendi);Riccioli (1651);Annulus Neptuni;Mons Cataractes;Gassendi;Philosophe et astronome;France;français;17;17 ème siècle;Champtercier;1592;Paris;1655;Pionnier de l'observation à la lunette. Premier observateur d'un passage de Mercure devant le Soleil en 1631. Copernicien en relation avec Kepler et Galilée.;-39.963727;320.036273;39.964° Ouest;-17.554576;17.555° Sud;Face visible;Sud-Ouest;Secteur de la Mer des Humeurs;52;Gassendi;181;9h5 / 11c4;36C/S 040C/S 048C/S 055C/S 205S 213C/S;ST02/00  MM156 L100/013;IV-092-H1 IV-080-H1 IV-092-H1 IV-177-H3 IV-191-H1;111;110;67;67;1850;6000;0.0169;Trop plat. Visualisation impossible;Formation circulaire située sur la rive Nord de Mare Humorum.;Versants escarpés au Nord, engloutis au Sud dans Mare Humorum et portant le couple Gasendi A & B au Nord.;Muraille plus élevée à l'Ouest et engloutie au Sud dans Mare Humorum.;Fond plat immense parcouru par Rimae Gassendi. Anneau montagneux interne. Montagne centrale double de 1200 m. Monticules, craterlets et lignes de crête.;4;Formation exceptionnelle.;10;Trois jours après le Premier Quartier;Deux jours après le Dernier Quartier;5;Oeil nu;Jumelles x 10;Gassendi;Gassendi;2111;111.391;-17.5545761164514;320.036273193241;-15.7178478240967;-19.3913040161133;321.96275138855;318.109800338745;LOLA2011;Europe;France;Crater, craters;AA;Mare Humorum;LAC-93;Adopted by IAU;1935-01-01 00:00:00;;Pierre. French astronomer, mathematician (1592-1655).;http://planetarynames.wr.usgs.gov/Feature/2111
GAUDIBERT;AA1093S03782E;1093S03782;AA;Cratère;;Pré-Imbrien (De -4,55 milliards d'années à -3,85 milliards d'années) ?;;Casimir M. Gaudibert;Krieger / König (1912);Non nommé;Non nommé;Non nommé;Astronome;France;français;19;19 ème siècle;?;1823;?;1901;Astronome amateur observateur de la Lune et sélénographe.;37.823161;37.823161;37.823° Est;-10.929359;10.929° Sud;Face visible;Sud-Est;Secteur Nord-Est du cratère Théophile;47;Capella;191;15 e6;328C/S 131C/S 135C/S 143C;;IV-137-H2 IV-143-H2;33;33;20;20;1600;4800;0.0485;A____________________________________________A;Formation circulaire isolée.;Versants peu escarpés portant un trio de craterlets au Sud.;Muraille peu élevée.;Fond tourmenté. Lignes de crêtes et montagne centrale double.;3;Formation très intéressante.;3;Trois jours après la Nouvelle lune;Deux jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Gaudibert;Gaudibert;2116;33.1379;-10.9293594115672;37.8231605627598;-10.3834095001221;-11.4762439727783;38.3794002532959;37.266393661499;LOLA2011;Europe;France;Crater, craters;AA;Colombo;LAC-79;Adopted by IAU;1935-01-01 00:00:00;;Casimir Marie. French astronomer (1823-1901).;http://planetarynames.wr.usgs.gov/Feature/2116
GAURICUS;AA3391S01274W;3391S01274;AA;Cratère;;Pré-Nectarien (De -4,55 milliards d'années à -3,92 milliards d'années) ?;;Luca Gaurico;Riccioli (1651);Masii;Non nommé;Gauricus;Théologien astronome et astrologue;Italie;italien;16;16 ème siècle;Giffoni;1476;Rome;1558;Promoteur de la réforme du calendrier. Auteur d'une traduction de l'Almageste de Ptolémée.;-12.742001;347.257999;12.742° Ouest;-33.906561;33.907° Sud;Face visible;Sud-Ouest;Secteur du cratère Tycho;64;Tycho;98;9c1 / 10d7;018S 024S 183S 191S;MM131;;80;80;48;48;2700;8200;0.0342;A_______________________________________________________________A;Formation très érodée et abîmée.;Versants très doux portant de nombreux cratères dont Gauricus A au Sud-Ouest, Gauricus B & D au Sud et Gauricus G à l'Est.;Muraille assez élevée très douce avec des craterlets à l'Ouest.;Fond plat rempli de lave avec un cratère en fer à cheval au Nord.;3;Formation très intéressante.;8;Un jour après le Premier Quartier;Au Dernier Quartier;30;Jumelles x 10;Lunette 50 mm;Gauricus;Gauricus;2119;79.6404;-33.906561290285;347.257999009981;-32.5932941436768;-35.2198276519775;348.840627670288;345.675428390503;LOLA2011;Europe;Italy;Crater, craters;AA;Tycho;LAC-112;Adopted by IAU;1935-01-01 00:00:00;;Gaurico, Luca. Italian astronomer (1476-1558).;http://planetarynames.wr.usgs.gov/Feature/2119
GAUSS;AA3601N07908E;3601N07908;AA;Plaine murée;;Nectarien (De -3,92 milliards d'années à -3,85 milliards d'années) ;;Carl Friedrich Gauss;Mädler (1837);Non nommé;Non nommé;Non nommé;Mathématicien astronome et physicien;Allemagne;allemand;19;19 ème siècle;Brunswick;1777;Göttingen;1855;Travaux sur l'algèbre. Détermination de l'orbite de Céres. Essais sur la nature de l'espace. Inventeur du magnétomètre. Théorie générale du magnétisme terrestre en 1839.;79.076654;79.076654;79.077° Est;36.006285;36.006° Nord;Face visible;Nord-Est;Limbe Nord-Est de la Lune;16;Gauss;306;3c8 / 4c4;291N Q1NE 099N;MM98;lV-112-H3 IV-119-H3;177;177;107;107;3600;11600;0.0203;A___________________________________________________________________________________________________________A;Formation circulaire.;Versants assez escarpés.;Muraille élevée chevauchée par plusieurs craterlets dont Gauss A & B à l'Est.;Fond plat immense avec cratères internes dont Gauss E. Petite montagne centrale.;4;Formation exceptionnelle.;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;5;Oeil nu;Jumelles x 10;Gauss;Gauss;2120;170.723;36.006284935961;79.0766538228896;38.8223476409912;33.190221786499;82.5560092926025;75.5970287322998;LOLA2011;Europe;Germany;Crater, craters;AA;Gauss;LAC-28;Adopted by IAU;1935-01-01 00:00:00;;Karl Friedrich. German mathematician (1777-1855).;http://planetarynames.wr.usgs.gov/Feature/2120
GAY-LUSSAC;AA1388N02079W;1388N02079;AA;Cratère;;Copernicien (De -1,1 milliards d'années à nos jours) ?;;Louis-Joseph Gay-Lussac;Mädler (1837);Non nommé;Non nommé;Non nommé;Physicien et chimiste;France;français;19;19 ème siècle;Saint-Léonard de Nob;1778;Paris;1850;Loi sur la dilatation des gaz en 1802. Préparation du sodium, du potassium et de nombreux acides. Découverte des halogènes.;-20.792794;339.207206;20.793° Ouest;13.875026;13.875° Nord;Face visible;Nord-Ouest;Secteur du cratère Copernic;31;Copernicus;296;5 e5;;;IV-165-H2 IV-177-H3;27;26;16;16;830;2500;0.0319;A___________________________________________________________________A;Formation très délabrée.;Versants escarpés portant Gay-Lussac A au Sud et Gay Lussac D au Nord.;Muraille peu élevée.;Fond tourmenté. Dépressions et monticules. Craterlets et ligne de crête.;3;Formation très intéressante.;9;Deux jours après le Premier Quartier;Un jour après le Dernier Quartier;30;Jumelles x 10;Lunette 50 mm;Gay-Lussac;Gay Lussac;2124;25.4037;13.8750255920078;339.207206089413;14.2941799163818;13.4564151763916;339.638994216919;338.776121139526;LOLA2011;Europe;France;Crater, craters;AA;Copernicus;LAC-58;Adopted by IAU;1935-01-01 00:00:00;;Joseph Louis. French physicist (1778-1850).;http://planetarynames.wr.usgs.gov/Feature/2124
GEBER;AA1946S01385E;1946S01385;AA;Cratère;;Nectarien (De -3,92 milliards d'années à -3,85 milliards d'années) ;;Gabir ben Aflah;Riccioli (1651);Tassis;Non nommé;Geber;Alchimiste;Arabie;arabe;9;9 ème siècle;?;?;Tus;815;Découvreur des acides sulfurique et nitrique et de l'eau régale. Isola l'arsenic et l'antimoine.;13.847906;13.847906;13.848° Est;-19.461449;19.461° Sud;Face visible;Sud-Est;Région à l'Ouest du cratère Catherine;56;Azophi;155;13d3;351S 357S 154S 161S 167C;;IV-121-H2 IV-126-H2;45;45;27;27;3510;10600;0.078;A__________________________A;Formation circulaire isolée.;Versants escarpés chevauchés par Geber B au Nord-Ouest et portant un craterlet au Sud-Ouest.;Muraille très élevée en gradins légers.;Fond plat peu étendu. Craterlets dont un central.;3;Formation très intéressante.;6;Six jours après la Nouvelle Lune;Cinq jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Geber;Geber;2128;44.675;-19.4614493604761;13.847906428389;-18.7247924804688;-20.1981048583984;14.6292819976807;13.0665416717529;LOLA2011;Europe;Spain;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;1935-01-01 00:00:00;;Jābir Ibn Aflah Al-Ishbīlī, Abū Muhammad. Spanish-Arab astronomer (fl. first half of twelfth cent.).;http://planetarynames.wr.usgs.gov/Feature/2128
GEISSLER;AA0260S07651E;0260S07651;AA;Cratère;;Période de formation non trouvée;;Heinrich Geissler (ex Gilbert D);(??);Non nommé;Non nommé;Non nommé;Physicien et mécanicien;Allemagne;allemand;19;19 ème siècle;Igelshieb;1814;Bonn;1879;Fondateur d'une fabrique d'appareils de physique et de chimie à Bonn. Inventeur d'ampoules de gaz raréfiés et d'une pompe à vide à mercure en 1857.;76.505181;76.505181;76.505° Est;-2.596933;2.597° Sud;Face visible;Sud-Est;Limbe Est de la Lune;49;Langrenus;188;;Q1E;;IV-089-H2 IV-096-H2;17;16;10;10;?;?;Hauteur inconnue.Calcul impossible.;Hauteur inconnue. Visualisation impossible;Formation circulaire en forme de bol située dans l'arène de Gilbert.;Versants assez escarpés.;Muraille peu élevée.;Fond arrondi.;1;Formation peu intéressante ou difficile;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;50;Lunette 50 mm;Télescope 100 mm;Geissler;Geissler;2136;17.3899;-2.5969334851616;76.5051807199898;-2.3101921081543;-2.88367462158203;76.7922267913818;76.2181339263916;LOLA2011;Europe;Germany;Crater, craters;AA;Ansgarius;LAC-81;Adopted by IAU;1976-01-01 00:00:00;;Heinrich. German physicist (1814-1879).;http://planetarynames.wr.usgs.gov/Feature/2136
GEMINUS;AA3442N05666E;3442N05666;AA;Cratère;;Eratosthénien (De -3,2 milliards d'années à -1,1 milliards d'années);;Geminos;Riccioli (1651);Edelherii;Montes Riphaei;Geminus;Astronome;Grèce;grec;-1;1 er siècle av JC;?;vers 70 av JC;?;?;Auteur d'une "Théorie des mathématiques" et d'une "Introduction aux phénomènes".;56.660665;56.660665;56.661° Est;34.419711;34.420° Nord;Face visible;Nord-Est;Limbe Nord-Est de la Lune;16;Gauss;307;3d8 / 4d4;303N 309N 315N 099N 105N 112N 119N;MM98;;86;86;52;52;5400;16400;0.0628;A_________________________________A;Formation circulaire.;Versants très escarpés portant le craterlet Geminus C au Sud-Est.;Muraille en gradins très élevée.;Fond plat étendu. Montagne centrale. Monticules et craterlets.;4;Formation exceptionnelle.;3;Trois jours après la Nouvelle lune;Deux jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Geminus;Geminus;2137;81.9779;34.4197112046629;56.660665484332;35.7714405059814;33.0679836273193;58.2993488311768;55.0219860076904;LOLA2011;Europe;Greek;Crater, craters;AA;Geminus;LAC-27;Adopted by IAU;1935-01-01 00:00:00;;Greek astronomer (unkn-c. 70 B.C.).;http://planetarynames.wr.usgs.gov/Feature/2137
GEMMA FRISIUS;AA3433S01337E;3433S01337;AA;Cratère;;Pré-Imbrien (De -4,55 milliards d'années à -3,85 milliards d'années) ?;;Reinier Gemma;Riccioli (1651);Radsevilii;Montes Armeniae;Gemma Frisius;Médecin astronome et cartographe;Hollande;hollandais;16;16 ème siècle;?;1508;?;1555;??;13.368453;13.368453;13.368° Est;-34.328488;34.328° Sud;Face visible;Sud-Est;Secteur du cratère Maurolycus;66;Maurolycus;120;14d7;351S 357S 148S 154 S 161S 167S;;IV-062-H1 IV-177-H2 IV-067-H1 IV-191-H2;88;88;53;53;5200;15800;0.0591;A___________________________________A;Formation circulaire abîmée.;Versants escarpés portant Goodacre au Nord-Est, Gemma Frisius G & H au Nord-Ouest, Gemma Frisius D à l'Ouest et Gemma Frisius A au Sud-Est.;Muraille très élevée en pente douce au Sud-Est et abîmée par de nombreux cratères.;Fond plat au Nord et tourmenté au Sud. Petite montagne excentrée.;3;Formation très intéressante.;6;Six jours après la Nouvelle Lune;Cinq jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Gemma Frisius;Gemma Frisius;2138;88.5425;-34.3284880570117;13.3684528840468;-33.0287570953369;-35.6532154083252;15.1313610076904;11.5990047454834;LOLA2011;Europe;Netherlands (Dutch);Crater, craters;AA;Maurolycus;LAC-113;Adopted by IAU;1935-01-01 00:00:00;;Jemma, Reinier. Dutch doctor (1508-1555).;http://planetarynames.wr.usgs.gov/Feature/2138
