NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;GENERAL_1;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
NELIOTA 35;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 35;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;70,7;70,7;70 ° 42 '  East;-14;14 ° 0 '  South;Visible face;South-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 12 @ 01:49:26.480 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 9,65 +/- 0,1 > Latitude : -14 ° +/- 0,5 ° > Longitude : 70,7 ° +/- 0,5 °;Frames R : 0 & Frames I : 2;Suspected Suspected Near Earth Object flash / Maximum duration : 0,066 / Airmass : 2,756;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 36;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 36;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;64,7;64,7;64 ° 42 '  East;-7,2;7 ° 48 '  South;Visible face;South-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 12 @ 02:06:11.777 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 9,63 +/- 0,08 > Latitude : -7,2 ° +/- 0,5 ° > Longitude : 64,7 ° +/- 0,5 °;Frames R : 0 & Frames I : 1;Suspected Suspected Near Earth Object flash / Maximum duration : 0,033 / Airmass : 2,422;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 37;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 37;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;74;74;74 ° 0 '  East;9;9 ° 0 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 12 @ 02:48:08.178 UT;R Magnitude = 10,5 +/- 0,24 & I Magnitude = 8,98 +/- 0,08 > Latitude : 9 ° +/- 0,5 ° > Longitude : 74 ° +/- 0,5 °;Frames R : 1 & Frames I : 2;Validated True Near Earth Object flash / Maximum duration : 0,066 / Airmass : 1,922;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 38;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 38;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;58,4;58,4;58 ° 24 '  East;-15,4;15 ° 36 '  South;Visible face;South-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 12 @ 03:33:05.912 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 9,61 +/- 0,14 > Latitude : -15,4 ° +/- 0,5 ° > Longitude : 58,4 ° +/- 0,5 °;Frames R : 0 & Frames I : 1;Suspected Suspected Near Earth Object flash / Maximum duration : 0,033 / Airmass : 1,623;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 39;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 39;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;51,2;51,2;51 ° 12 '  East;5,4;5 ° 24 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 12 @ 04:30:00.398 UT;R Magnitude = 10,58 +/- 0,28 & I Magnitude = 9,84 +/- 0,11 > Latitude : 5,4 ° +/- 0,5 ° > Longitude : 51,2 ° +/- 0,5 °;Frames R : 1 & Frames I : 1;Validated True Near Earth Object Flash / Maximum duration : 0,033 / Airmass : 1,408;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 40;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 40;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;76,7;76,7;76 ° 42 '  East;1,9;1 ° 54 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 12 @ 04:58:00.343 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 10,13 +/- 0,2 > Latitude : 1,9 ° +/- 0,5 ° > Longitude : 76,7 ° +/- 0,5 °;Frames R : 0 & Frames I : 1;Suspected Suspected Near Earth Object flash / Maximum duration : 0,033 / Airmass : 1,357;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 41;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 41;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;87,9;87,9;87 ° 54 '  East;-21,2;21 ° 48 '  South;Visible face;South-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 13 @ 02:38:14.109 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 10,32 +/- 0,16 > Latitude : -21,2 ° +/- 0,5 ° > Longitude : 87,9 ° +/- 0,5 °;Frames R : 0 & Frames I : 1;Suspected Suspected Near Earth Object flash / Maximum duration : 0,033 / Airmass : 3,031;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 42;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 42;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;50;50;50 ° 0 '  East;13;13 ° 0 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 13 @ 04:26:57.484 UT;R Magnitude = 10,56 +/- 0,23 & I Magnitude = 9,95 +/- 0,11 > Latitude : 13 ° +/- 0,5 ° > Longitude : 50 ° +/- 0,5 °;Frames R : 1 & Frames I : 1;Validated True Near Earth Object flash / Maximum duration : 0,033 / Airmass : 1,724;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 43;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 43;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;72;72;72 ° 0 '  East;-6,7;-7 ° 18 '  North;Visible face;South-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 13 @ 04:59:49.533 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 9,86 +/- 0,15 > Latitude : -6,7 ° +/- 0,5 ° > Longitude : 72 ° +/- 0,5 °;Frames R : 0 & Frames I : 1;Suspected Suspected Near Earth Object flash / Maximum duration : 0,033 / Airmass : 1,563;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 44;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 44;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;86,7;86,7;86 ° 42 '  East;-11,4;11 ° 36 '  South;Visible face;South-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 12 13 @ 05:04:10.019 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 9,65 +/- 0,15 > Latitude : -11,4 ° +/- 0,5 ° > Longitude : 86,7 ° +/- 0,5 °;Frames R : 0 & Frames I : 1;Suspected Suspected Near Earth Object flash / Maximum duration : 0,033 / Airmass : 1,563;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
