NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
BROUWER;AA3582S12475W;3582S12475;AA;Cratère;;;;Dirk Brouwer;UAI 1976 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;Rotterdam;1902;New Haven;1966;Révision des constantes astronomiques. Intégration numérique des équations de la mécanique céleste.;-124.748107;235.251893;124.748° Ouest;-35.824520;35.825° Sud;Face cachée;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-026-M V-022-H2 V-022-M V-026-H2;158;158;93;93;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Brouwer;Brouwer;893;119.597;-35.8245196924079;235.251893063012;-33.8522186279297;-37.7968196868896;237.682458877563;232.821115493774;LOLA2011;Europe;Netherlands (Dutch);Crater, craters;AA;Brouwer;LAC-122;Adopted by IAU;1970-01-01 00:00:00;;Dirk. American astronomer (1902-1966). Luitzen Egbertus Jan. Dutch mathematician (1881-1966).;http://planetarynames.wr.usgs.gov/Feature/893
BRUNNER;AA0986S09091E;0986S09091;AA;Cratère;;;;William O. Brunner;UAI 19XX ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Suisse;suisse;20;20 ème siècle;??;1878;??;1958;??;90.912641;90.912641;90.913° Est;-9.857399;9.857° Sud;Zone des librations;Sud-Est;;IV;Curie;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;53;53;31;31;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm;Brunner;Brunner;900;50.6558;-9.85739865407252;90.9126414878794;-9.02213668823242;-10.6926593780518;91.7604160308838;90.0648670196533;LOLA2011;Europe;Switzerland;Crater, craters;AA;Pasteur;LAC-82;Adopted by IAU;1970-01-01 00:00:00;;William Otto. Swiss astronomer (1878-1958).;http://planetarynames.wr.usgs.gov/Feature/900
BUFFON;AA4064S13353W;4064S13353;AA;Cratère;;;;Georges Louis Leclercq Comte de Buffon;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Naturaliste;France;français;18;18 ème siècle:;Montbard;1707;Paris;1788;"Membre de l'Académie des Sciences en 1733. Intendant du jardin du Roi en 1739. Auteur des 36 volumes de ""l'Histoire naturelle"" parue de 1749 à 1804. Premières hypothèses évolutionnistes. Grand vulgarisateur des sciences.";-133.533937;226.466063;133.534° Ouest;-40.644225;40.644° Sud;Face cachée;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-026-H1;106;106;62;62;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Buffon;Buffon;910;105.757;-40.6442252208132;226.466062946272;-39.1319370269775;-42.1926593780518;228.683835983276;224.214582443237;LOLA2011;Europe;France;Crater, craters;AA;Brouwer;LAC-122;Adopted by IAU;1970-01-01 00:00:00;;Georges Louis Leclerc. French natural historian (1707-1788).;http://planetarynames.wr.usgs.gov/Feature/910
BUISSON;AA0147S11295E;0147S11295;AA;Cratère;;;;Henri Buisson;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;France;français;20;20 ème siècle;??;1873;??;1944;??;112.950816;112.950816;112.951° Est;-1.467056;1.467° Sud;Face cachée;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;56;56;33;33;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Buisson;Buisson;913;61.265;-1.46705620034602;112.950816432536;-0.456859588623047;-2.47725105285645;113.961343765259;111.94029045105;LOLA2011;Europe;France;Crater, craters;AA;Langemak;LAC-83;Adopted by IAU;1970-01-01 00:00:00;;Henri. French physicist, astronomer (1873-1944).;http://planetarynames.wr.usgs.gov/Feature/913
BUTLEROV;AA1205N10881W;1205N10881;AA;Cratère;;;;Aleksandr Mikaïlovitch Butlerov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Chimiste;Russie;russe;19;19 ème siècle;Tchistopol;1828;Boutlerovka;1886;Membre de l'Académie des sciences de Saint Petersbourg en 1870. Travaux sur les alcools gras. Découvreur du triméthylcarbinol. Auteur de la théorie des structures de compsés organiques avec Couper et Kekulé. ;-108.805171;251.194829;108.805° Ouest;12.049976;12.050° Nord;Face cachée;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-015-H2;40;40;24;24;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Butlerov;Butlerov;934;38.7725;12.0499764362166;251.194828627672;12.6893062591553;11.4106502532959;251.848508834839;250.541135787964;LOLA2011;Europe;Russia;Crater, craters;AA;Nobel;LAC-72;Adopted by IAU;1970-01-01 00:00:00;;Aleksandr Mikhailovich. Russian chemist (1828-1886).;http://planetarynames.wr.usgs.gov/Feature/934
BUYS-BALLOT;AA2086N17482E;2086N17482;AA;Cratère;;;;Christophorus Henricus Didericus Buys-Ballot;UAI 1991 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Métérologue;Pays-Bas;hollandais;19;19 ème siècle;Kloetingue;1817;Utrecht;1890;Auteur d'un règle sur la direction du centre d'une dépression. Fondateur de l'Institut météorologique néerlandais en 1854.;174.822436;174.822436;174.822° Est;20.857345;20.857° Nord;Face cachée;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;55;55;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Buys-Ballot;Buys Ballot;939;66.3753;20.8573453600408;174.822436466598;21.9620418548584;19.7967319488525;175.703969955444;173.891645431519;LOLA2011;Europe;Netherlands (Dutch);Crater, craters;AA;Fitzgerald;LAC-50;Adopted by IAU;1970-01-01 00:00:00;;Christoph Hendrik Diederik. Dutch meteorologist (1817-1890).;http://planetarynames.wr.usgs.gov/Feature/939
CABANNES;AA6124S17021W;6124S17021;AA;Cratère;;;;Jean Cabannes;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;France;français;19;19 ème siècle;Marseille;1885;Les Lecques;1959;Membre de l'Académie des sciences en 1946. Etudes sur le phénomène de Kerr, l'ozone atmosphérique et la spectrographie du ciel.;-170.206366;189.793634;170.206° Ouest;-61.240102;61.240° Sud;Face cachée;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;80;80;47;47;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Cabannes;Cabannes;952;81.3013;-61.2401020090906;189.793633986097;-59.8994884490967;-62.5807132720947;192.574789047241;187.012254714966;LOLA2011;Europe;France;Crater, craters;AA;Hess;LAC-132;Adopted by IAU;1970-01-01 00:00:00;;Jean. French physicist (1885-1959).;http://planetarynames.wr.usgs.gov/Feature/952
CAILLEUX;AA6041S15350E;6041S15350;AA;Cratère;;;;André Cailleux;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Géologue;France;français;20;20 ème siècle;??;1907;??;1986;??;153.498691;153.498691;153.499° Est;-60.411524;60.412° Sud;Face cachée;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;50;50;29;29;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Cailleux;Cailleux;960;52.854;-60.4115236236134;153.498690775146;-59.5400161743164;-61.2830295562744;155.265348434448;151.732042312622;LOLA2011;Europe;France;Crater, craters;AA;Planck;LAC-131;Adopted by IAU;1997-01-01 00:00:00;;Andre. French geologist (1907-1986).;http://planetarynames.wr.usgs.gov/Feature/960
CAJORI;AA4767S16870E;4767S16870;AA;Cratère;;;;Florian Cajori;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Etas Unis;américain;20;20 ème siècle;??;1859;??;1930;??;168.697153;168.697153;168.697° Est;-47.667980;47.668° Sud;Face cachée;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;70;70;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Cajori;Cajori;965;74.6485;-47.6679799832726;168.697152552686;-46.5238742828369;-48.8209171295166;170.296232223511;167.123609542847;LOLA2011;North America;American;Crater, craters;AA;Mare Ingenii;LAC-119;Adopted by IAU;1970-01-01 00:00:00;;Florian. American mathematician (1859-1930).;http://planetarynames.wr.usgs.gov/Feature/965
CAMPBELL;AA4557N15291E;4557N15291;AA;Cratère;;;;Leon Campbell;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1881;??;1951;??;152.907325;152.907325;152.907° Est;45.573759;45.574° Nord;Face cachée;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-124-M V-079-M V-103-M V-103-H3 V-085-M V-085-H3;219;219;129;129;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Campbell;Campbell;990;222.479;45.5737590549685;152.907325063645;49.2608432769775;41.9234981536865;158.256109237671;147.805467605591;LOLA2011;North America;American;Crater, craters;AA;Campbell;LAC-31;Adopted by IAU;1970-01-01 00:00:00;;Leon. American astronomer (1881-1951). William Wallace. American astronomer (1862-1938).;http://planetarynames.wr.usgs.gov/Feature/990
