NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
MONS PICO;MO458248N3511327;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Mons Pico;Schröter (1802);01/01/1935 00:00:00;Non nommé;Non nommé;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-8.867302;351.132698;8 ° 52 ' Ouest;45.824784;45 ° 49 ' Nord;Face visible;Nord-Ouest;Partie centrale de la Mer des Pluies;25;15;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Forme allongée orientée Nord-Ouest Sud-Est. Sommet isolé émergeant de la lave de Mare Imbrium. Massif Beta également isolé au Sud.;;Non décrit dans cette version AVL;;;3;Formation très intéressante.;8;Un jour après le Premier Quartier;Au Dernier Quartier;50;Lunette 50 mm;Télescope  ou lunette 100 mm
MONS PITON;MO407167N3590773;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Mons Piton (Un sommet de l'île de Teneriffe);Birt / Lee (1865);01/01/1935 00:00:00;Schonbergeri;Mons Christi;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-0.922719;359.077281;0 ° 55 ' Ouest;40.716677;40 ° 43 ' Nord;Face visible;Nord-Ouest;Région au Nord du cratère Archimède;25;25;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Formation isolée allongée Nord-Ouest Sud-Est.;;Pic émergeant de la lave de Mare Imbrium. Forme allongée orientée Nord-Sud. Petit cratère sommital. Craterlets Piton A & B au Sud.;;;4;Formation exceptionnelle.;7;Au Premier Quartier;Six jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
MONS RUMKER;TH407607N3016225;Formation nommée par l'UAI;TH;Dôme;Non déterminé;Volcanisme extrusif;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Mons Rümker (Karl Ludwig von Rümker);Schmidt  (1878);01/01/1935 00:00:00;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;19;19 ème siècle;??;1788;??;1862;Directeur de l'école de navigation de Hambourg.;-58.377543;301.622457;58 ° 23 ' Ouest;40.760725;40 ° 46 ' Nord;Face visible;Nord-Ouest;Limbe Nord-Ouest de la Lune;70;70;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Complexe de dômes lunaires agglomérés formant un plateau circulaire tourmenté. Versants assez escarpés. Surface tourmentée.;;Non décrit dans cette version AVL;;;4;Formation exceptionnelle.;12;Cinq jours après le Premier Quartier;Quatre jours après le Dernier Quartier;30;Jumelles x 10;Lunette 50 mm
MONS SONG;MO436400S2066300;Formation nommée par l'UAI;AA;Montagne;Non déterminé;Impact météoritique;Période de formation non trouvée;Source de la période de formation non trouvée;Pas de données;Mons Song;IAU 2024;06/08/2024 00:00:00;Non nommé;Non nommé;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Nommé d'après le Mont Song Shan dans la province d'Henan en Chine.;-153.37;206.63;153 ° 23 ' Ouest;-43.64;43 ° 40 ' Sud;Face cachée;Sud-Ouest;Dans le bassin d'impact Apollo;114;114;57;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Partie Sud du rempart du Bassin d'impact Apollo;;Comporte un cratère de 12 km en son milieu.;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
MONS TAI;MO445600S1758300;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique;Période de formation non trouvée;Source de la période de formation non trouvée;Pas de données;Mons Tai;UAI 2019;04/02/2019 00:00:00;Non nommé;Non nommé;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Nommé d'après la montagne terrestre Mont Tai dans la province de Shandong en Chine.;175.83;175.83;175 ° 50 ' Est;-44.56;44 ° 34 ' Sud;Face cachée;Sud-Est;Arène du cratère Von Karman;24;14;12;1565;0.065208333333333;Pic central du Cratère Von Karman.;Situé à 46 km au Nord-Ouest du site d'alunissage de la sonde chinoise Chang'e 4.;Craterlet fiché sur le sommet.;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
MONS USOV;MO119080N632636;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique ?;Pré-Imbrien (De -4.55 milliards d'années à -3.85 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Mons Usov (Michail A. Usov);(??);01/01/1979 00:00:00;Non nommé;Non nommé;Non nommé;Géologue;U. R. S. S.;soviétique;20;20 ème siècle;??;1883;??;1933;??;63.263631;63.263631;63 ° 16 ' Est;11.908045;11 ° 54 ' Nord;Face visible;Nord-Est;Limbe Est de la Lune;15;15;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Montagne isolée assez élevée sur le bord Est de Mare Crisium.;;Non décrit dans cette version AVL;;;2;Formation assez intéressante.;3;Trois jours après la Nouvelle lune;Deux jours après la Pleine Lune;50;Lunette 50 mm;Télescope  ou lunette 100 mm
MONS VINOGRADOV;MO223497N3274810;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Mons Vinogradov (ex Mons Euler) ( Alexander P. Vinogradov);(??);01/01/1979 00:00:00;Non nommé;Non nommé;Non nommé;Chimiste;U. R. S. S.;soviétique;20;20 ème siècle;??;1895;??;1975;Spécialiste en cosmochimie.;-32.518981;327.481019;32 ° 31 ' Ouest;22.349669;22 ° 21 ' Nord;Face visible;Nord-Ouest;Région située entre l'Océan des Tempàªtes et la Mer des Pluies;25;25;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Massif montagneux isolé entrecoupé de vallées étroites.;;Non décrit dans cette version AVL;;;3;Formation très intéressante.;4;Quatre jours après la Nouvelle Lune;Trois jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
MONS VITRUVIUS;MO193335N307353;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique ?;Pré-Imbrien (De -4.55 milliards d'années à -3.85 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Mons Vitruvius (Marcus Vitruvius Pollio or Vitruve);(??);01/01/1976 00:00:00;Non nommé;Non nommé;Non nommé;Architecte;Rome;romain;-2;2 ème siècle av JC;Rome;vers 60 av JC;??;??;Auteur du seul traité d'architecture de l'Antiquité.;30.735268;30.735268;30 ° 44 ' Est;19.333458;19 ° 20 ' Nord;Face visible;Nord-Est;Région au Nord de la Mer de la Tranquillité;15;15;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Région montagneuse tourmentée au Nord de Vitruvius.;;Non décrit dans cette version AVL;;;2;Formation assez intéressante.;4;Quatre jours après la Nouvelle Lune;Trois jours après la Pleine Lune;50;Lunette 50 mm;Télescope  ou lunette 100 mm
MONS WOLFF;MO168791N3531986;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Mons Wolff (Christian von Wolff);Hell (1760);01/01/1961 00:00:00;Non nommé;Non nommé;Non nommé;Philosophe et mathématicien;Allemagne;allemand;18;18 ème siècle;Breslau;1679;Halle;1754;"Précepteur de Kant et vulgarisateur des théories de Leibniz. Auteur de ""Philosophie première"" en 1729. Titulaire de la chaire de mathématiques et de physique de l'Université de Halle en Prusse en 1706. Professeur de philosophie à Marbourg. Auteur d'un ouvrage multi-disciplinaire en 24 volumes.";-6.801393;353.198607;6 ° 48 ' Ouest;16.879064;16 ° 53 ' Nord;Face visible;Nord-Ouest;Partie Sud-Est de la Mer des Pluies;35;35;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Sommet du Sud des Appenins.  Situé en face d'une curieuxe chaîne de collines minces orientée Sud-Ouest Nord-Est et émergeant de Mare Imbrium.;;Non décrit dans cette version AVL;;;2;Formation assez intéressante.;8;Un jour après le Premier Quartier;Au Dernier Quartier;30;Jumelles x 10;Lunette 50 mm
MONT BLANC;MO454130N4403;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Mons Blanc;Schröter (1802);01/01/1935 00:00:00;Non nommé;Non nommé;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;0.440275;0.440275;0 ° 26 ' Est;45.412995;45 ° 25 ' Nord;Face visible;Nord-Est;Région au Nord du cratère Archimède;25;25;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Plus haut sommet de Montes Alpes.;;Non décrit dans cette version AVL;;;2;Formation assez intéressante.;7;Au Premier Quartier;Six jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
MONTANARI;AA458282S3392449;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Pré-Nectarien (De -4.55 milliards d'années à -3.92 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Geminiano Montanari;Fauth (1936);01/01/1935 00:00:00;Non nommé;Non nommé;Non nommé;Astronome;Italie;italien;17;17 ème siècle;??;1633;??;1687;Auteur des premières mesures en vue d'une cartographie lunaire.;-20.755069;339.244931;20 ° 45 ' Ouest;-45.82822;45 ° 50 ' Sud;Face visible;Sud-Ouest;Secteur du cratère Tycho;78;78;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Formation très abîmée.;;Versants effacés au Sud avec de nombreux craterlets.;Muraille peu élevée. criblée de craterlets et chevauchée par Montanari D à  l'Ouest et par Wilhelm A au Nord-Ouest.;Fond plat mais tourmenté au Sud. Craterlets.;3;Formation très intéressante.;9;Deux jours après le Premier Quartier;Un jour après le Dernier Quartier;30;Jumelles x 10;Lunette 50 mm
MONTES AGRICOLA;MO290593N3059285;Formation nommée par l'UAI;MO;Montagne;Non déterminé;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Montes Agricola (Georg Bauer or Agricola);(??);01/01/1976 00:00:00;Non nommé;Non nommé;Non nommé;Chimiste et médecin;Allemagne;allemand;16;16 ème siècle;Glauchau;1494;Chemnitz;1555;Auteur d'une encyclopédie sur les données géologiques et minières connues ainsi que sur les techniques d'extraction de minerais et de traitements métallurgiques.;-54.071541;305.928459;54 ° 4 ' Ouest;29.059301;29 ° 4 ' Nord;Face visible;Nord-Ouest;Secteur du cratère Aristarque;160;10;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Remarquable chaîne orientée Nord-est Sud-Ouest. Forme très allongée.;;Non décrit dans cette version AVL;;;4;Formation exceptionnelle.;11;Quatre jours après le Premier Quartier;Trois jours après le Dernier Quartier;50;Lunette 50 mm;Télescope  ou lunette 100 mm
MONTES ALPES;MO483588N3594244;Formation nommée par l'UAI;MO;Montagne;Chaîne de montagnes;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Montes Alpes;Hevelius (1647);01/01/1935 00:00:00;Non nommé;Montes Alpes;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-0.575618;359.424382;0 ° 35 ' Ouest;48.358773;48 ° 22 ' Nord;Face visible;Nord-Est;Région au Nord du cratère Archimède;250;50;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Chaîne grossièrement orientée Nord-Ouest Sud-Est. Nombreux sommets en bordure de Mare Imbrium. Culminent au Mont Blanc. Coupés en deux par Vallis Alpes.;;Non décrit dans cette version AVL;;;4;Formation exceptionnelle.;7;Au Premier Quartier;Six jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
MONTES APENNINUS;MO198714N253;Formation nommée par l'UAI;MO;Montagne;Chaîne de montagnes;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Montes Apenninus;Hevelius (1647);01/01/1961 00:00:00;Montes Austriaci;Mons Apenninus;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;0.025308;0.025308;0 ° 2 ' Est;19.871431;19 ° 52 ' Nord;Face visible;Nord-Ouest;Secteur des Monts Apennins;953;100;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Muraille Sud de Mare Imbrium. Forme circulaire orientée Sud-Ouest Nord-Est. Pentes à  30° en moyenne.;;Non décrit dans cette version AVL;;;4;Formation exceptionnelle.;7;Au Premier Quartier;Six jours après la Pleine Lune;5;Oeil nu;Jumelles x 10
MONTES ARCHIMEDES;MO253939N3547502;Formation nommée par l'UAI;MO;Montagne;Chaîne de montagnes;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Montes Archimedes (Archimede);(??);01/01/1976 00:00:00;Non nommé;Non nommé;Non nommé;Mathématicien et physicien;Grèce;grec;-3;3 ème siècle av JC;Syracuse;287 av JC;Syracuse;212 av JC;Elève d'Euclide. Calcul de Pi. Travaux en géométrie. Inventeur  de la poulie de la vis sans fin et du levier. Fondateur de la statique et de l'hydrostatique.;-5.249786;354.750214;5 ° 15 ' Ouest;25.39388;25 ° 24 ' Nord;Face visible;Nord-Ouest;Secteur des Monts Apennins;140;140;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Région montagneuse de forme rectangulaire au Sud d'Archimedes. Nombreuses montagnes isolées séparées par des vallées profondes.;;Non décrit dans cette version AVL;Contient Bancroft et quelques craterlets disséminés.;Rainures très larges et parallèles orientées Nord-Ouest Sud-Est au Nord-Ouest de la chaîne près de Bancroft.;3;Formation très intéressante.;7;Au Premier Quartier;Six jours après la Pleine Lune;5;Oeil nu;Jumelles x 10
MONTES CARPATUS;MO145677N3363755;Formation nommée par l'UAI;MO;Montagne;Chaîne de montagnes;Impact météoritique ?;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Montes Carpatus;(??);01/01/1961 00:00:00;Non nommé;Non nommé;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-23.624455;336.375545;23 ° 37 ' Ouest;14.567673;14 ° 34 ' Nord;Face visible;Nord-Ouest;Partie Sud de la Mer des Pluies;280;60;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Chaîne de montagnes orientée Ouest Est située au Nord de Copernicus.;;Formée de plusieurs massifs montagneux accolés séparés par des vallées profondes.;Brèche de 15 km de large dans la partie Est.;;4;Formation exceptionnelle;9;Deux jours après le Premier Quartier;Un jour après le Dernier Quartier;30;Jumelles x 10;Lunette 50 mm
